,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
40,41,conf/pakdd,"['Data mining', 'Knowledge management']",0.512195121951,0.84,41,journals/csur,,0.585365853659,0.96,41,conf/pkdd,"['Data mining', 'Knowledge management']",0.585365853659,0.96
41,42,journals/dke,"['Database', 'Knowledge management']",0.52380952381,0.88,42,journals/tcs,,0.571428571429,0.96,42,journals/tse,['Algorithm'],0.571428571429,0.96
42,43,conf/dexa,['Database'],0.53488372093,0.92,43,conf/mm,['Multimedia'],0.558139534884,0.96,43,conf/sigir,['Information retrieval'],0.558139534884,0.96
43,44,journals/dpd,['Database'],0.545454545455,0.96,44,conf/wise,"['Information retrieval', 'World Wide Web']",0.545454545455,0.96,44,conf/dagstuhl,,0.545454545455,0.96
44,45,journals/csur,,0.533333333333,0.96,45,journals/kais,['Knowledge management'],0.533333333333,0.96,45,journals/tpds,"['Distributed computing', 'Parallel computing']",0.533333333333,0.96
45,46,conf/mm,['Multimedia'],0.521739130435,0.96,46,conf/ideas,,0.521739130435,0.96,46,conf/mm,['Multimedia'],0.521739130435,0.96
46,47,journals/kais,['Knowledge management'],0.510638297872,0.96,47,journals/tpds,"['Distributed computing', 'Parallel computing']",0.510638297872,0.96,47,journals/cacm,['Algorithm'],0.510638297872,0.96
47,48,journals/tpds,"['Distributed computing', 'Parallel computing']",0.5,0.96,48,conf/dbsec,,0.5,0.96,48,journals/isci,['Knowledge management'],0.5,0.96
48,49,conf/dbsec,,0.489795918367,0.96,49,conf/pkdd,"['Data mining', 'Knowledge management']",0.489795918367,0.96,49,conf/infocom,['Computer network'],0.489795918367,0.96
49,50,conf/pkdd,"['Data mining', 'Knowledge management']",0.48,0.96,50,conf/infocom,['Computer network'],0.48,0.96,50,journals/tcs,,0.48,0.96
