,Name,Parallel computing pscore norm,Parallel computing year norm,Parallel computing year combined norm
30,Penn State University,0.369822485207,0.0,0.0
31,University of Minnesota-Twin Cities,5.58708086785,0.0368438198169,223.721767572
32,Brown University,32.2413421727,0.147491709353,2268.88819457
33,Rice University,52.240336312,1.75998686838,68030.1021138
34,University of California-Irvine,142.227593416,3.69340129066,171606.053873
35,Ohio State University Main Campus,10.1167511975,0.0833999779782,610.035836569
36,Yale University,36.2264100657,0.16524436139,1774.53732968
37,Arizona State University,99.8498049957,0.909576421434,25322.5397593
38,University of Nebraska - Lincoln,8.89535784728,0.225031291829,3400.56771013
39,Columbia University In The City of New York,1.66553958862,0.0,0.0
40,University of Connecticut,56.3951606086,0.958840921977,28286.3463254
41,University of California-Davis,103.910461181,0.978022626085,29662.800894
42,State University of New York at Buffalo,9.2221682164,0.0941714527277,965.195029157
43,Texas A & M University,6.54976049591,0.0663767161867,499.49690054
44,University of Oklahoma Norman Campus,52.0001889513,2.69148687112,107553.681671
45,University of Pittsburgh Pittsburgh Campus,3.69216680755,0.0440577228662,244.079784679
46,University of Utah,57.3302338687,1.26076929308,42358.0692978
47,University of California-Santa Cruz,37.7923484483,0.544375401816,8467.08274192
48,Indiana University at Bloomington,44.334272565,0.779580763502,44789.8750796
49,University of Virginia,104.016177595,4.66298058512,277364.839709
50,University of South Florida,30.7593165077,0.169099913754,1559.54294741
51,University of Arizona,35.3144660574,1.53252099179,44585.7665357
52,Virginia Polytechnic Institute and State University,12.4480980558,0.370534386108,4473.79628058
53,University of Chicago,73.0218206757,1.74579245424,127834.816235
54,Washington University In St. Louis,17.4145565972,0.5403939011,15980.5284433
55,Georgia State University,97.693373888,6.06135362945,407809.763096
56,North Carolina State University,116.763887395,4.6603804874,189908.163726
57,University of Tennessee,138.474992453,4.13676783244,642697.618635
58,Johns Hopkins University,29.2832269731,0.111962755867,2080.66530294
59,Vanderbilt University,37.3015656786,1.12799108748,53688.2106919
60,Florida Institute of Technology,10.4537686672,0.115255265516,736.227009604
61,University of Colorado at Boulder,11.9945548042,0.0329456498398,159.555782174
62,Lehigh University,12.1139053254,0.110625532412,851.363615633
63,University of Central Florida,68.3668169437,1.89759422103,82850.5969569
64,University of Kentucky,49.0428677092,1.07792907843,47903.8080777
65,Florida State University,85.0340236686,4.694811312,195131.80597
66,Oklahoma State University Main Campus,21.3703709294,0.576199796277,16041.5320827
67,Washington State University,66.6009253239,3.4494405939,162679.454106
68,Iowa State University,30.0131375035,0.14202552705,1088.80801985
69,Northwestern University,132.809771532,3.48255961874,558789.013444
70,Dartmouth College,26.8603198084,0.258591445023,2773.92757811
71,Boston University,31.8832457835,0.224876394037,3557.04728286
72,University of Georgia,19.9094991547,0.118645308035,1353.13819964
73,Rutgers The State University of New Jersey New Brunswick Campus,11.0632220344,0.360425719329,11909.2907871
74,University of Maryland Baltimore County,10.5208780372,0.0729902906578,539.222542386
75,California Institute of Technology,35.0262860501,0.283398954575,8238.90011953
76,University of Delaware,45.3709871325,2.61244035005,105702.338792
77,University of Texas at Dallas,169.976087935,3.08601522033,108829.826815
78,University of Cincinnati Main Campus,56.743660186,2.0979805437,262858.73321
79,Kent State University Main Campus,47.6487919132,4.11675405476,121615.055679
80,Oregon State University,64.383416608,2.1518745134,64916.1932984
81,University of Iowa,31.1698037006,0.869414027094,38710.9840427
82,Rensselaer Polytechnic Institute,55.2861167233,1.30964657983,42045.3446653
83,University of Florida,162.680205692,6.04863946634,431847.812736
84,Northeastern University,30.7828366536,0.0555798519777,350.484849346
85,Illinois Institute of Technology,119.745622006,7.33603191598,646071.309021
86,Auburn University,32.1488095238,1.27063492006,54392.2120282
87,Wayne State University,84.7108692589,5.3769047871,353169.418243
88,University of Oregon,53.6246709335,1.4114296942,54430.2204837
89,Wright State University Main Campus,21.047925472,0.184801035971,1645.48891732
90,University of Illinois at Chicago,81.2625751538,1.53353265183,49728.1079814
91,Brandeis University,4.07078150787,0.00609855799679,22.3451165003
92,North Dakota State University Main Campus,12.8874189913,0.0318186350608,291.665587096
93,City University of New York Grad. Center,2.13841927303,0.0373053704197,159.331237062
94,State University of New York at Binghamton,8.22115384615,0.0552421288805,692.957264677
95,University of North Carolina at Charlotte,23.0241560074,0.598192209281,12580.3616568
96,Case Western Reserve University,26.7673469388,0.206818355661,3068.89453589
97,University of New Mexico Main Campus,3.00060580445,0.0,0.0
98,Syracuse University Main Campus,45.9217596506,0.394510598871,5628.44858419
99,New Mexico State University Main Campus,0.509932375317,0.0091704815128,22.9353742635
100,New Jersey Institute of Technology,0.0982671174979,0.0,0.0
101,University of South Carolina Columbia,15.8708802949,0.0949568469276,524.502013097
102,College of William and Mary,37.7107605764,0.781493684537,14718.7004223
103,Florida International University,50.3693399549,0.79509195533,15946.4383148
104,George Washington University,40.2111158073,1.04608447633,23929.0632659
105,Old Dominion University,88.5100450831,4.22178794207,583758.976799
106,Texas Tech University,17.800563539,0.295064306236,11458.8634258
107,University of Kansas,36.2873602893,0.289556285559,2598.30977637
108,University of Arkansas Main Campus,18.928346013,0.582027224804,9504.51489943
109,University of Alabama,28.6587418991,0.174313923706,6216.29116711
110,Mississippi State University,26.6130952381,1.91652239118,77483.8335623
111,University of Houston,64.6657650042,2.52750824926,48580.3030172
112,University of North Texas,28.6481262327,0.488300534786,8641.89963714
113,Clemson University,46.0606814126,1.27992841351,59218.4498221
114,State University of New York at Albany,10.5212675603,0.0584033436294,714.259937133
115,Brigham Young University,22.1200162017,0.430328518354,9732.68654363
116,Kansas State University,14.7516553959,0.279273538956,3440.20533539
117,University of Alabama In Huntsville,3.2325443787,0.0,0.0
118,University of Memphis,16.5250845309,0.279783823145,6089.54446184
119,Temple University,17.4406593407,0.0457437836033,659.422740128
120,University of Louisiana at Lafayette,60.5228233305,3.09604311965,186572.723452
121,University of Alabama at Birmingham,7.78782755706,0.0226371044884,94.1623166046
122,Oregon Health and Science University,0.884253109528,0.0,0.0
123,Western Michigan University,12.0693153001,0.148339495696,2298.45617549
124,Southern Methodist University,14.905184559,0.0099414333851,113.24286769
125,University of Southern Mississippi,4.56202451395,0.00341083958231,15.6080019286
126,Universidade de Brasília,24.6382431671,1.30595498389,40220.5090029
127,Universidade Federal de Uberlândia,2.54071569456,0.0,0.0
128,USP - São Carlos,22.5380982571,0.0692469818129,472.934334373
129,Universidade de São Paulo,10.5175401522,0.130011986786,1171.88373279
130,Universidade do Vale do Rio dos Sinos,2.08037475345,0.0183884283207,73.5353248543
131,Universidade de Fortaleza,2.41964285714,0.0,0.0
132,Universidade Federal de Campina Grande,11.6631586362,0.239876467458,1851.59972845
133,Universidade Federal da Bahia,3.96283611078,0.0361873118409,95.5050543101
134,Universidade Federal do Amazonas,4.57040715695,0.0393797541313,209.016901081
135,Universidade Federal de Minas Gerais,26.9360664976,0.278580769099,4223.27910738
136,Universidade Federal do Espírito Santo,34.9882009017,1.84029292032,135260.471817
137,Universidade Federal de Pernambuco,19.5564489997,0.0712912445522,495.251899232
138,Universidade Federal de Mato Grosso do Sul,3.51563116371,0.0768724218391,276.085002491
139,Universidade Federal de São Carlos,10.5662596104,0.108022716873,1447.78465791
140,Universidade Federal de Santa Catarina,12.4391730065,0.238603052628,1990.45807905
141,Universidade Federal do Rio Grande de Norte,5.58938433362,0.02940660572,106.347870975
142,Universidade Federal do Rio de Janeiro,26.4939962967,0.154080758022,1325.87113726
143,Pontifícia Universidade Católica do Rio Grande do Sul,20.3649971823,0.486704067858,7478.41243343
144,Pontifícia Universidade Católica do Rio de Janeiro,14.2153881375,0.0643155223481,374.408796051
145,Pontifícia Universidade Católica do Paraná,3.89387855734,0.0,0.0
146,Universidade Estadual de Campinas,26.8408248802,0.110107311919,558.36069712
147,Universidade Federal do Ceará,5.87425331079,0.0618915054271,262.539711888
148,Universidade Federal do Rio Grande do Sul,43.8630424063,0.462928033182,10749.6510103
149,Universidade Federal do Paraná,5.83938433362,0.0174287486884,88.4185385832
150,Universidade Federal Fluminense,17.0093617921,0.200088183622,2037.19421071
151,Imperial College London,79.5769611752,0.743911263755,16850.3385661
152,University of Oxford,30.8762186531,0.0161895073772,52.3681746598
153,University of Cambridge,33.8666279234,0.0735379214645,312.065373823
154,ETH Zurich,76.0496568201,1.31698520773,62606.1859622
155,École Polytechnique ParisTech,25.4287264018,0.260744827544,2891.36570297
156,University of Texas at Arlington,96.4155184559,3.87516682148,234042.612902
157,Ecole Normale Superieure,20.8397788109,0.0,0.0
158,IIIT Bangalore,8.960693153,0.0975254679041,472.113796545
159,Nanyang Technological University,139.248851789,2.61103690528,82327.4296705
160,University of Waterloo,59.2252881171,0.254868162939,1901.14256068
161,Western University,12.0541983657,0.0303481391356,100.501739049
162,University of Nebraska,29.6552164411,0.15826137833,1910.09039104
163,Victoria University of Wellington,21.6773739081,0.147808896977,606.677094891
164,University of Queensland,27.3434770358,0.0442248805777,261.420695879
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,2.42434488588,0.00442360040996,20.4989642998
167,University of Pittsburgh,78.7975486052,2.83613149932,214403.536621
168,University of Michigan,172.837024119,2.02979011814,217578.056622
169,IIT Madras,49.5968290867,0.881513273329,33409.6646967
170,City University of New York,,,
171,University of British Columbia,32.9095920715,0.949806622335,18634.6958581
172,Queen’s University,62.5659471481,0.649613331724,29550.5373324
173,Virginia Commonwealth University,13.6324316709,0.279925700811,2302.18379327
174,Polytechnic University of Catalonia,146.38003663,6.56121390949,537046.951532
175,Emory University,40.1602564103,1.36920941141,91632.7849751
176,Ecole Normale Superieure de Cachan,10.8904411811,0.00512919960538,14.3720172943
177,Georgetown University,14.164898563,0.102502080383,2589.94430639
178,Binghamton University,40.1102986757,0.859410220914,21548.5467521
179,University of Otago,11.23465765,0.451307759995,5980.22886589
180,VU Amsterdam,54.7996900535,1.02770226925,45437.3996156
181,McMaster University,18.4448999718,0.205863163088,1797.04988461
182,Monash University,20.0177796562,0.0126873135892,180.137258387
183,Tel Aviv University,46.5244424989,0.175607232996,1952.62432831
184,Boise State University,5.31681459566,0.0293017643205,176.60173356
185,Drexel University,5.40681770212,0.034228419369,109.993656178
186,Boston College,2.5644195548,0.00539935886457,29.502096836
187,University of Bristol,9.62907156946,0.0524543018952,157.047599047
188,University of Kent,13.346961766,0.0250422654269,71.7961749789
189,Politecnico di Milano,96.8131234721,1.27432153795,55198.9038045
190,Australian National University,71.5878240349,2.57329417479,61403.1890176
191,Toyota Technological Institute at Chicago,1.78160045083,0.0,0.0
192,Technion-Israel Institute of Technology,138.717065169,1.99488587896,68785.1808363
193,TU Delft,64.0582035181,1.49794207896,54189.5226345
194,University of Minnesota,151.249755464,6.12780622874,396760.337354
195,New Mexico State University,11.0576923077,0.142176372992,1709.63405766
196,Pennsylvania State University,185.346163177,5.80542064562,497832.364772
197,TU Dresden,41.831959707,0.516721312688,13877.9638246
198,University of Salerno,37.5989363201,0.436763274562,6575.46772736
199,Washington University in St. Louis,48.5274443505,0.972824297213,21985.9711631
200,McGill University,46.410584277,1.76994647073,74436.2003863
201,Naval Postgraduate School,8.23943364328,0.0188955462941,62.8505136274
202,University of Edinburgh,50.3211045365,0.402078473483,5941.85843649
203,RWTH Aachen,23.2266835728,0.0178758775322,107.487651601
204,University of Bath,3.5632079459,0.0,0.0
205,IIT Kharagpur,28.7984432234,0.127569247801,950.61017431
206,University of Melbourne,48.739306847,0.585802321997,34437.8939579
207,IMDEA Software Institute,6.20183637861,0.0470959552678,397.955481017
208,University of Sydney,90.0640311154,6.48446956032,1102740.15262
209,University of North Carolina,44.4306142575,0.899898188385,14619.7935789
210,IIIT Delhi,4.45731191885,0.00566910516439,38.3174818061
211,University of Nevada,7.87802197802,0.0643393855698,366.835238379
212,Concordia University,24.9575936884,0.167792722469,951.107808121
213,IISc Bangalore,40.2636376444,1.05828186018,16275.3585344
214,Rochester Institute of Technology,25.2776436018,0.550990268531,22053.262163
215,DIKU,6.97693012116,0.00988139279292,10.019732292
216,Chulalongkorn Uniersity,0.0883347421809,0.0,0.0
217,Worcester Polytechnic Institute,16.7246336996,0.0593127668164,303.424324615
218,IST Austria,4.92504025279,0.0,0.0
219,University College London,35.8496055227,0.0616590420806,1122.09760793
220,Columbia University,65.0545822767,0.232211629851,2894.37972725
221,Massey University,2.87659886371,0.00415475949266,7.53001755433
222,University of Miami,7.42899408284,0.0732028242875,861.149100826
223,IIT Roorkee,4.67399267399,0.0728334588691,304.076883153
224,University of Tartu,4.30498027613,0.0,0.0
225,University of Victoria,24.6820491146,0.123331009086,2046.2253826
226,Carleton University,55.0778951817,0.689144036456,24090.0441074
227,Athens University of Economics and Business,34.0331220062,0.313221479907,8491.98072222
228,Texas A&M University,109.954560111,3.40235736335,76187.9640119
229,EPFL,92.8337208651,0.348241173366,5690.05972521
230,Bar-Ilan University,12.1435157791,0.00373230751294,7.93507454159
231,University of Maryland-College Park,107.51588224,3.21338063288,148137.193723
232,IIT Kanpur,16.6284446323,0.201452223801,1814.88609237
233,University of Adelaide,33.6909129332,0.452825894119,23437.073501
234,University of Warsaw,18.6308819386,0.101239601222,632.959700575
235,Stony Brook University,62.9800154973,2.57442462811,128043.757967
236,University of Notre Dame,50.9204705551,0.811195241939,19873.0077367
237,University of Western Australia,20.9462172443,0.355444036352,9945.69153099
238,IIT Hyderabad,5.49938010707,0.0640036883922,161.901063196
239,IIT Bombay,30.2918284474,0.309281968872,4019.48847509
240,IIIT Hyderabad,17.1104536489,0.361012304059,5044.07750381
241,University of Maryland-Baltimore County,28.6434182845,0.124418455416,1504.304385
242,University of New South Wales,,,
243,University of Alberta,54.8430517109,0.84015884424,15075.0120667
244,Aarhus University,10.0859457392,0.0115768435203,59.1316585491
245,University of Zurich,7.57811355311,0.00519997049647,49.0825215162
246,Max Planck Institute,21.3358752719,0.0182060434174,123.400742102
247,TU Darmstadt,39.797421809,1.38724524387,68302.180926
248,University of Athens,56.0629004903,0.538274601928,6688.53020901
249,Stevens Institute of Technology,9.71556424345,0.220070291167,2063.3850596
250,University of Calgary,33.0280607213,0.205113749692,3919.09299778
251,University of Massachusetts Lowell,19.7453437588,0.296101119991,7237.80834626
252,Rutgers University,71.4574945659,1.45138839918,83766.9901128
253,Ecole Normale Superieure de Lyon,189.806205974,12.5984613449,1028362.55561
254,Colorado State University,32.5833168968,1.21248056302,39654.7483474
255,IIT Delhi,32.1730557904,0.595496033595,7257.93404184
256,BITS Pilani,6.30198647506,0.200283165767,2017.21672027
257,University of Auckland,13.3942425096,0.0,0.0
258,National University of Singapore,96.5138537664,1.63347214528,37255.8924673
259,University of Canterbury,6.09805579036,0.00590778283222,30.4546205001
260,Chennai Mathematical Institute,,,
261,University of Montreal,15.1756621584,0.0,0.0
262,George Mason University,50.0887127829,0.706742247966,8897.85696029
263,University of Luxembourg,44.9809735137,0.951331319815,58596.5608384
264,Hebrew University of Jerusalem,43.692949892,1.34955029844,67289.5979906
265,Simon Fraser University,66.4303638669,1.31686917547,34659.8179612
266,Indiana University,65.586531585,1.70486501673,63535.2064866
267,University of Toronto,33.737368368,0.622150610048,8803.65102162
268,University at Buffalo,115.552652968,3.37170685112,110834.220761
269,TU Munich,51.5416314455,0.320998097052,9308.33216247
270,University of Waikato,4.7132642998,0.0,0.0
