,Name,Bioinformatics pscore,Bioinformatics year,Bioinformatics year combined
37,Arizona State University,59340.942316,50.9256075317,282278.775253
38,University of Nebraska - Lincoln,2183.75,0.0,0.0
39,Columbia University In The City of New York,4446.66666667,34.1986507804,82692.337587
40,University of Connecticut,78024.9666667,2142.24801201,26228654.5878
41,University of California-Davis,92981.1825821,1348.05604356,17701848.6903
42,State University of New York at Buffalo,14721.9,125.30656235,1519064.00409
43,Texas A & M University,1813.86666667,0.0,0.0
44,University of Oklahoma Norman Campus,15092.2901961,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,3800.16666667,0.0,0.0
46,University of Utah,21905.4,117.243186427,311513.546987
47,University of California-Santa Cruz,27658.1011905,12.5209631587,81711.8055735
48,Indiana University at Bloomington,17647.35,65.6327198599,452275.072554
49,University of Virginia,21944.4202381,68.6688627116,198368.416147
50,University of South Florida,35099.0285714,1222.7130115,17401858.9793
51,University of Arizona,19320.7491228,406.475518594,2179526.12746
52,Virginia Polytechnic Institute and State University,6388.6,0.0,0.0
53,University of Chicago,30595.963861,139.704777429,993345.475202
54,Washington University In St. Louis,2404.88636364,0.0,0.0
55,Georgia State University,50288.9261905,1199.03917553,17650844.1384
56,North Carolina State University,37887.9585859,461.450622259,2988560.2475
57,University of Tennessee,65918.6964286,262.299545848,3857876.25853
58,Johns Hopkins University,20130.9527473,10.5114942529,11709.8045977
59,Vanderbilt University,17879.4602564,73.3599231653,178631.412907
60,Florida Institute of Technology,5096.25,0.0,0.0
61,University of Colorado at Boulder,16936.3166667,28.3737795865,200744.490574
62,Lehigh University,12390.8333333,576.546075764,3665679.94971
63,University of Central Florida,42284.3527778,589.212026161,4908413.51226
64,University of Kentucky,39041.0666667,345.387784351,2947976.00565
65,Florida State University,23809.4833333,182.094370745,1065105.57466
66,Oklahoma State University Main Campus,11077.8928571,0.0,0.0
67,Washington State University,38097.2662393,468.066019194,6713165.22494
68,Iowa State University,73333.4642857,2226.32625789,40711007.3244
69,Northwestern University,74828.6527778,77.9812697399,706448.064967
70,Dartmouth College,36143.0166667,1901.52641567,32517504.4993
71,Boston University,18872.3757937,66.7062865122,195182.594335
72,University of Georgia,46924.9083333,1000.28644872,11802247.7217
73,Rutgers The State University of New Jersey New Brunswick Campus,1543.43333333,0.0,0.0
74,University of Maryland Baltimore County,9913.23717949,12.9233296757,56061.4041332
75,California Institute of Technology,24851.8764411,47.8803546456,127152.967543
76,University of Delaware,108036.3,7294.52449902,337883900.666
77,University of Texas at Dallas,82748.2409035,109.009135406,1310730.01713
78,University of Cincinnati Main Campus,12537.5,6.38053154015,2558.5931476
79,Kent State University Main Campus,15736.7361111,56.3879853884,126869.122834
80,Oregon State University,42215.7681818,27.6570294098,103990.430581
81,University of Iowa,17049.9027778,66.5864691387,519907.151035
82,Rensselaer Polytechnic Institute,34335.6988095,182.202240189,639755.453698
83,University of Florida,79844.0666667,2582.28072588,69218663.9642
84,Northeastern University,51132.6227744,2933.52538319,48559870.7311
85,Illinois Institute of Technology,17797.975,6.77658191948,6478.41231503
86,Auburn University,6223.75,0.0,0.0
87,Wayne State University,73017.4027778,5676.22241101,135316706.188
88,University of Oregon,24384.7452381,70.9705683739,172366.675262
89,Wright State University Main Campus,22905.1416667,88.6658983601,334857.813461
90,University of Illinois at Chicago,53461.8625541,359.560454772,3076890.0853
91,Brandeis University,12272.3166667,232.564540352,1312361.7012
92,North Dakota State University Main Campus,19272.6666667,148.741852193,678038.155282
93,City University of New York Grad. Center,992.666666667,0.0,0.0
94,State University of New York at Binghamton,5287.58333333,6.13516513473,19430.0679817
95,University of North Carolina at Charlotte,40237.867033,1010.07709356,6820180.52367
96,Case Western Reserve University,88219.1428571,1584.28645604,42819602.5693
97,University of New Mexico Main Campus,6141.31666667,42.6917044647,270451.947784
98,Syracuse University Main Campus,32800.05,51.0154293599,116409.135777
99,New Mexico State University Main Campus,348.5,0.0,0.0
100,New Jersey Institute of Technology,156.0,0.0,0.0
101,University of South Carolina Columbia,51211.1,2756.06246069,23853273.2627
102,College of William and Mary,8817.25952381,6.91115610385,8341.76541735
103,Florida International University,38737.6916667,131.302631747,1371278.77838
104,George Washington University,14671.4333333,0.0,0.0
105,Old Dominion University,23401.8166667,149.209335765,883862.156879
106,Texas Tech University,10968.8083333,26.9536739439,245601.876977
107,University of Kansas,59833.4666667,2200.33742557,39350344.0136
108,University of Arkansas Main Campus,3318.1,0.0,0.0
109,University of Alabama,11214.2833333,0.0,0.0
110,Mississippi State University,25552.3833333,92.4454438655,825907.595495
111,University of Houston,28697.5833333,465.946987555,3314876.06739
112,University of North Texas,17743.85,77.6489537367,299967.430652
113,Clemson University,44067.3833333,1742.91072464,28231637.7021
114,State University of New York at Albany,10649.5,0.0,0.0
115,Brigham Young University,28916.2916667,402.453222413,4332037.3666
116,Kansas State University,8018.71666667,107.562084278,498120.012291
117,University of Alabama In Huntsville,3081.25,0.0,0.0
118,University of Memphis,20297.1611111,480.751926097,4870829.66557
119,Temple University,41222.3666667,939.084697074,19623899.3155
120,University of Louisiana at Lafayette,16645.9166667,70.1842386824,200791.978357
121,University of Alabama at Birmingham,10025.5833333,0.0,0.0
122,Oregon Health and Science University,8862.80952381,0.0,0.0
123,Western Michigan University,3206.75,0.0,0.0
124,Southern Methodist University,10088.6666667,95.5611179191,389133.303283
125,University of Southern Mississippi,15584.5,394.457960974,4267350.89916
126,Universidade de Brasília,6377.0,194.588922669,434630.35543
127,Universidade Federal de Uberlândia,2879.16666667,0.0,0.0
128,USP - São Carlos,24716.8714286,48.6916017986,111065.543703
129,Universidade de São Paulo,29493.1333333,534.768497211,2695589.12314
130,Universidade do Vale do Rio dos Sinos,1684.16666667,0.0,0.0
131,Universidade de Fortaleza,1737.20833333,0.0,0.0
132,Universidade Federal de Campina Grande,3135.98333333,0.0,0.0
133,Universidade Federal da Bahia,503.644047619,0.0,0.0
134,Universidade Federal do Amazonas,2474.53333333,0.0,0.0
135,Universidade Federal de Minas Gerais,18105.3,94.980071401,339507.662916
136,Universidade Federal do Espírito Santo,4430.41666667,0.0,0.0
137,Universidade Federal de Pernambuco,39496.6583333,2157.38267864,55132533.3498
138,Universidade Federal de Mato Grosso do Sul,1722.46666667,0.0,0.0
139,Universidade Federal de São Carlos,6565.51071429,0.0,0.0
140,Universidade Federal de Santa Catarina,6799.08333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,9447.33333333,37.103341325,89819.9276992
142,Universidade Federal do Rio de Janeiro,32106.4857143,360.918069661,4399641.19827
143,Pontifícia Universidade Católica do Rio Grande do Sul,5089.41666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,11107.875,235.538413249,1297816.657
145,Pontifícia Universidade Católica do Paraná,4768.75,0.0,0.0
146,Universidade Estadual de Campinas,21788.3416667,186.59610451,929435.196564
147,Universidade Federal do Ceará,2397.76666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,13461.2083333,3.3966111659,2069.25916101
149,Universidade Federal do Paraná,4560.33333333,0.0,0.0
150,Universidade Federal Fluminense,5747.28333333,0.0,0.0
151,Imperial College London,54615.5026557,85.5162643151,582622.592694
152,University of Oxford,65471.6666667,189.136533118,1133409.20734
153,University of Cambridge,52671.2166667,1380.69297778,44065528.3351
154,ETH Zurich,110298.174575,4874.82333772,115482649.93
155,École Polytechnique ParisTech,20209.15,120.373735037,647277.5141
156,University of Texas at Arlington,69543.6642857,1968.16082432,26561768.8512
157,Ecole Normale Superieure,47143.4722222,446.182862159,6722875.03786
158,IIIT Bangalore,11115.5833333,113.514440478,779503.662761
159,Nanyang Technological University,134877.716667,2466.95777296,54794593.7814
160,University of Waterloo,106392.619414,2389.55368716,62914495.8401
161,Western University,44913.9666667,1134.92536125,18530221.8643
162,University of Nebraska,20297.3030303,0.0,0.0
163,Victoria University of Wellington,22811.1666667,55.1620278981,407316.413999
164,University of Queensland,32359.2,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,3693.5,8.53956355516,23116.5985438
167,University of Pittsburgh,19415.3166667,73.5704707623,361525.293326
168,University of Michigan,72395.0734486,340.318336833,6849148.77706
169,IIT Madras,18381.0095238,21.1030112705,54595.6618962
170,City University of New York,,,
171,University of British Columbia,60028.4934407,522.610965262,4092410.55098
172,Queen’s University,28797.6619048,114.044117647,450816.397059
173,Virginia Commonwealth University,19758.9761905,117.670741718,657857.13949
174,Polytechnic University of Catalonia,15641.4333333,45.9337057593,106382.462538
175,Emory University,33250.9,3206.17893993,67403632.8835
176,Ecole Normale Superieure de Cachan,13861.0443609,0.0,0.0
177,Georgetown University,9064.53333333,0.0,0.0
178,Binghamton University,8956.78333333,0.0,0.0
179,University of Otago,6100.95,19.3779106034,57629.9061346
180,VU Amsterdam,67581.7833333,4734.75305822,140581436.087
181,McMaster University,7635.08333333,0.0,0.0
182,Monash University,70796.0833333,3738.35140075,81603554.4702
183,Tel Aviv University,162783.792857,10021.3613164,350099704.574
184,Boise State University,3745.2,0.0,0.0
185,Drexel University,7960.08914141,131.413239111,322561.430066
186,Boston College,4326.0,6.73503991046,23296.5030503
187,University of Bristol,33263.0833333,2046.69153074,48029421.3822
188,University of Kent,15147.8935897,86.4773489597,746699.494968
189,Politecnico di Milano,45278.5903316,137.574494762,2223203.83536
190,Australian National University,67561.0583333,35.260959657,149513.967784
191,Toyota Technological Institute at Chicago,20885.0833333,1688.31935816,42927929.5509
192,Technion-Israel Institute of Technology,108704.361905,2763.06272798,48152526.7925
193,TU Delft,84834.7,2900.48518882,80831051.1899
194,University of Minnesota,67421.1869048,1755.89119447,31997845.3335
195,New Mexico State University,9000.16666667,222.171049054,611414.726996
196,Pennsylvania State University,98052.5502165,4626.34113694,160751938.47
197,TU Dresden,16437.5166667,0.0,0.0
198,University of Salerno,37941.0,82.4419879074,461257.688205
199,Washington University in St. Louis,56922.2,1906.6630976,21725274.2029
200,McGill University,63356.1753663,4981.00938406,101004399.277
201,Naval Postgraduate School,4029.25,0.0,0.0
202,University of Edinburgh,99141.55,5108.21778201,139765140.624
203,RWTH Aachen,31194.85,0.0,0.0
204,University of Bath,5990.55,0.0,0.0
205,IIT Kharagpur,17360.4166667,7.23069618886,12422.3360525
206,University of Melbourne,85462.5333333,2146.47091299,24524510.2757
207,IMDEA Software Institute,4914.61025641,51.2479956465,118434.117939
208,University of Sydney,49716.2190476,666.933467648,4298441.6184
209,University of North Carolina,28617.1862745,620.514774084,3492240.82953
210,IIIT Delhi,4131.40277778,0.0,0.0
211,University of Nevada,4832.93333333,0.0,0.0
212,Concordia University,25103.65,118.601823606,269822.856131
213,IISc Bangalore,20217.95,17.2666658326,102132.3284
214,Rochester Institute of Technology,15224.2619048,10.1547785236,52358.0380676
215,DIKU,14946.4166667,24.5594949948,51846.203019
216,Chulalongkorn Uniersity,36.5,0.0,0.0
217,Worcester Polytechnic Institute,24310.9833333,1304.43910101,14379200.9712
218,IST Austria,12364.1033613,8.88473371812,37449.1526219
219,University College London,129732.05,7170.50383481,175639651.034
220,Columbia University,83201.4166667,1941.11390076,31402207.5951
221,Massey University,2877.81371406,0.0,0.0
222,University of Miami,17312.8333333,733.43981619,5411744.71388
223,IIT Roorkee,6670.75,52.2682001733,247124.050419
224,University of Tartu,17854.0,916.020938725,12027441.5361
225,University of Victoria,14330.3769231,25.6214438886,108353.086205
226,Carleton University,33035.2166667,16.3280962027,49982.6235106
227,Athens University of Economics and Business,14112.75,4.26526960073,2392.81624601
228,Texas A&M University,54300.9371554,926.967549826,8158893.36052
229,EPFL,80154.1933707,2138.31261761,55551315.7556
230,Bar-Ilan University,31399.9583333,82.9896450417,485350.294738
231,University of Maryland-College Park,92573.576713,2446.32545261,60244392.3461
232,IIT Kanpur,11665.6333333,0.0,0.0
233,University of Adelaide,23457.4666667,59.2428699291,246213.367425
234,University of Warsaw,40703.7833333,910.876728711,6675801.3762
235,Stony Brook University,55341.5666667,704.902346712,7069535.40536
236,University of Notre Dame,60653.9,1129.70962246,11221740.3131
237,University of Western Australia,15089.0,46.8035916228,262081.71616
238,IIT Hyderabad,2424.83333333,0.0,0.0
239,IIT Bombay,14921.9735294,26.9560996219,63855.5536716
240,IIIT Hyderabad,18285.6666667,19.515554353,51872.3434704
241,University of Maryland-Baltimore County,28917.4645688,3.80834603402,6752.19751832
242,University of New South Wales,,,
243,University of Alberta,142788.032875,2719.60998098,124545177.675
244,Aarhus University,41624.0571429,3081.42514404,85800582.743
245,University of Zurich,6001.31428571,0.0,0.0
246,Max Planck Institute,249418.384557,24594.2620895,2204405196.83
247,TU Darmstadt,18015.45,0.0,0.0
248,University of Athens,29009.0512236,0.0,0.0
249,Stevens Institute of Technology,7324.52916667,20.4792799478,51154.7620031
250,University of Calgary,27530.5583333,171.767832406,2240631.64821
251,University of Massachusetts Lowell,6442.63333333,5.87142857143,7850.1
252,Rutgers University,72150.8682306,2676.48533453,72729334.1316
253,Ecole Normale Superieure de Lyon,29870.5833333,2.69934640523,2183.77124183
254,Colorado State University,17415.9277778,416.731037266,5132876.18601
255,IIT Delhi,10463.6166667,0.0,0.0
256,BITS Pilani,3731.33333333,0.0,0.0
257,University of Auckland,30301.6277778,782.431890236,6061496.89147
258,National University of Singapore,208798.087815,9640.35681118,535698408.735
259,University of Canterbury,4998.0,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,54111.9166667,3089.84536293,37214344.0837
262,George Mason University,56414.6456349,2294.61420077,24414890.8762
263,University of Luxembourg,22493.7833333,0.0,0.0
264,Hebrew University of Jerusalem,85674.2166667,2172.11429044,43136217.0062
265,Simon Fraser University,64787.419697,293.386962518,3667791.97414
266,Indiana University,119682.246032,10952.5391737,320449898.023
267,University of Toronto,79807.7410645,6337.72640089,234753479.617
268,University at Buffalo,88861.3801282,1696.66169267,37047743.4827
269,TU Munich,116900.916667,8861.51304993,683107456.48
270,University of Waikato,9203.25,11.694441072,44300.89239
