,Name,Operating system pscore,Operating system year,Operating system year combined
138,Universidade Federal de Mato Grosso do Sul,1006.85,0.0,0.0
139,Universidade Federal de São Carlos,4863.99702381,0.0,0.0
140,Universidade Federal de Santa Catarina,7493.41666667,86.2228071085,280655.237138
141,Universidade Federal do Rio Grande de Norte,4198.26666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,11518.2095238,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,5244.91666667,7.29741175616,7406.8729325
144,Pontifícia Universidade Católica do Rio de Janeiro,15083.0791667,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,2793.5,0.0,0.0
146,Universidade Estadual de Campinas,14708.0541667,0.0,0.0
147,Universidade Federal do Ceará,2750.31666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,15225.0833333,5.47775972739,6688.34462714
149,Universidade Federal do Paraná,4068.4,0.0,0.0
150,Universidade Federal Fluminense,5810.9,15.331974529,13399.1563755
151,Imperial College London,55574.7290598,442.109244418,919675.714359
152,University of Oxford,39267.7166667,0.0,0.0
153,University of Cambridge,47992.7916667,820.358641736,4484615.25673
154,ETH Zurich,76944.812863,1135.52799994,9550024.94875
155,École Polytechnique ParisTech,12899.0333333,6.81433434608,21199.3941506
156,University of Texas at Arlington,32930.1761905,95.2623085614,518376.123443
157,Ecole Normale Superieure,20476.7388889,0.0,0.0
158,IIIT Bangalore,5222.58333333,10.4462704941,17664.6434056
159,Nanyang Technological University,63547.4,59.8247503776,263267.926233
160,University of Waterloo,61967.8362637,420.780614637,1100750.83576
161,Western University,9560.13333333,0.0,0.0
162,University of Nebraska,19423.9767316,9.65923408444,28330.5335697
163,Victoria University of Wellington,14270.5833333,4.62651259687,10428.1593934
164,University of Queensland,19370.8333333,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1072.0,0.0,0.0
167,University of Pittsburgh,29343.0333333,80.1537303023,438965.453831
168,University of Michigan,124880.358738,2117.72545472,20773884.907
169,IIT Madras,20160.75,37.6336700429,56158.7383007
170,City University of New York,,,
171,University of British Columbia,37163.1545752,1308.60649606,6014670.39766
172,Queen’s University,28804.5666667,7.14200295984,17752.8441217
173,Virginia Commonwealth University,5204.47619048,0.0,0.0
174,Polytechnic University of Catalonia,36514.3666667,26.9764182869,143784.972035
175,Emory University,11957.6666667,207.611394121,701014.818112
176,Ecole Normale Superieure de Cachan,14034.5489975,0.0,0.0
177,Georgetown University,11064.45,57.3523872103,164131.50149
178,Binghamton University,13862.0166667,40.2339075435,98989.2753312
179,University of Otago,4403.06666667,6.11755952381,12192.296131
180,VU Amsterdam,43487.6166667,684.34678301,6610295.39268
181,McMaster University,11783.7666667,10.1103400217,29087.4482424
182,Monash University,16143.3333333,0.0,0.0
183,Tel Aviv University,44869.0547619,29.6997358209,48262.070709
184,Boise State University,2945.88333333,0.0,0.0
185,Drexel University,7604.78573649,32.0517165565,38974.8873328
186,Boston College,2705.66666667,0.0,0.0
187,University of Bristol,8653.2,0.0,0.0
188,University of Kent,16173.9923077,44.9128575255,78938.653604
189,Politecnico di Milano,45818.8246385,13.5083612871,21720.2337659
190,Australian National University,27145.4,12.5168504577,28288.0820343
191,Toyota Technological Institute at Chicago,1505.63333333,0.0,0.0
192,Technion-Israel Institute of Technology,94459.352381,372.177666122,1932822.17632
193,TU Delft,33460.2380952,21.1043767238,90909.3192843
194,University of Minnesota,59710.7119048,105.431889276,646786.066661
195,New Mexico State University,4464.41666667,0.0,0.0
196,Pennsylvania State University,75299.2612554,240.411793552,1338123.66734
197,TU Dresden,27107.1333333,167.153620307,943987.669421
198,University of Salerno,22878.15,0.0,0.0
199,Washington University in St. Louis,21866.75,21.0730715045,100230.959618
200,McGill University,23579.5124542,10.8108927203,34792.7625995
201,Naval Postgraduate School,33097.6666667,190.281954637,4277255.83114
202,University of Edinburgh,41636.1880952,85.6572509354,91536.6496386
203,RWTH Aachen,24517.6666667,12.510180167,40658.0855427
204,University of Bath,4054.91666667,0.0,0.0
205,IIT Kharagpur,13221.0,14.8848092919,29620.7704908
206,University of Melbourne,24475.4833333,89.8548211336,96324.3682552
207,IMDEA Software Institute,7429.02564103,0.0,0.0
208,University of Sydney,25177.3357143,64.3164950787,235674.735252
209,University of North Carolina,36475.8803922,445.970813662,2306871.12743
210,IIIT Delhi,6571.18055556,7.5438946461,33638.226227
211,University of Nevada,3437.58333333,0.0,0.0
212,Concordia University,11010.1333333,0.0,0.0
213,IISc Bangalore,15473.9,30.3027253262,17212.3603388
214,Rochester Institute of Technology,11824.8214286,0.0,0.0
215,DIKU,8679.85,0.0,0.0
216,Chulalongkorn Uniersity,71.5,0.0,0.0
217,Worcester Polytechnic Institute,18426.8666667,33.6567468289,75020.8886817
218,IST Austria,6687.17759104,16.761009601,37502.2993021
219,University College London,43533.0333333,323.99450157,1617807.9419
220,Columbia University,71069.3392857,1263.17764088,7758848.5081
221,Massey University,1433.96497946,0.0,0.0
222,University of Miami,2996.4,0.0,0.0
223,IIT Roorkee,3149.16666667,0.0,0.0
224,University of Tartu,6778.16666667,0.0,0.0
225,University of Victoria,18550.1173077,19.3217856761,47642.8167174
226,Carleton University,26334.7833333,17.126726431,32584.4121834
227,Athens University of Economics and Business,18612.0166667,5.9339437651,21641.0929113
228,Texas A&M University,42499.1142857,257.917799756,1312517.93283
229,EPFL,91496.9535481,2436.29598984,21239929.8784
230,Bar-Ilan University,15795.0333333,5.73745957266,26025.1166216
231,University of Maryland-College Park,72875.7537815,273.263878696,1039548.68749
232,IIT Kanpur,7858.15,0.0,0.0
233,University of Adelaide,15821.1833333,0.0,0.0
234,University of Warsaw,16300.75,27.5510600868,23060.2372926
235,Stony Brook University,39078.9,509.847092408,2705813.33808
236,University of Notre Dame,17782.2833333,5.41625074043,15208.8320791
237,University of Western Australia,7072.66666667,0.0,0.0
238,IIT Hyderabad,2144.03333333,15.0792211104,7207.86769075
239,IIT Bombay,25474.7995798,21.4689569881,172303.933687
240,IIIT Hyderabad,9410.83333333,2.93251134406,2170.0583946
241,University of Maryland-Baltimore County,14632.3029526,0.0,0.0
242,University of New South Wales,,,
243,University of Alberta,26634.5351648,12.5128640538,41555.0014423
244,Aarhus University,14885.05,0.0,0.0
245,University of Zurich,9419.55952381,0.0,0.0
246,Max Planck Institute,34410.8842916,1139.91689112,13309184.3009
247,TU Darmstadt,35800.75,107.050844921,356517.619208
248,University of Athens,32137.3045297,70.3018289635,233809.674708
249,Stevens Institute of Technology,10118.1583333,100.047943242,316077.375461
250,University of Calgary,31135.0666667,7.37523489377,6689.33804865
251,University of Massachusetts Lowell,10726.1,0.0,0.0
252,Rutgers University,40452.2631186,175.701521266,667225.335338
253,Ecole Normale Superieure de Lyon,41069.6,0.0,0.0
254,Colorado State University,12476.3722222,0.0,0.0
255,IIT Delhi,10176.6166667,53.9322980755,62615.3980657
256,BITS Pilani,3927.33333333,0.0,0.0
257,University of Auckland,13279.9111111,7.52682683486,3936.53043463
258,National University of Singapore,67745.9257703,208.654937709,816760.082987
259,University of Canterbury,5701.25,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,12494.95,0.0,0.0
262,George Mason University,37520.2789683,52.3258038338,88962.6415198
263,University of Luxembourg,26725.3333333,0.0,0.0
264,Hebrew University of Jerusalem,26969.4694444,97.114057205,490630.75272
265,Simon Fraser University,29906.0136364,2.98900312969,14191.7868598
266,Indiana University,28077.984127,10.4614867116,14807.2824412
267,University of Toronto,45899.6503885,338.89758567,782963.201058
268,University at Buffalo,48168.7826923,36.7958942432,153863.511089
269,TU Munich,34672.1666667,37.7857165467,283090.588368
270,University of Waikato,6531.66666667,2.01017584489,7606.50539706
