,Name,Computer vision pscore,Computer vision year,Computer vision year combined
171,University of British Columbia,158846.372923,7998.41565863,440187575.741
172,Queen’s University,66892.4261905,59.9768186961,351125.553694
173,Virginia Commonwealth University,7117.5,0.0,0.0
174,Polytechnic University of Catalonia,4896.53333333,0.0,0.0
175,Emory University,10045.5666667,20.7867257797,55396.6242029
176,Ecole Normale Superieure de Cachan,1906.9235589,0.0,0.0
177,Georgetown University,6299.46666667,72.1731969778,254554.865741
178,Binghamton University,74313.0833333,4033.4610654,131814591.964
179,University of Otago,16916.3166667,600.816611701,5318141.76612
180,VU Amsterdam,16603.5833333,0.0,0.0
181,McMaster University,3924.11666667,0.0,0.0
182,Monash University,35495.6833333,365.485135206,1731616.12604
183,Tel Aviv University,226259.495238,26149.396804,2600301789.03
184,Boise State University,9079.68333333,118.868711307,1013474.6326
185,Drexel University,100412.936869,20053.4185386,1544051596.21
186,Boston College,47276.5833333,1921.50143798,124034839.323
187,University of Bristol,114754.7,14650.5692266,405296233.409
188,University of Kent,6808.17692308,18.6486014,30145.3951914
189,Politecnico di Milano,93559.8873867,2348.7872679,61264757.0769
190,Australian National University,496890.666667,71797.2932433,7139737697.69
191,Toyota Technological Institute at Chicago,49729.15,5698.59693035,230459012.275
192,Technion-Israel Institute of Technology,586194.333333,65885.5820603,5117833773.0
193,TU Delft,207576.686905,3921.98803123,118683779.385
194,University of Minnesota,153571.390476,3168.69428107,118038676.521
195,New Mexico State University,6699.75,0.0,0.0
196,Pennsylvania State University,220645.749351,37730.8923628,4626745022.26
197,TU Dresden,140990.766667,38791.2599956,6265229231.3
198,University of Salerno,68711.6666667,168.406414159,2827542.56185
199,Washington University in St. Louis,52668.7166667,6197.11976949,258142895.117
200,McGill University,154607.373993,10701.0094311,711825230.807
201,Naval Postgraduate School,13187.6666667,395.666916217,2733884.19653
202,University of Edinburgh,269355.114286,29917.0366639,2945507199.09
203,RWTH Aachen,211016.1,19378.2614125,1831504480.4
204,University of Bath,61448.7,5355.19883518,79118664.2917
205,IIT Kharagpur,49203.8333333,753.942468565,6843449.35241
206,University of Melbourne,41272.2333333,103.808291703,852239.655891
207,IMDEA Software Institute,1033.69358974,0.0,0.0
208,University of Sydney,91174.6357143,584.258333822,12055300.7373
209,University of North Carolina,243005.523529,25491.2174907,1633532971.55
210,IIIT Delhi,51952.1805556,5232.24357688,117744155.413
211,University of Nevada,35508.9666667,1009.82258716,22024184.8467
212,Concordia University,54615.6166667,578.580807691,6291547.06342
213,IISc Bangalore,40163.5916667,110.782696545,579282.720235
214,Rochester Institute of Technology,85945.4166667,1690.9034839,114630146.521
215,DIKU,138954.383333,10396.7626307,311004884.261
216,Chulalongkorn Uniersity,11.0,0.0,0.0
217,Worcester Polytechnic Institute,32828.95,1525.48082099,11183540.4431
218,IST Austria,100108.0507,16793.0335651,1066268227.28
219,University College London,406586.366667,30610.0917013,1617367343.09
220,Columbia University,663460.753571,70369.0342158,16032065792.8
221,Massey University,13128.3291153,207.656422745,1467300.28312
222,University of Miami,5774.0,0.0,0.0
223,IIT Roorkee,8824.41666667,12.9546243591,26556.9799362
224,University of Tartu,3083.25,0.0,0.0
225,University of Victoria,19862.7685897,0.0,0.0
226,Carleton University,49533.9,746.477730342,14054653.3864
227,Athens University of Economics and Business,18859.45,238.210679216,1478110.197
228,Texas A&M University,118477.150251,1696.92996594,40839940.6835
229,EPFL,454426.900467,64341.559657,19568711582.1
230,Bar-Ilan University,37693.5333333,515.451591326,8958033.20565
231,University of Maryland-College Park,596494.482385,80981.2569878,20036920853.0
232,IIT Kanpur,41438.7833333,3922.02682521,62883345.1522
233,University of Adelaide,330239.333333,48362.8479993,4047947583.48
234,University of Warsaw,3945.55,0.0,0.0
235,Stony Brook University,323141.483333,31859.5986089,2778638135.15
236,University of Notre Dame,204276.533333,19253.084865,1711673353.42
237,University of Western Australia,93475.3333333,8303.26555713,436946686.522
238,IIT Hyderabad,8637.8,242.840065172,1778907.67199
239,IIT Bombay,31299.0703081,1191.0748053,14308553.9601
240,IIIT Hyderabad,170461.166667,13439.7080239,1037629707.54
241,University of Maryland-Baltimore County,81407.3791764,3055.92568516,89972321.2376
242,University of New South Wales,,,
243,University of Alberta,295885.222161,8791.24437274,469892623.746
244,Aarhus University,6520.10238095,0.0,0.0
245,University of Zurich,19782.1880952,333.297153979,5211101.00247
246,Max Planck Institute,510463.359343,62829.1499207,10565575674.7
247,TU Darmstadt,127727.416667,20474.9561373,2015282588.38
248,University of Athens,73555.6736289,1030.06987013,26336317.0107
249,Stevens Institute of Technology,44602.8833333,8131.05759176,290438931.485
250,University of Calgary,36890.25,699.122435695,9222153.3794
251,University of Massachusetts Lowell,20903.8833333,228.560042323,6879885.83397
252,Rutgers University,383805.42521,40580.8713739,6997840369.69
253,Ecole Normale Superieure de Lyon,18873.2333333,185.136510075,1822854.0782
254,Colorado State University,82382.3888889,9604.2722853,542995659.655
255,IIT Delhi,34431.3333333,2044.75823104,47250554.4544
256,BITS Pilani,1184.16666667,0.0,0.0
257,University of Auckland,86645.9777778,1769.90475663,148470718.191
258,National University of Singapore,276638.356022,8155.34452021,406702029.569
259,University of Canterbury,12673.5,71.7527101926,217593.852537
260,Chennai Mathematical Institute,,,
261,University of Montreal,141036.3,9069.52467354,284647040.334
262,George Mason University,141817.736111,7401.71832284,303186250.005
263,University of Luxembourg,36056.8333333,83.8357508987,2605447.46643
264,Hebrew University of Jerusalem,497388.669444,63269.5512976,6577053437.64
265,Simon Fraser University,356805.892424,43699.2942572,3461832702.61
266,Indiana University,79306.6912698,8053.90563685,177191687.741
267,University of Toronto,473705.380458,91613.6845642,9556240595.9
268,University at Buffalo,251540.410897,4511.48819832,321608835.917
269,TU Munich,512736.5,53750.6640125,10113918888.9
270,University of Waikato,6936.0,0.0,0.0
