,Name,Speech recognition pscore,Speech recognition year,Speech recognition year combined
128,USP - São Carlos,23246.3166667,188.395811175,1566653.44082
129,Universidade de São Paulo,16228.5833333,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,5388.5,0.0,0.0
131,Universidade de Fortaleza,644.666666667,0.0,0.0
132,Universidade Federal de Campina Grande,1895.33333333,0.0,0.0
133,Universidade Federal da Bahia,254.833333333,0.0,0.0
134,Universidade Federal do Amazonas,7963.96666667,0.0,0.0
135,Universidade Federal de Minas Gerais,6776.46666667,0.0,0.0
136,Universidade Federal do Espírito Santo,951.583333333,0.0,0.0
137,Universidade Federal de Pernambuco,29160.6333333,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,303.833333333,0.0,0.0
139,Universidade Federal de São Carlos,8214.66666667,0.0,0.0
140,Universidade Federal de Santa Catarina,1719.33333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1472.1,0.0,0.0
142,Universidade Federal do Rio de Janeiro,14350.55,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,5048.83333333,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,4012.45,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,15150.8333333,0.0,0.0
146,Universidade Estadual de Campinas,21112.4833333,27.1730485287,276757.499265
147,Universidade Federal do Ceará,437.166666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,42916.2583333,269.869415511,2761020.15273
149,Universidade Federal do Paraná,12610.45,0.0,0.0
150,Universidade Federal Fluminense,1786.91666667,0.0,0.0
151,Imperial College London,72150.4257326,55.0234750304,347276.370752
152,University of Oxford,78564.7666667,1880.90164493,57968937.8657
153,University of Cambridge,51940.9166667,68.6111590805,683074.377578
154,ETH Zurich,174673.46232,1001.04457827,39623732.7055
155,École Polytechnique ParisTech,15527.45,0.0,0.0
156,University of Texas at Arlington,32524.9619048,329.673983399,2532555.54047
157,Ecole Normale Superieure,64502.2777778,343.845691449,9912127.00059
158,IIIT Bangalore,117892.666667,10484.479095,1131414981.62
159,Nanyang Technological University,356397.066667,13559.4806851,1036623136.21
160,University of Waterloo,570524.210806,62529.8378648,34218559510.7
161,Western University,14097.8333333,0.0,0.0
162,University of Nebraska,27335.2521645,298.613929598,8676526.33841
163,Victoria University of Wellington,547066.25,52338.3608647,21540216814.9
164,University of Queensland,95476.8166667,255.714491597,12822403.6096
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,5317.5,0.0,0.0
167,University of Pittsburgh,100780.277778,4701.460695,495958406.972
168,University of Michigan,324460.880647,6947.77568305,233466564.366
169,IIT Madras,180184.216667,19551.1918234,2579756876.98
170,City University of New York,,,
171,University of British Columbia,31558.1623016,116.622617473,1571547.26277
172,Queen’s University,6299.79285714,0.0,0.0
173,Virginia Commonwealth University,2534.75,0.0,0.0
174,Polytechnic University of Catalonia,29888.5833333,352.183679481,9724495.75783
175,Emory University,24903.3166667,192.082128699,3064286.19914
176,Ecole Normale Superieure de Cachan,1570.20864662,0.0,0.0
177,Georgetown University,3218.43333333,0.0,0.0
178,Binghamton University,11965.5833333,0.0,0.0
179,University of Otago,8866.05,0.0,0.0
180,VU Amsterdam,13994.25,0.0,0.0
181,McMaster University,58229.2166667,1942.65480205,153289062.465
182,Monash University,24380.5166667,85.4086531554,1313499.67688
183,Tel Aviv University,39433.5380952,27.7885766855,241899.560048
184,Boise State University,2161.31666667,0.0,0.0
185,Drexel University,11676.2389472,0.0,0.0
186,Boston College,4198.41666667,5.17271947849,22894.4564118
187,University of Bristol,9805.75,11.4953004509,23450.4129199
188,University of Kent,45387.0384615,7034.14302612,310655892.605
189,Politecnico di Milano,81990.3828224,0.0,0.0
190,Australian National University,363400.141667,8800.402333,1045776602.74
191,Toyota Technological Institute at Chicago,90795.65,13377.7374966,1638066203.5
192,Technion-Israel Institute of Technology,213287.742857,4782.219536,417829087.012
193,TU Delft,247914.047619,3637.68813432,183559811.179
194,University of Minnesota,56685.6333333,0.0,0.0
195,New Mexico State University,1725.66666667,0.0,0.0
196,Pennsylvania State University,57064.8954545,0.0,0.0
197,TU Dresden,11166.2166667,0.0,0.0
198,University of Salerno,38428.4833333,0.0,0.0
199,Washington University in St. Louis,9719.2,0.0,0.0
200,McGill University,22057.6167582,0.0,0.0
201,Naval Postgraduate School,1825.16666667,0.0,0.0
202,University of Edinburgh,1310722.45278,229782.732731,1.09316027253e+11
203,RWTH Aachen,1221948.78333,133190.233952,1.63888451834e+11
204,University of Bath,7839.41666667,0.0,0.0
205,IIT Kharagpur,43343.8666667,1503.85098087,34748497.507
206,University of Melbourne,41864.3166667,182.338970992,2091157.14843
207,IMDEA Software Institute,4128.47179487,0.0,0.0
208,University of Sydney,40422.4595238,116.463896784,472959.884841
209,University of North Carolina,27324.7166667,210.345246186,3692821.14204
210,IIIT Delhi,14418.8333333,57.3543501198,404577.585745
211,University of Nevada,11348.0333333,0.0,0.0
212,Concordia University,21592.0666667,0.0,0.0
213,IISc Bangalore,28993.4833333,88.1395560102,699485.330997
214,Rochester Institute of Technology,37376.0,190.40464795,4125829.96172
215,DIKU,8701.16666667,0.0,0.0
216,Chulalongkorn Uniersity,6.0,0.0,0.0
217,Worcester Polytechnic Institute,25855.7777778,113.731187653,1265397.76698
218,IST Austria,2687.82857143,0.0,0.0
219,University College London,115627.333333,503.416389604,33190062.3776
220,Columbia University,526487.266667,62089.9675731,25965927411.9
221,Massey University,6045.66455766,0.0,0.0
222,University of Miami,6792.91666667,11.7414669572,120291.328976
223,IIT Roorkee,1864.91666667,0.0,0.0
224,University of Tartu,3878.75,0.0,0.0
225,University of Victoria,49952.5467949,1065.04279723,42248815.85
226,Carleton University,7224.31666667,0.0,0.0
227,Athens University of Economics and Business,11320.55,44.2068420788,68476.3983801
228,Texas A&M University,102708.0,3824.79349909,199279390.889
229,EPFL,335448.958497,220.498476963,64703073.0802
230,Bar-Ilan University,90660.8083333,4216.89260731,220511986.565
231,University of Maryland-College Park,169205.51859,4123.03693402,497868941.48
232,IIT Kanpur,4548.16666667,0.0,0.0
233,University of Adelaide,39764.7166667,0.0,0.0
234,University of Warsaw,2455.31666667,0.0,0.0
235,Stony Brook University,71167.5,329.488831341,10452577.3605
236,University of Notre Dame,187365.15,3607.48688282,581234754.079
237,University of Western Australia,38732.5833333,55.6783327,1682988.96252
238,IIT Hyderabad,1360.33333333,0.0,0.0
239,IIT Bombay,31227.0053221,0.0,0.0
240,IIIT Hyderabad,191688.5,22410.989499,2401746418.9
241,University of Maryland-Baltimore County,252219.796853,0.0,0.0
242,University of New South Wales,,,
243,University of Alberta,127057.096795,123.300028378,2969733.1797
244,Aarhus University,6778.69047619,0.0,0.0
245,University of Zurich,3505.67857143,0.0,0.0
246,Max Planck Institute,24733.7449211,0.0,0.0
247,TU Darmstadt,33610.25,0.0,0.0
248,University of Athens,178715.185397,1002.23327813,40035088.5685
249,Stevens Institute of Technology,23450.6,0.0,0.0
250,University of Calgary,7952.075,0.0,0.0
251,University of Massachusetts Lowell,13795.8833333,64.9508885906,449135.394604
252,Rutgers University,30200.5027778,193.12413472,1585742.27019
253,Ecole Normale Superieure de Lyon,52887.5166667,93.7537316468,1851167.43137
254,Colorado State University,4401.22777778,0.0,0.0
255,IIT Delhi,15256.4,0.0,0.0
256,BITS Pilani,819.0,0.0,0.0
257,University of Auckland,16859.8222222,0.0,0.0
258,National University of Singapore,108394.919608,103.9677661,1722355.57072
259,University of Canterbury,7502.75,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,104088.808333,1248.0318572,51292308.2316
262,George Mason University,40496.7472222,0.0,0.0
263,University of Luxembourg,180370.0,0.0,0.0
264,Hebrew University of Jerusalem,114908.041667,589.720443103,15012740.8513
265,Simon Fraser University,30863.7045455,43.4710600211,216181.581485
266,Indiana University,32511.3539683,109.035296103,1442100.82626
267,University of Toronto,91692.2318959,2711.28307566,145149327.948
268,University at Buffalo,63347.0179487,50.730593544,1014206.02613
269,TU Munich,44854.5833333,0.0,0.0
270,University of Waikato,9072.5,0.0,0.0
