,Name,Information retrieval pscore 5 years,Information retrieval year 5 years,Information retrieval year combined 5 years
137,Universidade Federal de Pernambuco,8474.62916667,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,289.133333333,1.12954545455,396.470454545
139,Universidade Federal de São Carlos,3112.81369048,4.96853368643,11522.0296188
140,Universidade Federal de Santa Catarina,1526.41666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1638.55,0.0,0.0
142,Universidade Federal do Rio de Janeiro,4340.39285714,14.7666666667,11828.1
143,Pontifícia Universidade Católica do Rio Grande do Sul,3290.33333333,4.00367647059,7206.61764706
144,Pontifícia Universidade Católica do Rio de Janeiro,9472.82916667,28.2456681538,97516.2140791
145,Pontifícia Universidade Católica do Paraná,1805.08333333,0.0,0.0
146,Universidade Estadual de Campinas,11684.2541667,11.4486307849,72216.2097195
147,Universidade Federal do Ceará,2550.01666667,13.6794917682,46893.2977813
148,Universidade Federal do Rio Grande do Sul,9919.41666667,13.1904761905,53408.2380952
149,Universidade Federal do Paraná,3058.33333333,0.0,0.0
150,Universidade Federal Fluminense,3265.55,0.705448339155,654.656058735
151,Imperial College London,33870.5059524,64.9749860095,390236.450984
152,University of Oxford,43688.8166667,240.158524256,1946052.03789
153,University of Cambridge,19180.6142857,65.5410016569,381881.810911
154,ETH Zurich,41185.3666667,266.498741619,3384619.92269
155,École Polytechnique ParisTech,4565.03333333,0.876448068413,484.675781832
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
