,Name,Artificial intelligence pscore 5 years,Artificial intelligence year 5 years,Artificial intelligence year combined 5 years
130,Universidade do Vale do Rio dos Sinos,878.666666667,0.0,0.0
131,Universidade de Fortaleza,1083.35416667,0.0,0.0
132,Universidade Federal de Campina Grande,1452.25,0.0,0.0
133,Universidade Federal da Bahia,505.69702381,0.0,0.0
134,Universidade Federal do Amazonas,1926.31666667,3.14550697009,1950.21432146
135,Universidade Federal de Minas Gerais,10566.4666667,0.0,0.0
136,Universidade Federal do Espírito Santo,2200.16666667,0.0,0.0
137,Universidade Federal de Pernambuco,15427.3291667,85.6130977837,541132.428059
138,Universidade Federal de Mato Grosso do Sul,292.3,0.0,0.0
139,Universidade Federal de São Carlos,3509.98035714,18.4076871334,100340.302564
140,Universidade Federal de Santa Catarina,1689.0,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,3898.76666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,6049.64285714,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,3406.33333333,5.61463771384,32396.4596089
144,Pontifícia Universidade Católica do Rio de Janeiro,11778.3458333,10.3372738541,45942.64794
145,Pontifícia Universidade Católica do Paraná,2558.41666667,0.0,0.0
146,Universidade Estadual de Campinas,10586.2708333,22.8716121694,187753.064299
147,Universidade Federal do Ceará,1647.75,1.07624474151,682.339166114
148,Universidade Federal do Rio Grande do Sul,36123.45,551.547370858,13849255.2023
149,Universidade Federal do Paraná,2911.75,0.0,0.0
150,Universidade Federal Fluminense,9870.68333333,33.7366137615,218151.474881
151,Imperial College London,143805.871429,6900.5392364,1145904805.03
152,University of Oxford,187804.95,10612.8231131,793880676.182
153,University of Cambridge,17852.4380952,37.3752402942,177724.214321
154,ETH Zurich,38949.2083333,528.766642274,15689105.0704
155,École Polytechnique ParisTech,8748.23333333,10.0173461993,38763.1967011
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
