,Name,Computer graphics (images) pscore,Computer graphics (images) year,Computer graphics (images) year combined
129,Universidade de São Paulo,12035.8166667,35.6193177131,66786.2207121
130,Universidade do Vale do Rio dos Sinos,3865.66666667,14.9646637009,73207.1348249
131,Universidade de Fortaleza,1127.95833333,0.0,0.0
132,Universidade Federal de Campina Grande,3326.58333333,0.0,0.0
133,Universidade Federal da Bahia,411.125,0.0,0.0
134,Universidade Federal do Amazonas,1143.1,0.0,0.0
135,Universidade Federal de Minas Gerais,13863.0166667,14.5520103855,71988.7953771
136,Universidade Federal do Espírito Santo,1915.75,0.0,0.0
137,Universidade Federal de Pernambuco,15632.275,131.303579374,847036.643477
138,Universidade Federal de Mato Grosso do Sul,1492.05,73.1753807614,138667.346543
139,Universidade Federal de São Carlos,11518.625,37.860458768,105668.540422
140,Universidade Federal de Santa Catarina,2293.91666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1845.45,0.0,0.0
142,Universidade Federal do Rio de Janeiro,16674.95,614.457848779,3989194.67216
143,Pontifícia Universidade Católica do Rio Grande do Sul,8509.75,16.6793478261,94054.8423913
144,Pontifícia Universidade Católica do Rio de Janeiro,21551.8083333,347.6987899,2343835.19533
145,Pontifícia Universidade Católica do Paraná,2539.58333333,0.0,0.0
146,Universidade Estadual de Campinas,26940.1416667,202.98764052,1133553.312
147,Universidade Federal do Ceará,3405.7,32.1042409286,73394.9460695
148,Universidade Federal do Rio Grande do Sul,53733.6083333,4835.40290164,102465018.085
149,Universidade Federal do Paraná,8873.48333333,162.411725003,892445.791292
150,Universidade Federal Fluminense,6849.63333333,64.7742602291,184938.343665
151,Imperial College London,82702.8193834,4978.95699301,112546572.009
152,University of Oxford,25100.9666667,54.5300090761,142631.033057
153,University of Cambridge,32804.0666667,1758.83020113,32153995.7147
154,ETH Zurich,207704.993351,35126.7147295,3055136902.15
155,École Polytechnique ParisTech,15000.4333333,282.8801269,1796379.55767
156,University of Texas at Arlington,22421.1333333,0.0,0.0
157,Ecole Normale Superieure,22424.3666667,95.7723873828,545831.485134
158,IIIT Bangalore,2357.33333333,0.0,0.0
159,Nanyang Technological University,98953.9,2697.44044314,54021865.4272
160,University of Waterloo,71319.3221612,5850.7362964,69567330.571
161,Western University,17268.7333333,95.9871299329,377457.754977
162,University of Nebraska,10766.0670996,528.446000303,4330614.97248
163,Victoria University of Wellington,41945.75,3168.4663934,55429972.2269
164,University of Queensland,25049.75,88.2807193658,580607.789382
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,866.0,0.0,0.0
167,University of Pittsburgh,11020.3388889,11.4213128355,15835.0999978
168,University of Michigan,55504.6408423,106.729141805,500438.618131
169,IIT Madras,6010.95,0.0,0.0
170,City University of New York,,,
171,University of British Columbia,182601.44281,20133.8446258,821108001.671
172,Queen’s University,34649.3666667,91.2325223086,314549.856336
173,Virginia Commonwealth University,2268.75,0.0,0.0
174,Polytechnic University of Catalonia,6906.2,5.92548193563,9303.00663893
175,Emory University,5932.96666667,9.5739545683,15299.1794001
176,Ecole Normale Superieure de Cachan,2550.29580201,0.0,0.0
177,Georgetown University,2598.38333333,5.57067483544,3036.01778531
178,Binghamton University,9496.38333333,33.8530767141,124690.854161
179,University of Otago,8405.15,105.919835829,725656.795262
180,VU Amsterdam,15208.8666667,3.34821439373,8779.01814035
181,McMaster University,2247.63333333,0.0,0.0
182,Monash University,25717.4,980.688816642,10691996.3069
183,Tel Aviv University,120897.795238,20710.8962913,2928262876.53
184,Boise State University,3126.98333333,11.6321827331,17390.113186
185,Drexel University,28147.2576063,552.241857972,10362989.2462
186,Boston College,7913.33333333,80.9571832517,785770.420641
187,University of Bristol,20503.8333333,61.4681606125,116422.391734
188,University of Kent,12208.0551282,318.798663608,2320423.60345
189,Politecnico di Milano,20037.6152159,0.0,0.0
190,Australian National University,49227.9416667,23.3674126112,113511.70733
191,Toyota Technological Institute at Chicago,4050.01666667,35.6163358894,164333.773794
192,Technion-Israel Institute of Technology,168220.461905,12031.0969006,402263064.072
193,TU Delft,91413.4428571,13631.830259,445878397.733
194,University of Minnesota,95824.1095238,7099.13491388,123496348.389
195,New Mexico State University,5075.91666667,23.6384581533,57465.0917708
196,Pennsylvania State University,33942.4028139,17.1390845288,125646.62868
197,TU Dresden,35937.9666667,602.727898309,6261317.51742
198,University of Salerno,11629.4166667,1.97147425525,2018.78963738
199,Washington University in St. Louis,36437.0166667,3591.84316004,140688904.736
200,McGill University,30818.5947802,1935.34163069,27728915.2226
201,Naval Postgraduate School,13925.0,76.4482705734,375131.663704
202,University of Edinburgh,54684.9769841,2054.07618394,44056939.8293
203,RWTH Aachen,130599.816667,10528.8697067,593662591.255
204,University of Bath,38283.2166667,4384.84107923,45744762.488
205,IIT Kharagpur,6645.0,0.0,0.0
206,University of Melbourne,22846.75,60.3376872562,226018.428817
207,IMDEA Software Institute,721.221794872,0.0,0.0
208,University of Sydney,28565.9333333,517.570497949,2093794.96246
209,University of North Carolina,249310.561765,23761.5774709,2046691019.28
210,IIIT Delhi,5769.52777778,0.0,0.0
211,University of Nevada,9887.53333333,0.0,0.0
212,Concordia University,15670.6,1281.13666769,13727590.6871
213,IISc Bangalore,23375.4833333,2512.75986665,58549817.6529
214,Rochester Institute of Technology,27836.6666667,576.836740009,3674337.99596
215,DIKU,40330.7,915.742050971,6799980.35852
216,Chulalongkorn Uniersity,14.0,0.0,0.0
217,Worcester Polytechnic Institute,17226.9055556,279.93979854,1256572.68174
218,IST Austria,29863.230112,2866.01575668,64101590.5848
219,University College London,196004.783333,20825.8429614,976425343.85
220,Columbia University,125134.14881,9514.26287303,264443213.248
221,Massey University,2693.4495782,0.0,0.0
222,University of Miami,7977.08333333,35.4618238978,131244.210246
223,IIT Roorkee,1686.0,0.0,0.0
224,University of Tartu,1677.91666667,0.0,0.0
225,University of Victoria,33987.6884615,2770.2216804,55719715.7133
226,Carleton University,26351.0833333,508.098726546,3350036.374
227,Athens University of Economics and Business,9412.56666667,634.433620652,3715877.71616
228,Texas A&M University,124190.378822,14081.6542684,349986603.532
229,EPFL,88455.4423903,7559.66022516,274839200.295
230,Bar-Ilan University,8322.475,0.0,0.0
231,University of Maryland-College Park,124022.386064,3333.87484926,90389525.8274
232,IIT Kanpur,6105.2,0.0,0.0
233,University of Adelaide,24967.9166667,80.1324023803,404306.558115
234,University of Warsaw,2508.11666667,0.0,0.0
235,Stony Brook University,196281.35,11576.7984078,646471002.187
236,University of Notre Dame,35773.85,2507.80699646,41665045.9617
237,University of Western Australia,10251.4166667,15.5893452258,58771.8315011
238,IIT Hyderabad,1614.13333333,41.8848256252,98890.0733011
239,IIT Bombay,15468.6439776,264.775596659,1168575.74934
240,IIIT Hyderabad,22017.6666667,209.16752462,1709846.74983
241,University of Maryland-Baltimore County,49808.4772339,7653.32050984,129861408.468
242,University of New South Wales,,,
243,University of Alberta,48527.1801282,139.224891655,996354.887049
244,Aarhus University,17211.0452381,128.666749337,741506.47643
245,University of Zurich,41029.1666667,3805.87295685,123295060.31
246,Max Planck Institute,246044.576684,30323.3435396,6820727441.06
247,TU Darmstadt,49537.4166667,1429.04825668,21485602.1443
248,University of Athens,19889.2112082,37.9250701442,299987.304841
249,Stevens Institute of Technology,3926.1125,14.8185475016,49745.863963
250,University of Calgary,114461.375,4499.26249725,67132511.0535
251,University of Massachusetts Lowell,24107.4666667,626.273249108,7940306.15157
252,Rutgers University,52337.2757003,964.383899565,10764766.0065
253,Ecole Normale Superieure de Lyon,9606.91666667,1.2337398374,276.357723577
254,Colorado State University,8670.32777778,9.87252531289,29087.6908491
255,IIT Delhi,11958.4333333,345.535139144,2928374.08621
256,BITS Pilani,2185.83333333,0.0,0.0
257,University of Auckland,17961.7944444,75.9119350501,236557.860052
258,National University of Singapore,70014.1701681,3004.69583977,32944846.347
259,University of Canterbury,22314.4166667,287.190895922,1242293.92331
260,Chennai Mathematical Institute,,,
261,University of Montreal,51426.2333333,7064.42314474,189347402.873
262,George Mason University,31005.0611111,1773.58434591,18994190.0749
263,University of Luxembourg,9711.5,0.0,0.0
264,Hebrew University of Jerusalem,105313.605556,12269.6088509,424596702.311
265,Simon Fraser University,90456.7575758,7768.82794331,314087287.252
266,Indiana University,42281.9198413,120.712617825,705128.707414
267,University of Toronto,142627.223815,9511.00817058,221136930.968
268,University at Buffalo,27933.4435897,18.5460140721,20827.173803
269,TU Munich,94454.5833333,2097.41222906,32467036.7227
270,University of Waikato,6680.66666667,1.92325361072,4919.68273622
