,Name,Operating system pscore norm,Operating system year norm,Operating system year combined norm
114,State University of New York at Albany,16.0289883464,0.0,0.0
115,Brigham Young University,16.1104078762,0.0,0.0
116,Kansas State University,20.9060126582,0.0,0.0
117,University of Alabama In Huntsville,4.20727848101,0.0,0.0
118,University of Memphis,13.3612634787,0.0,0.0
119,Temple University,18.9999648383,0.0,0.0
120,University of Louisiana at Lafayette,43.2854781997,0.0502270344894,331.081678352
121,University of Alabama at Birmingham,9.0620604782,0.00771650366881,5.50958361953
122,Oregon Health and Science University,1.44519791039,0.0,0.0
123,Western Michigan University,7.18934599156,0.0,0.0
124,Southern Methodist University,18.501230661,0.0109187962798,10.7440955393
125,University of Southern Mississippi,4.26213080169,0.0,0.0
126,Universidade de Brasília,8.34247538678,0.0335239249268,58.4084464171
127,Universidade Federal de Uberlândia,5.5349859353,0.0584741994801,38.2802156295
128,USP - São Carlos,26.0352898332,0.0,0.0
129,Universidade de São Paulo,13.5722222222,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,2.10935302391,0.0,0.0
131,Universidade de Fortaleza,3.64772327707,0.0,0.0
132,Universidade Federal de Campina Grande,13.0130098453,0.0304339585472,38.5963465104
133,Universidade Federal da Bahia,10.9925042696,0.251093795286,378.634555397
134,Universidade Federal do Amazonas,5.80453586498,0.0,0.0
135,Universidade Federal de Minas Gerais,27.5500703235,0.0,0.0
136,Universidade Federal do Espírito Santo,13.1246483826,0.0,0.0
137,Universidade Federal de Pernambuco,26.8748154008,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,2.12415611814,0.0,0.0
139,Universidade Federal de São Carlos,10.2615970966,0.0,0.0
140,Universidade Federal de Santa Catarina,15.8088959212,0.181904656347,592.09965641
141,Universidade Federal do Rio Grande de Norte,8.85710267229,0.0,0.0
142,Universidade Federal do Rio de Janeiro,24.3000200924,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,11.0652250352,0.0153953834518,15.6263142036
144,Pontifícia Universidade Católica do Rio de Janeiro,31.8208421238,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,5.89345991561,0.0,0.0
146,Universidade Estadual de Campinas,31.0296501406,0.0,0.0
147,Universidade Federal do Ceará,5.80235583685,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,32.1204289733,0.0115564551211,14.1104317028
149,Universidade Federal do Paraná,8.58312236287,0.0,0.0
150,Universidade Federal Fluminense,12.2592827004,0.0323459378248,28.2682623957
151,Imperial College London,117.246263839,0.932719924932,1940.24412312
152,University of Oxford,82.8432841069,0.0,0.0
153,University of Cambridge,101.250615331,1.73071443404,9461.21362179
154,ETH Zurich,162.330828825,2.39562869185,20147.7319594
155,École Polytechnique ParisTech,27.2131504923,0.0143762327976,44.7244602334
156,University of Texas at Arlington,69.4729455495,0.200975334518,1093.62051359
157,Ecole Normale Superieure,43.1998710736,0.0,0.0
158,IIIT Bangalore,11.0181082982,0.0220385453463,37.2671801806
159,Nanyang Technological University,134.066244726,0.126212553539,555.417565893
160,University of Waterloo,130.73383178,0.887722815689,2322.25914718
161,Western University,20.1690576653,0.0,0.0
162,University of Nebraska,40.9788538641,0.0203781309798,59.7690581638
163,Victoria University of Wellington,30.1067158931,0.00976057509889,22.0003362729
164,University of Queensland,40.8667369902,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,2.26160337553,0.0,0.0
167,University of Pittsburgh,61.9051336146,0.16910069684,926.08745534
168,University of Michigan,263.460672444,4.46777522094,43826.7614072
169,IIT Madras,42.5332278481,0.0793959283606,118.478350845
170,City University of New York,,,
171,University of British Columbia,78.4032796944,2.76077319843,12689.1780541
172,Queen’s University,60.7691279887,0.0150675167929,37.4532576408
173,Virginia Commonwealth University,10.9799075748,0.0,0.0
174,Polytechnic University of Catalonia,77.0345288326,0.0569122748669,303.34382286
175,Emory University,25.2271448664,0.437998721774,1478.93421543
176,Ecole Normale Superieure de Cachan,29.6087531593,0.0,0.0
177,Georgetown University,23.342721519,0.12099659749,346.268990486
178,Binghamton University,29.2447609001,0.0848816614841,208.83813361
179,University of Otago,9.28917018284,0.0129062437211,25.7221437362
180,VU Amsterdam,91.7460267229,1.44376958441,13945.7708706
181,McMaster University,24.8602672293,0.0213298312694,61.365924562
182,Monash University,34.0576652602,0.0,0.0
183,Tel Aviv University,94.6604530842,0.0626576705083,101.818714576
184,Boise State University,6.21494374121,0.0,0.0
185,Drexel University,16.0438517647,0.0676196551826,82.225500702
186,Boston College,5.70815752461,0.0,0.0
187,University of Bristol,18.2556962025,0.0,0.0
188,University of Kent,34.1223466407,0.0947528639778,166.53724389
189,Politecnico di Milano,96.6641870011,0.0284986525045,45.8232779871
190,Australian National University,57.2687763713,0.0264068575056,59.6794979627
191,Toyota Technological Institute at Chicago,3.1764416315,0.0,0.0
192,Technion-Israel Institute of Technology,199.281334137,0.785184949624,4077.68391629
193,TU Delft,70.5912196102,0.0445240015271,191.791812836
194,University of Minnesota,125.971966044,0.222430146151,1364.5275668
195,New Mexico State University,9.41860056259,0.0,0.0
196,Pennsylvania State University,158.859200961,0.507197876691,2823.04571168
197,TU Dresden,57.188045007,0.35264476858,1991.53516756
198,University of Salerno,48.2661392405,0.0,0.0
199,Washington University in St. Louis,46.1323839662,0.0444579567605,211.457720713
200,McGill University,49.7458068654,0.0228077905492,73.4024527415
201,Naval Postgraduate School,69.8263009845,0.401438722863,9023.74647919
202,University of Edinburgh,87.8400592727,0.180711499864,193.115294596
203,RWTH Aachen,51.7250351617,0.0263927851624,85.7765517779
204,University of Bath,8.55467651196,0.0,0.0
205,IIT Kharagpur,27.8924050633,0.0314025512487,62.4910769848
206,University of Melbourne,51.6360407876,0.189567133193,203.215966783
207,IMDEA Software Institute,15.6730498756,0.0,0.0
208,University of Sydney,53.1167420133,0.135688808183,497.20408281
209,University of North Carolina,76.9533341607,0.940866695489,4866.81672453
210,IIIT Delhi,13.8632501172,0.0159153895487,70.9667219978
211,University of Nevada,7.25228551336,0.0,0.0
212,Concordia University,23.2281293952,0.0,0.0
213,IISc Bangalore,32.6453586498,0.0639298002662,36.3129964954
214,Rochester Institute of Technology,24.946880651,0.0,0.0
215,DIKU,18.3119198312,0.0,0.0
216,Chulalongkorn Uniersity,0.150843881857,0.0,0.0
217,Worcester Polytechnic Institute,38.8752461322,0.0710057949977,158.27191705
218,IST Austria,14.1079696013,0.035360779749,79.118774899
219,University College London,91.8418424754,0.683532703735,3413.09692385
220,Columbia University,149.935314949,2.66493173182,16368.8787091
221,Massey University,3.02524257271,0.0,0.0
222,University of Miami,6.32151898734,0.0,0.0
223,IIT Roorkee,6.64381153305,0.0,0.0
224,University of Tartu,14.2999296765,0.0,0.0
225,University of Victoria,39.1352685816,0.04076326092,100.512271556
226,Carleton University,55.5586146273,0.0361323342426,68.743485619
227,Athens University of Economics and Business,39.2658579466,0.0125188687027,45.6563141589
228,Texas A&M University,89.6605786618,0.544130379231,2769.02517474
229,EPFL,193.03154757,5.13986495746,44809.9786465
230,Bar-Ilan University,33.3228551336,0.01210434509,54.9053093282
231,University of Maryland-College Park,153.746315995,0.576506073199,2193.1406909
232,IIT Kanpur,16.5783755274,0.0,0.0
233,University of Adelaide,33.37802391,0.0,0.0
234,University of Warsaw,34.3897679325,0.0581245993392,48.6502896469
235,Stony Brook University,82.4449367089,1.07562677723,5708.46695797
236,University of Notre Dame,37.5153656821,0.0114266893258,32.0861436268
237,University of Western Australia,14.9212376934,0.0,0.0
238,IIT Hyderabad,4.52327707454,0.0318127027645,15.2064719214
239,IIT Bombay,53.744302911,0.0452931582028,363.510408622
240,IIIT Hyderabad,19.8540787623,0.00618673279338,4.5781822671
241,University of Maryland-Baltimore County,30.8698374527,0.0,0.0
242,University of New South Wales,,,
243,University of Alberta,56.1910024575,0.0263984473709,87.6687794141
244,Aarhus University,31.4030590717,0.0,0.0
245,University of Zurich,19.8724884469,0.0,0.0
246,Max Planck Institute,72.596802303,2.40488795596,28078.4478921
247,TU Darmstadt,75.5290084388,0.225845664391,752.146875965
248,University of Athens,67.8002205268,0.14831609486,493.269355923
249,Stevens Institute of Technology,21.3463255977,0.211071610215,666.829906037
250,University of Calgary,65.6857946554,0.0155595672864,14.1125275288
251,University of Massachusetts Lowell,22.6289029536,0.0,0.0
252,Rutgers University,85.3423272544,0.370678314908,1407.64838679
253,Ecole Normale Superieure de Lyon,86.6447257384,0.0,0.0
254,Colorado State University,26.3214603844,0.0,0.0
255,IIT Delhi,21.4696554149,0.113781219569,132.099995919
256,BITS Pilani,8.28551336146,0.0,0.0
257,University of Auckland,28.0166901078,0.0158793815081,8.30491652875
258,National University of Singapore,142.92389403,0.440200290525,1723.12253795
259,University of Canterbury,12.0279535865,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,26.3606540084,0.0,0.0
262,George Mason University,79.1567066841,0.11039199121,187.684897721
263,University of Luxembourg,56.382559775,0.0,0.0
264,Hebrew University of Jerusalem,56.8976148617,0.204881977226,1035.0859762
265,Simon Fraser University,63.0928557729,0.00630591377572,29.9404786071
266,Indiana University,59.2362534325,0.022070647071,31.2389924919
267,University of Toronto,96.834705461,0.714973809431,1651.82109928
268,University at Buffalo,101.621904414,0.0776284688676,324.606563479
269,TU Munich,73.1480309423,0.0797167015754,597.237528203
270,University of Waikato,13.7798874824,0.00424087730989,16.0474797406
