,Name,World Wide Web pscore,World Wide Web year,World Wide Web year combined
121,University of Alabama at Birmingham,10423.5833333,0.0,0.0
122,Oregon Health and Science University,9245.78571429,30.6518499647,54715.8033486
123,Western Michigan University,4135.75,0.0,0.0
124,Southern Methodist University,13451.3333333,29.8549382716,48365.0
125,University of Southern Mississippi,8121.33333333,0.0,0.0
126,Universidade de Brasília,8261.25,605.356494209,2186934.15829
127,Universidade Federal de Uberlândia,5409.5,8.36370380994,9584.80456619
128,USP - São Carlos,43964.2142857,57.6169097496,402052.554906
129,Universidade de São Paulo,13006.1166667,7.45164776202,9009.04214428
130,Universidade do Vale do Rio dos Sinos,2503.0,0.0,0.0
131,Universidade de Fortaleza,6291.25,112.107142857,176120.321429
132,Universidade Federal de Campina Grande,9140.75,0.0,0.0
133,Universidade Federal da Bahia,1716.32380952,0.0,0.0
134,Universidade Federal do Amazonas,21352.3666667,226.206083013,4061387.25268
135,Universidade Federal de Minas Gerais,84063.8833333,1520.6559708,23448207.168
136,Universidade Federal do Espírito Santo,9561.25,57.4031119149,187992.372982
137,Universidade Federal de Pernambuco,37266.4833333,256.869666907,1148035.21473
138,Universidade Federal de Mato Grosso do Sul,1115.3,0.0,0.0
139,Universidade Federal de São Carlos,14856.3238095,103.044118467,534077.666017
140,Universidade Federal de Santa Catarina,6954.33333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,6381.15,0.0,0.0
142,Universidade Federal do Rio de Janeiro,20584.6904762,25.0149150851,80688.2175481
143,Pontifícia Universidade Católica do Rio Grande do Sul,13070.8333333,105.776399233,470887.555597
144,Pontifícia Universidade Católica do Rio de Janeiro,58361.55,2007.15908182,36059332.4914
145,Pontifícia Universidade Católica do Paraná,6635.25,0.0,0.0
146,Universidade Estadual de Campinas,30657.7833333,22.4742599743,45757.5933076
147,Universidade Federal do Ceará,8766.96666667,65.8747640052,142986.80141
148,Universidade Federal do Rio Grande do Sul,36189.3583333,35.5297810696,93451.0875992
149,Universidade Federal do Paraná,11316.7,110.260606061,267529.422727
150,Universidade Federal Fluminense,14780.1166667,13.9350079786,50430.7938746
151,Imperial College London,101507.0808,157.432039728,2717066.61353
152,University of Oxford,279243.966667,20016.6209101,830891226.279
153,University of Cambridge,52781.4916667,253.075166518,2869141.11014
154,ETH Zurich,152835.402335,326.368392343,9795805.41709
155,École Polytechnique ParisTech,16704.8166667,46.6970559455,100154.520125
156,University of Texas at Arlington,114556.2,472.183158434,9440609.39226
157,Ecole Normale Superieure,28691.1944444,0.0,0.0
158,IIIT Bangalore,12981.3333333,94.8991966533,387106.058472
159,Nanyang Technological University,223937.416667,1800.80008381,37965724.9639
160,University of Waterloo,195855.356044,631.818995352,17121464.5488
161,Western University,30411.65,0.0,0.0
162,University of Nebraska,28741.516342,6.97556642865,20522.1164331
163,Victoria University of Wellington,22819.8333333,0.0,0.0
164,University of Queensland,115883.433333,625.765097375,16574003.0783
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,3295.0,0.0,0.0
167,University of Pittsburgh,59502.8555556,19.7248204852,439074.504001
168,University of Michigan,229073.483858,2719.93820462,55045694.0027
169,IIT Madras,34259.05,276.792970894,1131017.50056
170,City University of New York,,,
171,University of British Columbia,110578.920938,606.215997511,16630890.8991
172,Queen’s University,37792.3714286,0.0,0.0
173,Virginia Commonwealth University,8718.47619048,0.0,0.0
174,Polytechnic University of Catalonia,29321.3666667,110.896857978,582703.869662
175,Emory University,50261.1166667,1753.84547318,64765637.74
176,Ecole Normale Superieure de Cachan,33184.2169173,123.081618206,3738727.23462
177,Georgetown University,56529.6666667,535.472376085,10292131.2387
178,Binghamton University,41622.3166667,272.345832425,9224431.36568
179,University of Otago,10927.5666667,0.0,0.0
180,VU Amsterdam,228364.866667,22644.1636345,446942942.972
181,McMaster University,15347.4666667,107.117069063,190612.379683
182,Monash University,80565.5666667,875.619269906,8786133.32161
183,Tel Aviv University,100235.3,96.7955456808,1434451.22214
184,Boise State University,7988.48333333,0.0,0.0
185,Drexel University,28832.8822761,48.1098645542,361577.978187
186,Boston College,11384.25,64.386145432,168756.087177
187,University of Bristol,23700.4666667,369.222118826,1934473.81822
188,University of Kent,14551.6294872,5.89812362118,10693.2981252
189,Politecnico di Milano,176153.515452,5395.35014661,125601565.425
190,Australian National University,103745.025,1633.95534501,19143378.7859
191,Toyota Technological Institute at Chicago,13625.3,0.0,0.0
192,Technion-Israel Institute of Technology,135290.97381,261.696561769,2277089.90507
193,TU Delft,95031.4428571,1835.23699201,43433523.6918
194,University of Minnesota,188204.429762,947.361373629,21287157.1228
195,New Mexico State University,17218.6666667,8.86513157895,79085.8388158
196,Pennsylvania State University,187149.639394,3216.31130066,240731102.593
197,TU Dresden,85038.4,1305.6862574,19956931.9218
198,University of Salerno,43903.2833333,117.10205831,591823.823577
199,Washington University in St. Louis,37265.35,41.4870369788,138944.776929
200,McGill University,50331.6239011,72.0946986297,662092.086758
201,Naval Postgraduate School,16806.75,0.0,0.0
202,University of Edinburgh,152798.354365,1933.10820225,14464476.6779
203,RWTH Aachen,111684.8,5941.03792614,336373619.091
204,University of Bath,14408.15,5.8171719892,13992.4255084
205,IIT Kharagpur,35781.6833333,419.862858305,6085377.90011
206,University of Melbourne,139886.616667,267.391968885,4154730.26902
207,IMDEA Software Institute,4117.67948718,0.0,0.0
208,University of Sydney,61599.4952381,138.584403353,562026.255783
209,University of North Carolina,37846.7901961,26.5442443021,53000.48665
210,IIIT Delhi,15041.3888889,202.861791676,1603839.45261
211,University of Nevada,6254.65,0.0,0.0
212,Concordia University,43337.0333333,578.023145315,4582393.16034
213,IISc Bangalore,45834.4333333,404.288486816,3205726.33221
214,Rochester Institute of Technology,26299.4047619,52.6230912939,175534.356077
215,DIKU,29185.65,12.3504633761,76523.4710786
216,Chulalongkorn Uniersity,106.5,0.0,0.0
217,Worcester Polytechnic Institute,100171.805556,995.77261672,15615261.2977
218,IST Austria,13750.4554622,6.56665817043,42551.9449444
219,University College London,135006.016667,1198.4305987,18781352.1986
220,Columbia University,172461.813095,728.327350318,8002854.96193
221,Massey University,8266.95929071,3.67747636547,3092.75762336
222,University of Miami,16170.8333333,126.813821764,586098.54979
223,IIT Roorkee,5304.33333333,19.0113636364,31806.0113636
224,University of Tartu,19299.3333333,71.0784238258,1026017.04793
225,University of Victoria,28139.6544872,74.605414298,350799.408024
226,Carleton University,41134.2333333,5.05000576594,11281.7128811
227,Athens University of Economics and Business,60326.1666667,550.183562674,11840779.1852
228,Texas A&M University,104517.734524,1959.07521132,49331092.217
229,EPFL,146729.769514,1515.43092591,54443887.3306
230,Bar-Ilan University,78872.725,39.1364890401,157774.895635
231,University of Maryland-College Park,175012.468191,507.506999813,8239061.37756
232,IIT Kanpur,24721.3666667,59.2328279913,271867.563504
233,University of Adelaide,43809.6666667,261.286035832,6050862.0178
234,University of Warsaw,30414.05,10.8322367996,23765.9275383
235,Stony Brook University,92666.1166667,830.732203838,11457469.5591
236,University of Notre Dame,49515.5833333,713.836540278,8619553.3189
237,University of Western Australia,13486.75,0.0,0.0
238,IIT Hyderabad,4459.8,0.0,0.0
239,IIT Bombay,111307.806022,2256.0759049,68567696.2939
240,IIIT Hyderabad,58745.0833333,625.189452508,9959378.24653
241,University of Maryland-Baltimore County,78025.3839549,1579.07067777,33647478.3456
242,University of New South Wales,,,
243,University of Alberta,164378.249725,935.228398371,12523400.0058
244,Aarhus University,43372.6857143,203.7099926,1701383.31186
245,University of Zurich,57043.0666667,5316.55282536,172886378.866
246,Max Planck Institute,140582.111035,3831.98483597,325603853.919
247,TU Darmstadt,53137.0666667,118.199053819,624145.109393
248,University of Athens,91426.1407968,2571.43413818,59310232.3902
249,Stevens Institute of Technology,12498.25,35.0530011167,77957.8744835
250,University of Calgary,51749.575,172.562455174,1223987.11011
251,University of Massachusetts Lowell,23360.1833333,24.3886389524,56598.5620185
252,Rutgers University,121487.625607,1921.2260861,33281005.8217
253,Ecole Normale Superieure de Lyon,26540.7333333,0.0,0.0
254,Colorado State University,18018.7722222,0.0,0.0
255,IIT Delhi,33688.35,513.384467005,4855814.43329
256,BITS Pilani,4816.5,0.0,0.0
257,University of Auckland,35185.7,286.312774434,935680.542256
258,National University of Singapore,357993.37507,1806.62014801,50470945.3011
259,University of Canterbury,11125.25,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,63715.3583333,115.345037442,3572349.62941
262,George Mason University,85941.5761905,115.865219525,543544.813484
263,University of Luxembourg,28363.4166667,12.8451869001,15101.8301418
264,Hebrew University of Jerusalem,101630.627778,518.176461962,4851953.37205
265,Simon Fraser University,154142.348485,1129.22740637,46892217.6421
266,Indiana University,69648.5742063,241.717650947,1030691.74146
267,University of Toronto,173242.861305,1495.47719654,37967972.7667
268,University at Buffalo,97579.8012821,218.901269787,2155980.17079
269,TU Munich,93180.0,127.469627802,2151304.90841
270,University of Waikato,29502.4166667,28.4387168824,218426.659887
