,Name,Computer graphics (images) pscore norm,Computer graphics (images) year norm,Computer graphics (images) year combined norm
169,IIT Madras,4.65965116279,0.0,0.0
170,City University of New York,,,
171,University of British Columbia,141.551506055,15.6076314929,636517.830752
172,Queen’s University,26.8599741602,0.0707228855105,243.837097935
173,Virginia Commonwealth University,1.75872093023,0.0,0.0
174,Polytechnic University of Catalonia,5.35364341085,0.00459339684932,7.21163305344
175,Emory University,4.59919896641,0.00742167020798,11.8598289924
176,Ecole Normale Superieure de Cachan,1.97697348993,0.0,0.0
177,Georgetown University,2.01425064599,0.00431835258561,2.35350215916
178,Binghamton University,7.3615374677,0.0262426951272,96.6595768694
179,University of Otago,6.51562015504,0.0821083998672,562.52464749
180,VU Amsterdam,11.7898191214,0.0025955150339,6.80544041888
181,McMaster University,1.74235142119,0.0,0.0
182,Monash University,19.9359689922,0.76022388887,8288.36923013
183,Tel Aviv University,93.7192211148,16.0549583653,2269971.22211
184,Boise State University,2.42401808786,0.00901719591715,13.4807078961
185,Drexel University,21.8195795398,0.428094463544,8033.32499707
186,Boston College,6.13436692506,0.0627575063966,609.124357086
187,University of Bristol,15.8944444444,0.0476497369089,90.2499160725
188,University of Kent,9.46360862652,0.247130746983,1798.77798717
189,Politecnico di Milano,15.5330350511,0.0,0.0
190,Australian National University,38.1611950904,0.0181142733421,87.9935715735
191,Toyota Technological Institute at Chicago,3.13954780362,0.027609562705,127.390522321
192,Technion-Israel Institute of Technology,130.403458841,9.32643170588,311831.832614
193,TU Delft,70.8631339978,10.5673102783,345642.168785
194,University of Minnesota,74.2822554448,5.50320535959,95733.603402
195,New Mexico State University,3.93481912145,0.0183243861654,44.5465827681
196,Pennsylvania State University,26.3119401658,0.0132861120378,97.4004873491
197,TU Dresden,27.8588888889,0.467230928922,4853.73450963
198,University of Salerno,9.01505167959,0.00152827461647,1.56495320727
199,Washington University in St. Louis,28.245749354,2.78437454267,109061.166462
200,McGill University,23.8903835506,1.50026482999,21495.2831183
201,Naval Postgraduate School,10.7945736434,0.0592622252507,290.799739305
202,University of Edinburgh,42.3914550265,1.59230711933,34152.6665343
203,RWTH Aachen,101.240167959,8.16191450135,460203.559113
204,University of Bath,29.6769121447,3.39910161181,35461.0561923
205,IIT Kharagpur,5.1511627907,0.0,0.0
206,University of Melbourne,17.7106589147,0.0467734009738,175.208084354
207,IMDEA Software Institute,0.559086662691,0.0,0.0
208,University of Sydney,22.1441343669,0.40121744027,1623.09687012
209,University of North Carolina,193.264001368,18.4198274968,1586582.18548
210,IIIT Delhi,4.47250215332,0.0,0.0
211,University of Nevada,7.66475452196,0.0,0.0
212,Concordia University,12.147751938,0.99312919976,10641.5431683
213,IISc Bangalore,18.1205297158,1.94787586562,45387.4555449
214,Rochester Institute of Technology,21.5788113695,0.447160263573,2848.32402788
215,DIKU,31.2641085271,0.709877558892,5271.3026035
216,Chulalongkorn Uniersity,0.0108527131783,0.0,0.0
217,Worcester Polytechnic Institute,13.3541903531,0.217007595767,974.087350186
218,IST Austria,23.1497907845,2.22171764084,49691.1554921
219,University College London,151.941692506,16.1440643112,756918.871202
220,Columbia University,97.0032161314,7.37539757599,204994.738952
221,Massey University,2.08794540946,0.0,0.0
222,University of Miami,6.18378552972,0.0274897859673,101.739697865
223,IIT Roorkee,1.30697674419,0.0,0.0
224,University of Tartu,1.30071059432,0.0,0.0
225,University of Victoria,26.347045319,2.14745866698,43193.5780723
226,Carleton University,20.4271963824,0.393874981818,2596.92742171
227,Athens University of Economics and Business,7.29656330749,0.491809008258,2880.52536136
228,Texas A&M University,96.27161149,10.9160110607,271307.444598
229,EPFL,68.5701103801,5.86020172493,213053.643639
230,Bar-Ilan University,6.45153100775,0.0,0.0
231,University of Maryland-College Park,96.1413845461,2.58439910795,70069.3998662
232,IIT Kanpur,4.73271317829,0.0,0.0
233,University of Adelaide,19.3549741602,0.06211814138,313.415936523
234,University of Warsaw,1.94427648579,0.0,0.0
235,Stony Brook University,152.156085271,8.97426233166,501140.311773
236,University of Notre Dame,27.7316666667,1.94403643137,32298.4852416
237,University of Western Australia,7.94683462532,0.0120847637409,45.5595593032
238,IIT Hyderabad,1.25126614987,0.0324688570738,76.6589715512
239,IIT Bombay,11.9911968819,0.205252400511,905.872673907
240,IIIT Hyderabad,17.0679586563,0.162145367922,1325.46259677
241,University of Maryland-Baltimore County,38.6112226619,5.93280659677,100667.758502
242,University of New South Wales,,,
243,University of Alberta,37.6179690916,0.107926272601,772.368129496
244,Aarhus University,13.3418955334,0.0997416661529,574.811222039
245,University of Zurich,31.8055555556,2.95028911384,95577.5661319
246,Max Planck Institute,190.732229988,23.5064678601,5287385.61322
247,TU Darmstadt,38.4010981912,1.10778934626,16655.5055382
248,University of Athens,15.4179931846,0.0293992791816,232.548298326
249,Stevens Institute of Technology,3.04349806202,0.0114872461253,38.5626852427
250,University of Calgary,88.729748062,3.48780038546,52040.7062431
251,University of Massachusetts Lowell,18.6879586563,0.485483138843,6155.27608648
252,Rutgers University,40.5715315506,0.747584418267,8344.77984998
253,Ecole Normale Superieure de Lyon,7.44722222222,0.000956387470851,0.214230793471
254,Colorado State University,6.72118432386,0.00765312039759,22.5485975575
255,IIT Delhi,9.27010335917,0.267856697011,2270.05743117
256,BITS Pilani,1.69444444444,0.0,0.0
257,University of Auckland,13.9238716624,0.0588464612792,183.378186087
258,National University of Singapore,54.2745505179,2.32922158122,25538.640579
259,University of Canterbury,17.297997416,0.22262860149,963.018545202
260,Chennai Mathematical Institute,,,
261,University of Montreal,39.8652971576,5.47629701143,146780.932459
262,George Mason University,24.0349310939,1.37487158598,14724.1783526
263,University of Luxembourg,7.52829457364,0.0,0.0
264,Hebrew University of Jerusalem,81.638453919,9.51132469063,329144.730473
265,Simon Fraser University,70.1215175006,6.02234724288,243478.51725
266,Indiana University,32.7766820475,0.0935756727325,546.611401096
267,University of Toronto,110.563739392,7.37287455083,171423.977495
268,University at Buffalo,21.6538322401,0.0143767550946,16.1450959713
269,TU Munich,73.2206072351,1.62590095276,25168.2455215
270,University of Waikato,5.17881136951,0.00149089427188,3.81370754746
