,Name,Artificial intelligence pscore norm,Artificial intelligence year norm,Artificial intelligence year combined norm
33,Rice University,38.999244045,0.694740163628,19095.1341881
34,University of California-Irvine,140.007807012,9.30424365509,1120965.05568
35,Ohio State University Main Campus,20.713655914,0.535382529769,20236.6990301
36,Yale University,53.5904363792,2.63275912315,100887.925894
37,Arizona State University,182.841612631,19.0877189287,1727987.14176
38,University of Nebraska - Lincoln,2.47688172043,0.0260558829611,122.123923439
39,Columbia University In The City of New York,11.8301902399,0.418297366952,9508.73574555
40,University of Connecticut,24.1598428453,0.225499965565,2251.49654595
41,University of California-Davis,33.547033066,0.467023329445,8896.92302243
42,State University of New York at Buffalo,1.84048800662,0.0,0.0
43,Texas A & M University,7.13749379653,0.320681516747,2319.10750573
44,University of Oklahoma Norman Campus,12.63112865,0.164293379697,980.171605343
45,University of Pittsburgh Pittsburgh Campus,17.6803143093,0.831334973741,35778.9945999
46,University of Utah,53.8459884202,1.46388055699,22276.5605084
47,University of California-Santa Cruz,70.5276296821,1.29679485592,29403.2256894
48,Indiana University at Bloomington,11.9461952026,0.0250863462029,115.848588319
49,University of Virginia,17.2218102328,0.205548643486,1508.59456751
50,University of South Florida,21.5556173934,0.030173557164,309.746893774
51,University of Arizona,13.9242384497,0.0567177327865,200.56784091
52,Virginia Polytechnic Institute and State University,3.25890818859,0.0,0.0
53,University of Chicago,13.55311767,0.00202010307808,9.54700714702
54,Washington University In St. Louis,1.29818031431,0.0,0.0
55,Georgia State University,6.57498759305,0.015163821208,60.7356542828
56,North Carolina State University,107.957040254,2.77638564835,141597.218618
57,University of Tennessee,28.7225310174,0.100252448202,997.728766411
58,Johns Hopkins University,49.0062614639,0.519770238696,7715.51165734
59,Vanderbilt University,51.0284250902,1.84769862404,54303.9407985
60,Florida Institute of Technology,17.54127378,0.268170054271,4702.88580884
61,University of Colorado at Boulder,16.0147890819,0.119137650276,951.051446984
62,Lehigh University,23.6067824648,0.694668274082,9862.19258766
63,University of Central Florida,53.9699131514,0.569118059358,10561.3472811
64,University of Kentucky,50.6321629446,3.11750886142,161814.316496
65,Florida State University,8.63622001654,0.062967507759,274.664268845
66,Oklahoma State University Main Campus,2.53862696443,0.0,0.0
67,Washington State University,44.5772127845,1.82079736791,64188.5312218
68,Iowa State University,35.7551813778,1.20495917729,35144.0348936
69,Northwestern University,145.425176454,10.191204612,837270.871068
70,Dartmouth College,18.032688172,0.379485723891,4207.60981668
71,Boston University,12.740165229,0.0283444677642,118.460459964
72,University of Georgia,27.462133995,1.4551078271,65671.9264528
73,Rutgers The State University of New Jersey New Brunswick Campus,0.799693961952,0.0,0.0
74,University of Maryland Baltimore County,7.78270344213,0.0469986489297,588.235090004
75,California Institute of Technology,39.1391002009,0.279655573445,2060.59472422
76,University of Delaware,40.8732202923,0.94265897992,14811.8701518
77,University of Texas at Dallas,81.2638762093,3.11251054835,84464.5471795
78,University of Cincinnati Main Campus,11.3564102564,0.199685774141,2266.06161723
79,Kent State University Main Campus,6.42036807279,0.0328654443275,242.448382804
80,Oregon State University,86.2424285805,7.32883848752,432780.370708
81,University of Iowa,19.5911166253,0.329797546328,3396.85126839
82,Rensselaer Polytechnic Institute,86.286627128,3.36767668808,147984.200927
83,University of Florida,23.0395202647,0.0331726681739,128.550212734
84,Northeastern University,65.0956698196,2.11731433169,46625.6359814
85,Illinois Institute of Technology,12.1894982079,0.249572476314,1901.66800552
86,Auburn University,4.16546732837,0.0188224428203,91.3641374496
87,Wayne State University,9.09102564103,0.00582217539671,14.9877416126
88,University of Oregon,61.7158194494,6.02173882329,274914.096067
89,Wright State University Main Campus,28.0459884202,0.212796731309,4694.79715207
90,University of Illinois at Chicago,78.1690251684,2.02991546346,73191.9226462
91,Brandeis University,19.1821032731,0.390299885309,5009.41762996
92,North Dakota State University Main Campus,5.37302729529,0.0,0.0
93,City University of New York Grad. Center,0.643507030604,0.0,0.0
94,State University of New York at Binghamton,3.19619520265,0.0252280550199,161.787516843
95,University of North Carolina at Charlotte,33.71972123,0.534116241259,8296.31139831
96,Case Western Reserve University,20.3008625783,0.506978982389,5911.86923558
97,University of New Mexico Main Campus,14.0850206782,0.361657008059,4423.15632475
98,Syracuse University Main Campus,20.2496608768,0.315044876164,1703.26455001
99,New Mexico State University Main Campus,0.806451612903,0.0,0.0
100,New Jersey Institute of Technology,0.0813895781638,0.0,0.0
101,University of South Carolina Columbia,23.1739219741,0.293078943747,4415.5519171
102,College of William and Mary,5.5882382134,0.0238294208868,66.2550736613
103,Florida International University,18.8898966088,0.0555737048948,1799.81000672
104,George Washington University,10.7902894955,0.172563298456,1206.5625828
105,Old Dominion University,7.39737799835,0.0287109839509,205.771621976
106,Texas Tech University,35.018420182,3.08652023161,88019.2533948
107,University of Kansas,23.7474993107,0.293911736939,3596.89281693
108,University of Arkansas Main Campus,2.5199834574,0.000672611094447,0.248866104946
109,University of Alabama,7.89607940447,0.130702119263,1163.01052401
110,Mississippi State University,26.2296608768,4.66214655555,258632.580169
111,University of Houston,17.9437882548,0.0717702226193,487.130484499
112,University of North Texas,12.9881306865,0.0525232220808,270.372029896
113,Clemson University,6.78724565757,0.0173693962197,41.0468315411
114,State University of New York at Albany,21.1851801961,0.349498020927,2436.7557785
115,Brigham Young University,27.3106286187,0.474515280533,5315.41657457
116,Kansas State University,16.7144003309,0.186909308643,1571.81775428
117,University of Alabama In Huntsville,1.46853598015,0.0,0.0
118,University of Memphis,8.57966087676,0.0771035695418,498.980880297
119,Temple University,31.2014226634,0.667442343236,9400.64138275
120,University of Louisiana at Lafayette,12.8075682382,0.143509684223,1178.21450747
121,University of Alabama at Birmingham,3.91240694789,0.0,0.0
122,Oregon Health and Science University,5.42313600378,0.0,0.0
123,Western Michigan University,0.98746898263,0.0,0.0
124,Southern Methodist University,2.94780810587,0.0,0.0
125,University of Southern Mississippi,17.1330851944,1.47376442317,48184.7278154
126,Universidade de Brasília,1.84371381307,0.0,0.0
127,Universidade Federal de Uberlândia,2.06600496278,0.0,0.0
128,USP - São Carlos,12.0418196857,0.00823531822006,15.9600467105
129,Universidade de São Paulo,15.1535566584,0.57121383887,5340.52705699
130,Universidade do Vale do Rio dos Sinos,0.645574855252,0.0,0.0
131,Universidade de Fortaleza,1.03540115798,0.0,0.0
132,Universidade Federal de Campina Grande,1.79979321754,0.0,0.0
133,Universidade Federal da Bahia,0.554747725393,0.0,0.0
134,Universidade Federal do Amazonas,1.78111662531,0.00506906210096,3.1428185026
135,Universidade Federal de Minas Gerais,13.799834574,0.0,0.0
136,Universidade Federal do Espírito Santo,2.16046319272,0.0,0.0
137,Universidade Federal de Pernambuco,16.8028039702,0.08870145451,561.375236245
138,Universidade Federal de Mato Grosso do Sul,0.255483870968,0.0,0.0
139,Universidade Federal de São Carlos,4.44819685691,0.0232309373164,126.631839312
140,Universidade Federal de Santa Catarina,1.61724565757,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4.45016542597,0.0,0.0
142,Universidade Federal do Rio de Janeiro,8.51837882548,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,4.20504549214,0.00695868830381,40.151631513
144,Pontifícia Universidade Católica do Rio de Janeiro,15.5427626137,0.0143252173147,66.5717914954
145,Pontifícia Universidade Católica do Paraná,2.1653019024,0.0,0.0
146,Universidade Estadual de Campinas,11.3018031431,0.0415586394463,341.154871214
147,Universidade Federal do Ceará,1.92654259719,0.00218304591517,1.38405111022
148,Universidade Federal do Rio Grande do Sul,49.1962944582,0.891973355786,22101.6033005
149,Universidade Federal do Paraná,3.11879239041,0.0,0.0
150,Universidade Federal Fluminense,12.6481306865,0.0527475471516,339.480360416
151,Imperial College London,218.566124276,10.1888552567,1618849.97375
152,University of Oxford,277.959123242,15.4905813288,1125050.12256
153,University of Cambridge,21.643242349,0.052151900076,242.530059927
154,ETH Zurich,60.8181283046,0.960736733908,28879.2311845
155,École Polytechnique ParisTech,11.5449214227,0.0141994588246,56.1757652542
156,University of Texas at Arlington,55.9571168616,2.81739625786,152834.157509
157,Ecole Normale Superieure,20.9021863799,0.0181695648569,334.719723794
158,IIIT Bangalore,2.14735318445,0.0,0.0
159,Nanyang Technological University,107.367634409,3.74662832838,105388.246169
160,University of Waterloo,116.305322081,7.28071004045,322030.301692
161,Western University,23.1574607113,0.321375497324,6400.15563319
162,University of Nebraska,31.2887155855,1.51371728816,46173.0336414
163,Victoria University of Wellington,10.635566584,0.00675022188923,23.2275135209
164,University of Queensland,25.0039454094,0.187735952897,1433.61222144
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,0.844913151365,0.0,0.0
167,University of Pittsburgh,33.8303418803,1.43808424986,38471.4676144
168,University of Michigan,287.009209,18.0696660804,1528733.07605
169,IIT Madras,15.9026799007,0.274455318515,2130.39391883
170,City University of New York,,,
171,University of British Columbia,122.770900274,8.41083441399,445883.277129
172,Queen’s University,20.3114309347,0.12610967263,1226.75522413
173,Virginia Commonwealth University,2.32638544251,0.0,0.0
174,Polytechnic University of Catalonia,3.93347394541,0.0,0.0
175,Emory University,6.47813895782,0.0141133090205,50.1827949165
176,Ecole Normale Superieure de Cachan,21.2438024341,0.0594615677062,529.736892615
177,Georgetown University,6.83398676592,0.0465493384474,228.273324452
178,Binghamton University,9.79478908189,0.130780929271,1444.23051412
179,University of Otago,4.74863523573,0.0879238781308,238.526911188
180,VU Amsterdam,75.0202315964,0.532344384873,9661.36768187
181,McMaster University,4.85396195203,0.0160487662715,16.433936662
182,Monash University,61.4075682382,1.07770284377,23674.0774913
183,Tel Aviv University,53.2815455512,0.391680270667,5425.18888188
184,Boise State University,2.05984284533,0.0016498895739,4.5074983159
185,Drexel University,47.5181402606,2.39147915374,64106.8248972
186,Boston College,7.99776674938,0.415874215156,2189.24518575
187,University of Bristol,21.8192307692,0.108238238522,1233.97522718
188,University of Kent,9.43810014634,0.0774526163622,646.884251857
189,Politecnico di Milano,49.1632897954,0.641563332525,10645.7239695
190,Australian National University,107.648014888,9.74215461597,285810.680834
191,Toyota Technological Institute at Chicago,21.0924731183,0.649009718222,24254.0919482
192,Technion-Israel Institute of Technology,112.635547678,4.74958846366,225087.268455
193,TU Delft,77.7817511521,3.04492305305,78135.310065
194,University of Minnesota,106.281593997,1.36794777874,63245.4799864
195,New Mexico State University,38.4669148056,3.84522603018,172930.518194
196,Pennsylvania State University,41.6262066965,0.452781954107,21092.5677847
197,TU Dresden,50.3150951199,1.60546104121,56536.5421693
198,University of Salerno,15.7290653433,0.00654466698928,28.7711650657
199,Washington University in St. Louis,52.0695781638,4.47273103993,243633.885798
200,McGill University,71.520296676,3.10902378537,132897.364603
201,Naval Postgraduate School,9.81071133168,0.00731907757834,23.6289815363
202,University of Edinburgh,133.804393044,2.67467921346,73466.8247999
203,RWTH Aachen,63.3011662531,3.80360624207,280601.406401
204,University of Bath,26.7597849462,0.463580124563,6788.48922236
205,IIT Kharagpur,13.9846401985,0.156015460201,1625.13874526
206,University of Melbourne,75.1403473945,2.24407991405,54143.0259991
207,IMDEA Software Institute,5.64261627537,0.0,0.0
208,University of Sydney,21.2113990311,0.253176235949,1158.02851874
209,University of North Carolina,34.4569274558,0.352524626281,5999.0280653
210,IIIT Delhi,2.22911497105,0.0,0.0
211,University of Nevada,7.58724565757,0.0294769906049,92.1396117826
212,Concordia University,20.8397684036,0.123048460189,1407.88542409
213,IISc Bangalore,26.4353267163,0.605023182282,7085.98369745
214,Rochester Institute of Technology,19.5524282169,0.774196691333,21521.3491314
215,DIKU,11.8379735318,0.00859695897788,29.9689989969
216,Chulalongkorn Uniersity,0.0168734491315,0.0,0.0
217,Worcester Polytechnic Institute,31.9309953129,0.611337499055,9214.56828615
218,IST Austria,11.422030291,0.0842330525141,698.270722645
219,University College London,82.1437634409,1.11905377098,39934.1097949
220,Columbia University,100.209075978,1.23615635688,41064.1416691
221,Massey University,15.249160751,0.414345047759,9574.67254518
222,University of Miami,12.2182382134,0.0662521374798,572.143465789
223,IIT Roorkee,1.1294044665,0.0,0.0
224,University of Tartu,3.03490488007,0.0,0.0
225,University of Victoria,5.93842272698,0.0220668748632,98.705131263
226,Carleton University,35.5774937965,1.07285643441,27047.5974129
227,Athens University of Economics and Business,17.6143176179,0.698237039985,13593.132136
228,Texas A&M University,74.1771109536,1.80196918116,26822.9797438
229,EPFL,79.2449846506,3.69355813431,397787.853893
230,Bar-Ilan University,172.689023987,14.8747831774,2470279.45955
231,University of Maryland-College Park,143.694203643,7.61675195968,596396.024066
232,IIT Kanpur,17.4515550041,0.791241929696,9188.04162912
233,University of Adelaide,26.6167990074,0.96370656599,18206.4597179
234,University of Warsaw,33.5378577337,0.877064513746,21566.2016299
235,Stony Brook University,26.7061703888,0.0939704892785,1103.16531409
236,University of Notre Dame,16.9145822994,0.0395211500644,383.395026954
237,University of Western Australia,9.99239040529,0.0503569138595,266.62783492
238,IIT Hyderabad,2.18583953681,0.0625937801598,153.393504018
239,IIT Bombay,15.260237713,0.0300599224391,123.452635781
240,IIIT Hyderabad,32.846898263,0.309327639182,3352.94504508
241,University of Maryland-Baltimore County,72.1274127802,2.82143430773,100011.881947
242,University of New South Wales,,,
243,University of Alberta,258.154183096,21.7594418095,1016251.12434
244,Aarhus University,9.24031549096,0.0201100608945,46.1123696311
245,University of Zurich,19.4594493678,0.863175790341,15645.1330075
246,Max Planck Institute,46.7038345462,0.162095191947,4255.57224326
247,TU Darmstadt,35.5794127378,0.385982959281,8717.12778877
248,University of Athens,21.7963998304,0.302845156405,5573.18321476
249,Stevens Institute of Technology,7.37160049628,0.211782123191,966.958091734
250,University of Calgary,23.3477584781,0.105171158767,1326.98903604
251,University of Massachusetts Lowell,11.253019024,0.155471569023,1503.54627239
252,Rutgers University,69.2441578683,2.67706587844,41174.9140972
253,Ecole Normale Superieure de Lyon,11.7122332506,0.00396469692217,13.9478037722
254,Colorado State University,17.2819906259,0.325003183547,4406.02294134
255,IIT Delhi,21.8819520265,2.8680314938,104005.449436
256,BITS Pilani,1.13019023987,0.0,0.0
257,University of Auckland,19.4668596636,0.237514426207,1300.39336826
258,National University of Singapore,104.037744507,3.57144002074,69001.6244715
259,University of Canterbury,4.4623655914,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,32.1675723739,0.277509762763,5328.88760054
262,George Mason University,52.6024510615,1.03828796068,26903.7336324
263,University of Luxembourg,36.8478908189,0.428605181062,24851.4637715
264,Hebrew University of Jerusalem,122.842945961,7.50300087079,781116.115123
265,Simon Fraser University,94.086120761,6.43248390471,438993.617478
266,Indiana University,49.0310618772,2.86315222817,101878.877816
267,University of Toronto,167.795265848,16.0918512694,1462890.14935
268,University at Buffalo,43.3586944073,0.374136388026,6322.27669068
269,TU Munich,113.271836228,1.37887412257,47690.9943396
270,University of Waikato,14.7373449132,0.0812927595677,945.942580123
