,Name,Data mining pscore,Data mining year,Data mining year combined
43,Texas A & M University,5779.33333333,27.4819355001,43960.8909838
44,University of Oklahoma Norman Campus,34911.9922969,1109.59627483,10132363.2196
45,University of Pittsburgh Pittsburgh Campus,14034.6666667,175.920442245,2280531.24962
46,University of Utah,48608.6,391.478921903,3515383.11043
47,University of California-Santa Cruz,149924.282143,4501.58368846,197229096.41
48,Indiana University at Bloomington,30138.8944444,325.008707616,3399620.84969
49,University of Virginia,67487.75,4020.89801513,49050817.7668
50,University of South Florida,48183.3785714,610.303713998,5489803.09455
51,University of Arizona,62522.6392231,1018.92056571,18548638.6579
52,Virginia Polytechnic Institute and State University,9105.66666667,0.0,0.0
53,University of Chicago,62127.3205004,280.131589965,8442529.24195
54,Washington University In St. Louis,5741.62878788,0.0,0.0
55,Georgia State University,32896.2166667,109.32492569,690931.890842
56,North Carolina State University,99141.6537879,979.334241166,12382585.6837
57,University of Tennessee,59721.7059524,165.845537804,728509.255591
58,Johns Hopkins University,42545.1309524,16.1128135533,65464.8886399
59,Vanderbilt University,50059.3653846,447.657571278,3896993.74146
60,Florida Institute of Technology,26301.9,1179.85239439,21924017.1926
61,University of Colorado at Boulder,21120.65,21.0500160483,47172.9977712
62,Lehigh University,36707.6666667,821.949894328,16270912.7412
63,University of Central Florida,82741.5888889,961.580721488,9176660.7114
64,University of Kentucky,60503.975,677.179848582,7398966.67754
65,Florida State University,45333.525,1397.39109374,20399088.3154
66,Oklahoma State University Main Campus,8233.83333333,23.75,39163.75
67,Washington State University,88771.6602564,3636.84520053,88591727.687
68,Iowa State University,53258.0357143,578.195597459,8950813.00132
69,Northwestern University,187652.8,1506.05421733,50390731.9965
70,Dartmouth College,34766.2833333,111.554335247,472049.234316
71,Boston University,69322.9007937,6954.12499308,189428920.616
72,University of Georgia,32009.325,174.655798668,1418866.54425
73,Rutgers The State University of New Jersey New Brunswick Campus,2654.4,0.0,0.0
74,University of Maryland Baltimore County,40584.2564103,3740.96635434,110150903.205
75,California Institute of Technology,48342.9409774,930.989918536,8744544.31677
76,University of Delaware,47997.0444444,225.730520312,2156138.26633
77,University of Texas at Dallas,165443.185897,3243.06716166,71873276.7556
78,University of Cincinnati Main Campus,18208.5,20.0791251318,73569.9144827
79,Kent State University Main Campus,46013.0555556,3748.43188046,145854674.99
80,Oregon State University,110190.963345,3311.53943515,46307402.8677
81,University of Iowa,25807.5583333,349.868564568,3484130.01543
82,Rensselaer Polytechnic Institute,141102.061386,9605.4908168,514684244.282
83,University of Florida,104673.5,706.156790692,9133905.27386
84,Northeastern University,132115.222602,5650.61218182,115577465.087
85,Illinois Institute of Technology,38425.875,485.852284934,2874871.97091
86,Auburn University,16822.5,234.407734737,2106220.40697
87,Wayne State University,68801.5972222,2646.58658861,34439622.7241
88,University of Oregon,53900.1142857,943.82007462,9291415.30205
89,Wright State University Main Campus,70173.3416667,1669.27666601,25163874.862
90,University of Illinois at Chicago,396764.590693,43208.9622247,11577969534.8
91,Brandeis University,22844.3119048,0.0,0.0
92,North Dakota State University Main Campus,40455.0166667,1899.5039345,13580992.3604
93,City University of New York Grad. Center,1983.66666667,8.45561642351,10324.3076531
94,State University of New York at Binghamton,12837.5833333,381.806937639,5284971.63079
95,University of North Carolina at Charlotte,58829.1952381,2994.06178558,60773589.8441
96,Case Western Reserve University,72272.2892857,605.720105504,11408188.8586
97,University of New Mexico Main Campus,17785.6833333,1103.541644,16537525.7931
98,Syracuse University Main Campus,47475.75,369.516133851,3612760.14868
99,New Mexico State University Main Campus,531.666666667,0.0,0.0
100,New Jersey Institute of Technology,165.5,0.0,0.0
101,University of South Carolina Columbia,32280.0472222,53.1520990279,292775.42652
102,College of William and Mary,19435.1761905,161.221277738,455751.111962
103,Florida International University,114235.116667,3384.01631439,294507642.29
104,George Washington University,31583.5833333,795.360078903,10910649.1555
105,Old Dominion University,37951.45,259.345281725,3212322.65204
106,Texas Tech University,20019.95,26.6631513562,93104.4567677
107,University of Kansas,68130.8472222,2222.36622868,52463502.9857
108,University of Arkansas Main Campus,9938.45,0.0,0.0
109,University of Alabama,12278.55,4.19850762072,9874.88992394
110,Mississippi State University,18135.4833333,2.88542814671,2198.69624779
111,University of Houston,78340.6,3818.17072158,101233803.401
112,University of North Texas,33083.9833333,192.33207467,1645740.49644
113,Clemson University,18540.7111111,12.9201271562,21170.5597863
114,State University of New York at Albany,24534.4369048,123.325626409,830960.058376
115,Brigham Young University,41045.7916667,327.909881966,1854761.41104
116,Kansas State University,15289.0666667,226.25674814,1835872.65928
117,University of Alabama In Huntsville,8464.3,87.2280891342,294762.986294
118,University of Memphis,15721.8055556,142.979656459,857723.000162
119,Temple University,67670.2166667,3484.17711333,71722880.0013
120,University of Louisiana at Lafayette,28155.8166667,97.5125420953,802193.389195
121,University of Alabama at Birmingham,14000.5833333,143.293403566,1689658.77501
122,Oregon Health and Science University,14255.1666667,17.5439893215,56140.7658289
123,Western Michigan University,5390.0,14.2979840636,17772.394191
124,Southern Methodist University,20741.0833333,1079.50514732,10499376.3843
125,University of Southern Mississippi,11841.75,34.5474806202,219341.954457
126,Universidade de Brasília,4686.5,0.0,0.0
127,Universidade Federal de Uberlândia,6195.33333333,0.0,0.0
128,USP - São Carlos,56217.0190476,1186.10086948,9453124.66422
129,Universidade de São Paulo,13917.6166667,8.09420289855,3035.32608696
130,Universidade do Vale do Rio dos Sinos,2643.16666667,0.0,0.0
131,Universidade de Fortaleza,5026.75,0.0,0.0
132,Universidade Federal de Campina Grande,7905.33333333,0.0,0.0
133,Universidade Federal da Bahia,1316.59285714,0.0,0.0
134,Universidade Federal do Amazonas,12730.45,62.2688491766,577417.88515
135,Universidade Federal de Minas Gerais,61692.8083333,948.938343707,12010522.3017
136,Universidade Federal do Espírito Santo,8187.83333333,0.0,0.0
137,Universidade Federal de Pernambuco,37673.9666667,48.8984963687,64684.5858239
138,Universidade Federal de Mato Grosso do Sul,1079.06666667,0.0,0.0
139,Universidade Federal de São Carlos,12828.4595238,27.4794557888,87137.3543061
140,Universidade Federal de Santa Catarina,6545.58333333,7.48907357595,4418.55340981
141,Universidade Federal do Rio Grande de Norte,6660.01666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,19091.9595238,10.050916456,20745.0915652
143,Pontifícia Universidade Católica do Rio Grande do Sul,8106.33333333,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,26050.8666667,62.6466760982,295908.25245
145,Pontifícia Universidade Católica do Paraná,7552.83333333,5.07183908046,4209.62643678
146,Universidade Estadual de Campinas,29902.5833333,52.4515483802,280222.112109
147,Universidade Federal do Ceará,5925.26666667,13.8527777778,31778.2722222
148,Universidade Federal do Rio Grande do Sul,32537.7083333,45.7804720813,107194.58881
149,Universidade Federal do Paraná,10513.55,0.0,0.0
150,Universidade Federal Fluminense,25158.8666667,2157.17142483,40643876.3998
151,Imperial College London,108770.289896,435.583113479,4445084.52814
152,University of Oxford,139125.816667,448.320789971,4239776.57588
153,University of Cambridge,45812.1583333,196.734804862,1147232.92235
154,ETH Zurich,170235.068516,1292.31478478,24806167.6464
155,École Polytechnique ParisTech,14593.85,0.0,0.0
156,University of Texas at Arlington,165771.285714,8949.51927196,462381418.544
157,Ecole Normale Superieure,51409.7722222,163.461820008,1748135.13843
158,IIIT Bangalore,9053.58333333,0.0,0.0
159,Nanyang Technological University,261480.366667,9553.6429499,206633476.961
160,University of Waterloo,177237.395238,1265.1877855,21669906.9044
161,Western University,57991.8666667,4102.04297613,144524577.707
162,University of Nebraska,32888.9418831,265.684787096,1528763.36178
163,Victoria University of Wellington,31051.8333333,334.330104837,3280585.40516
164,University of Queensland,124385.35,3951.45997207,132824080.262
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,4250.5,22.1749680715,75284.0166028
167,University of Pittsburgh,65793.8,1149.13225829,17760830.6213
168,University of Michigan,291565.552442,10597.6539018,661759628.619
169,IIT Madras,31154.7,206.307979402,965752.418952
170,City University of New York,,,
171,University of British Columbia,128498.680742,3347.64277138,141973050.297
172,Queen’s University,35457.8380952,207.922681891,1145004.21885
173,Virginia Commonwealth University,14861.9761905,159.601003668,747951.911515
174,Polytechnic University of Catalonia,28449.2833333,0.0,0.0
175,Emory University,44535.7666667,1534.64620848,28372480.166
176,Ecole Normale Superieure de Cachan,25984.2356516,21.2052577536,559988.446758
177,Georgetown University,45472.2833333,706.481245115,6337933.4808
178,Binghamton University,55981.85,3165.13771446,70269741.8557
179,University of Otago,7940.08333333,27.2175759511,43167.0754584
180,VU Amsterdam,82246.7,524.632370251,14691867.1254
181,McMaster University,12176.75,143.984311542,549231.449593
182,Monash University,108800.5,4821.28724679,120460278.443
183,Tel Aviv University,95605.2095238,98.0460975198,982050.717299
184,Boise State University,9045.93333333,343.425388451,623224.150478
185,Drexel University,26531.4426157,43.9569770762,166797.283814
186,Boston College,12589.1666667,120.177705742,385928.608687
187,University of Bristol,28702.8833333,769.284262838,12337107.4327
188,University of Kent,15855.3987179,226.895171458,1779037.73798
189,Politecnico di Milano,109847.562941,363.497900127,3770856.73676
190,Australian National University,129604.025,4908.96263766,121861849.722
191,Toyota Technological Institute at Chicago,26930.6333333,287.723729419,4440784.11187
192,Technion-Israel Institute of Technology,178548.419048,1335.8656907,24807737.2267
193,TU Delft,74967.5047619,203.403387901,1306166.93686
194,University of Minnesota,297071.514286,21148.3233169,1061481097.34
195,New Mexico State University,21275.9166667,676.80567212,5498951.87442
196,Pennsylvania State University,179867.853463,5919.36104473,347776008.236
197,TU Dresden,67011.0166667,389.7419639,13813096.5854
198,University of Salerno,36622.6833333,62.2557983257,129513.315036
199,Washington University in St. Louis,56154.9,1432.96604688,27373579.0912
200,McGill University,61156.2678571,343.913683786,6111786.2761
201,Naval Postgraduate School,16178.4166667,35.3222074238,163789.075824
202,University of Edinburgh,148230.04881,482.940828026,6402814.68277
203,RWTH Aachen,58047.3333333,47.4198542704,532080.077479
204,University of Bath,11655.3333333,0.0,0.0
205,IIT Kharagpur,32771.75,307.40036029,1723899.79705
206,University of Melbourne,147292.233333,6335.41321787,202433029.903
207,IMDEA Software Institute,3685.61538462,0.0,0.0
208,University of Sydney,84979.8095238,4681.0598213,129817584.439
209,University of North Carolina,37954.5862745,162.182650288,940332.446502
210,IIIT Delhi,11293.5972222,57.200002145,290848.490498
211,University of Nevada,8116.48333333,14.7857863891,22593.645322
212,Concordia University,34692.3666667,143.534000516,773344.871644
213,IISc Bangalore,61277.4416667,1725.398484,24035771.0294
214,Rochester Institute of Technology,24605.797619,89.7963313632,351623.623931
215,DIKU,21392.3333333,16.8837428539,67653.1576158
216,Chulalongkorn Uniersity,91.0,0.0,0.0
217,Worcester Polytechnic Institute,101170.05,5179.5547599,146640332.693
218,IST Austria,15366.020028,26.4513404557,125776.123867
219,University College London,164829.066667,1908.25521335,33876767.779
220,Columbia University,210786.305952,1822.71394858,38694248.3825
221,Massey University,9451.36688312,0.0,0.0
222,University of Miami,17027.8333333,225.304089538,3953505.46999
223,IIT Roorkee,5718.58333333,65.8935185185,203940.439815
224,University of Tartu,11430.8333333,20.4348871261,64948.001019
225,University of Victoria,21003.2153846,61.0202502825,211671.474632
226,Carleton University,42762.3,383.158927654,3932837.2556
227,Athens University of Economics and Business,64079.9,1939.34491451,48006467.5473
228,Texas A&M University,85980.0862155,1175.68461206,15794747.5064
229,EPFL,141981.157376,431.718370686,9051330.35087
230,Bar-Ilan University,78067.225,683.564583195,9133580.42919
231,University of Maryland-College Park,183800.084405,1214.02996964,25281897.2429
232,IIT Kanpur,28742.2333333,321.267298999,1945627.92116
233,University of Adelaide,49004.85,348.631419216,4115048.13182
234,University of Warsaw,23810.8166667,58.2646135744,185957.931192
235,Stony Brook University,89842.0333333,467.186545483,4106672.49727
236,University of Notre Dame,74088.0333333,4585.25339434,152733997.536
237,University of Western Australia,18963.5833333,134.638055363,549816.25167
238,IIT Hyderabad,6252.65,22.1570512821,64587.8044872
239,IIT Bombay,108719.408964,4004.13880965,113101969.977
240,IIIT Hyderabad,55103.25,1120.24756166,6927559.9919
241,University of Maryland-Baltimore County,78720.2869075,903.760778936,14896999.8668
242,University of New South Wales,,,
243,University of Alberta,265138.557051,7219.73036869,286294682.633
244,Aarhus University,34328.8619048,1827.39859693,41790778.5132
245,University of Zurich,30804.702381,229.869218159,2789930.15064
246,Max Planck Institute,149335.816044,1632.6059356,94805725.1771
247,TU Darmstadt,53423.6833333,1014.15691882,13315089.9721
248,University of Athens,86745.4803295,2159.94984872,102840480.277
249,Stevens Institute of Technology,17158.9083333,710.481827765,5240371.62932
250,University of Calgary,46758.5083333,234.113884278,3745268.69169
251,University of Massachusetts Lowell,24756.3333333,67.61865958,173927.865568
252,Rutgers University,133896.127754,2897.80978322,49301175.9268
253,Ecole Normale Superieure de Lyon,31155.5166667,0.0,0.0
254,Colorado State University,21243.9944444,41.9492428808,168053.013757
255,IIT Delhi,34525.8333333,580.70330718,4173250.47165
256,BITS Pilani,3611.5,0.0,0.0
257,University of Auckland,32578.6,732.142667837,5198670.36498
258,National University of Singapore,384809.418487,8920.44223712,407100782.085
259,University of Canterbury,7221.91666667,29.6049382716,26526.0246914
260,Chennai Mathematical Institute,,,
261,University of Montreal,82961.775,647.745447504,16814983.1986
262,George Mason University,118459.442857,5329.53018737,117513066.414
263,University of Luxembourg,23015.0,22.8919024496,152461.737204
264,Hebrew University of Jerusalem,126846.755556,678.1485,5920782.48412
265,Simon Fraser University,242425.412121,21870.2267279,1937458798.37
266,Indiana University,74523.2718254,877.13106489,10020791.4753
267,University of Toronto,169703.044172,1282.74337608,49328487.6556
268,University at Buffalo,133726.141667,4990.40803306,156603487.48
269,TU Munich,83677.5,67.5586132414,165694.246973
270,University of Waikato,45538.1666667,2767.60194502,56437566.4809
