,Name,Theoretical computer science pscore norm,Theoretical computer science year norm,Theoretical computer science year combined norm
118,University of Memphis,5.69175752856,0.0087116850063,55.1101193499
119,Temple University,32.3204633956,2.67052013964,163176.792092
120,University of Louisiana at Lafayette,16.4661507009,0.016355490659,118.105908131
121,University of Alabama at Birmingham,4.39753699377,0.0035852417634,5.25596442515
122,Oregon Health and Science University,1.01216900312,0.0,0.0
123,Western Michigan University,1.24707943925,0.0,0.0
124,Southern Methodist University,8.46582943925,0.00866186265287,60.6936716087
125,University of Southern Mississippi,2.28236954829,0.00208650150965,8.90727494468
126,Universidade de Brasília,3.09598909657,0.0,0.0
127,Universidade Federal de Uberlândia,0.645541277259,0.0,0.0
128,USP - São Carlos,4.89415540165,0.0,0.0
129,Universidade de São Paulo,20.3879964953,0.104183477264,1209.21136945
130,Universidade do Vale do Rio dos Sinos,0.153621495327,0.0,0.0
131,Universidade de Fortaleza,0.258287091121,0.0,0.0
132,Universidade Federal de Campina Grande,1.20402063863,0.0,0.0
133,Universidade Federal da Bahia,0.892813682132,0.0,0.0
134,Universidade Federal do Amazonas,1.12435747664,0.0,0.0
135,Universidade Federal de Minas Gerais,7.7062451324,0.0,0.0
136,Universidade Federal do Espírito Santo,2.45307632399,0.0,0.0
137,Universidade Federal de Pernambuco,6.29629818925,0.00436742031406,6.13185812093
138,Universidade Federal de Mato Grosso do Sul,3.28375194704,0.0,0.0
139,Universidade Federal de São Carlos,1.35944140799,0.0,0.0
140,Universidade Federal de Santa Catarina,1.59769275701,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1.72647001558,0.0,0.0
142,Universidade Federal do Rio de Janeiro,30.0495285381,0.0221793752995,330.878706807
143,Pontifícia Universidade Católica do Rio Grande do Sul,2.12300428349,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,16.6283562111,0.149741673462,2584.00756008
145,Pontifícia Universidade Católica do Paraná,0.724250389408,0.0,0.0
146,Universidade Estadual de Campinas,20.6213322625,0.0938089726223,580.199611764
147,Universidade Federal do Ceará,3.76062110592,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,6.5664038162,0.0,0.0
149,Universidade Federal do Paraná,1.58792834891,0.0,0.0
150,Universidade Federal Fluminense,4.94093652648,0.0,0.0
151,Imperial College London,63.1051145473,1.11076246449,19091.7852396
152,University of Oxford,198.526489486,8.86300660386,429558.292638
153,University of Cambridge,53.4867893302,0.315970621129,8297.11482628
154,ETH Zurich,206.697161827,4.19203552138,195634.256772
155,École Polytechnique ParisTech,83.5085475078,2.99792520607,115741.395398
156,University of Texas at Arlington,17.9967679128,0.0128268819301,130.157035894
157,Ecole Normale Superieure,115.017075545,2.31807766153,52681.7710395
158,IIIT Bangalore,9.0335767134,0.0,0.0
159,Nanyang Technological University,28.9965440031,0.0,0.0
160,University of Waterloo,276.826322597,13.2290105578,507183.116066
161,Western University,22.7742503894,0.0335973777875,374.684164012
162,University of Nebraska,11.6507885514,0.00817054175012,57.0957457499
163,Victoria University of Wellington,4.22989680685,0.0,0.0
164,University of Queensland,14.2523461838,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,0.548481308411,0.0,0.0
167,University of Pittsburgh,38.5095404984,1.11681042766,65963.6690945
168,University of Michigan,118.56962482,4.16100285563,126953.232342
169,IIT Madras,55.3173356142,2.02839647797,24467.2143155
170,City University of New York,,,
171,University of British Columbia,95.0916615945,3.19834094689,83977.2606112
172,Queen’s University,35.9595961282,0.0116441193209,98.381164142
173,Virginia Commonwealth University,7.31867489987,0.10787810497,269.587384319
174,Polytechnic University of Catalonia,9.97426012461,0.0,0.0
175,Emory University,47.0099688474,0.771266071873,36108.2168429
176,Ecole Normale Superieure de Cachan,83.6000856039,0.232629392406,2976.56504883
177,Georgetown University,29.3038746106,1.84404396085,36154.7379651
178,Binghamton University,4.21041666667,0.0,0.0
179,University of Otago,8.7562694704,0.0595792205522,517.862585039
180,VU Amsterdam,27.9669295171,0.0,0.0
181,McMaster University,31.0736662773,0.224247884554,2654.01232432
182,Monash University,32.5612830997,0.0129597709901,53.3942564792
183,Tel Aviv University,608.419204773,51.0694312683,5592329.95329
184,Boise State University,1.6984521028,0.0,0.0
185,Drexel University,6.0166480521,0.00585613997357,18.5639637162
186,Boston College,8.67051207165,0.174217579153,2255.4241603
187,University of Bristol,57.2682145639,0.369763547259,4044.07022079
188,University of Kent,6.98321875749,0.0,0.0
189,Politecnico di Milano,27.4882623609,0.0248442112889,222.107248923
190,Australian National University,41.195142134,0.0541013805765,686.448867574
191,Toyota Technological Institute at Chicago,45.6368866822,9.31847305274,424817.740039
192,Technion-Israel Institute of Technology,472.43662105,34.2878477584,2896536.70453
193,TU Delft,16.2891939252,0.0,0.0
194,University of Minnesota,37.7268455162,0.106838075439,1531.8859793
195,New Mexico State University,6.85285241433,0.0293905524795,203.911653103
196,Pennsylvania State University,101.413625743,5.92859307393,251251.403111
197,TU Dresden,28.1194509346,0.0,0.0
198,University of Salerno,90.3456580997,0.699797121909,20132.1353689
199,Washington University in St. Louis,22.215001947,1.21550026832,15340.964167
200,McGill University,107.270363262,3.63693659647,116061.885041
201,Naval Postgraduate School,11.9819898754,0.0,0.0
202,University of Edinburgh,108.149919337,1.34848878699,22177.1616571
203,RWTH Aachen,77.1725175234,2.1603347203,113618.550361
204,University of Bath,19.981055296,0.229365271773,2004.43983179
205,IIT Kharagpur,20.2847644081,0.0,0.0
206,University of Melbourne,23.835046729,0.0850657864125,556.755061208
207,IMDEA Software Institute,18.2429442248,0.0,0.0
208,University of Sydney,38.5561860258,0.379861943563,5982.18020754
209,University of North Carolina,56.6035659474,0.330284228967,9086.65790777
210,IIIT Delhi,16.7430961189,0.177135326799,755.262703801
211,University of Nevada,1.1382982866,0.0,0.0
212,Concordia University,15.2832067757,0.0454156305993,138.472257697
213,IISc Bangalore,62.5049114097,4.98011163601,175956.341582
214,Rochester Institute of Technology,16.4003115265,0.160068463018,2268.41563692
215,DIKU,85.2819314642,6.19334325668,610857.84911
216,Chulalongkorn Uniersity,0.0017523364486,0.0,0.0
217,Worcester Polytechnic Institute,21.450866433,0.189870099185,3062.41482976
218,IST Austria,77.8472287396,1.3301912663,77278.071231
219,University College London,67.635241433,0.748314457566,8104.36570677
220,Columbia University,193.452981753,15.0339450363,1380793.80735
221,Massey University,2.92494158879,0.0,0.0
222,University of Miami,28.4640965732,1.04567738671,20022.2738943
223,IIT Roorkee,7.27166082555,0.0,0.0
224,University of Tartu,31.9771709502,0.110885503002,2662.25004156
225,University of Victoria,42.3987318027,0.910553141524,26520.9705907
226,Carleton University,101.56850662,0.539980514347,18498.7644984
227,Athens University of Economics and Business,14.137597352,0.0325700915637,158.786581783
228,Texas A&M University,62.0158099688,0.503461645245,19788.4069603
229,EPFL,118.930624765,4.91953714581,115736.302985
230,Bar-Ilan University,170.608917445,8.94776598027,419570.614774
231,University of Maryland-College Park,213.825163101,7.11586249924,471013.900486
232,IIT Kanpur,64.0181853583,9.48140229269,327530.530676
233,University of Adelaide,17.343652648,0.0789678895652,1171.56760959
234,University of Warsaw,157.668584502,4.3382508333,107476.028317
235,Stony Brook University,60.4622079439,0.611207408799,20275.2921323
236,University of Notre Dame,10.0114972741,0.0,0.0
237,University of Western Australia,4.65649338006,0.0,0.0
238,IIT Hyderabad,2.27165109034,0.0,0.0
239,IIT Bombay,47.0507270315,3.02348902711,60020.0014931
240,IIIT Hyderabad,14.1677278037,0.0,0.0
241,University of Maryland-Baltimore County,21.9433720744,0.452317570587,5987.04393212
242,University of New South Wales,,,
243,University of Alberta,60.0868374713,1.88547695671,35404.5261263
244,Aarhus University,128.064248164,3.64134623281,86982.1517519
245,University of Zurich,4.27905957944,0.0,0.0
246,Max Planck Institute,104.556119711,1.05429043552,103185.255871
247,TU Darmstadt,62.8965147975,0.143889226046,2407.90353012
248,University of Athens,28.4241917242,0.239173633828,3248.65139615
249,Stevens Institute of Technology,19.692944412,0.0178594626988,345.491305909
250,University of Calgary,57.1386000779,2.34444954073,70355.1957577
251,University of Massachusetts Lowell,4.4367114486,0.0,0.0
252,Rutgers University,218.996684059,25.5394576851,1619526.37442
253,Ecole Normale Superieure de Lyon,92.7429225078,1.04316170684,19701.5156653
254,Colorado State University,13.4113252856,0.0939656646219,1681.32763708
255,IIT Delhi,57.820288162,3.69543264543,151986.060372
256,BITS Pilani,1.41345404984,0.0,0.0
257,University of Auckland,30.0532320872,0.286441398196,2232.64517268
258,National University of Singapore,113.929226141,1.57252446971,40755.0530761
259,University of Canterbury,8.47561331776,0.0349107467339,443.296662027
260,Chennai Mathematical Institute,,,
261,University of Montreal,52.9536701713,1.86346527821,54553.4336307
262,George Mason University,20.2582095572,0.0241800122663,239.019421252
263,University of Luxembourg,36.7631522586,0.0310675760049,230.987427596
264,Hebrew University of Jerusalem,294.221050753,27.9373300347,1829670.21534
265,Simon Fraser University,89.6803933022,4.98544235819,203537.248735
266,Indiana University,58.1267203494,1.96628255917,31804.7933484
267,University of Toronto,215.118304427,20.2657687383,1413016.48901
268,University at Buffalo,79.9130597741,2.83707000781,103295.127894
269,TU Munich,72.379088785,2.12134874822,81893.4154118
270,University of Waikato,4.66549844237,0.0,0.0
