,Name,Computer security pscore norm,Computer security year norm,Computer security year combined norm
166,Chulalongkorn University,0.881004366812,0.0,0.0
167,University of Pittsburgh,27.0620087336,1.27270575911,20660.0156418
168,University of Michigan,128.149308208,3.73944623261,65941.9038384
169,IIT Madras,70.8784570597,0.293668545938,23871.7282295
170,City University of New York,,,
171,University of British Columbia,25.8261661142,0.189706776644,1834.18938399
172,Queen’s University,22.987656824,0.0242905182754,113.456178314
173,Virginia Commonwealth University,15.2093557219,0.161374989074,4587.56640266
174,Polytechnic University of Catalonia,16.6100315381,0.00325923723224,8.79342205257
175,Emory University,7.00493692382,0.00242643112204,4.32875312172
176,Ecole Normale Superieure de Cachan,27.7536173494,0.358082522078,2280.82199891
177,Georgetown University,28.0492358079,1.0256359623,11798.9333069
178,Binghamton University,12.7850921883,0.351654276999,3000.2692451
179,University of Otago,3.12360504609,0.015405406923,35.8329765028
180,VU Amsterdam,28.2373847647,1.08525750876,5631.95210036
181,McMaster University,39.7730834546,2.95925895445,123814.181665
182,Monash University,67.5444687045,2.85509786531,131759.941938
183,Tel Aviv University,79.9881922784,0.618418613254,17629.8456622
184,Boise State University,4.11686074721,0.014915313572,9.28115852636
185,Drexel University,9.7232264824,0.656705437502,5907.72211577
186,Boston College,3.03390344493,0.0,0.0
187,University of Bristol,137.550849102,3.24350768471,200620.551655
188,University of Kent,17.0606772291,0.239164271797,645.698505284
189,Politecnico di Milano,50.3340855954,0.453956538173,2680.1816914
190,Australian National University,27.965016982,0.00389633645875,5.5250050985
191,Toyota Technological Institute at Chicago,3.2731441048,0.0,0.0
192,Technion-Israel Institute of Technology,148.245744091,0.149562415148,5000.7681336
193,TU Delft,23.6204876274,0.245694785792,725.570230648
194,University of Minnesota,57.1882997158,3.43142891715,75076.4081246
195,New Mexico State University,3.55409995148,0.0,0.0
196,Pennsylvania State University,95.9824155466,5.90612564682,127532.746364
197,TU Dresden,20.8556889859,0.0795260889565,368.317352707
198,University of Salerno,59.3556162057,1.10721439447,23170.8904382
199,Washington University in St. Louis,15.5163876759,0.0149410374871,12.117181402
200,McGill University,30.890519512,0.059324536773,904.454950922
201,Naval Postgraduate School,17.4571809801,0.458252968351,4580.10414132
202,University of Edinburgh,72.6087665488,2.35443268138,103126.820593
203,RWTH Aachen,27.6736656963,0.13712827485,800.005092086
204,University of Bath,7.32098495876,0.0,0.0
205,IIT Kharagpur,42.3972828724,0.122854470819,455.492228287
206,University of Melbourne,23.8256550218,0.318701881091,1235.1887007
207,IMDEA Software Institute,58.6822444295,4.57727191576,96891.9341557
208,University of Sydney,17.4779718583,0.0207339343591,17.7473738458
209,University of North Carolina,50.3383444644,5.14416981832,213832.534052
210,IIIT Delhi,41.9489830988,0.424225949494,10591.4651407
211,University of Nevada,2.86273653566,0.0,0.0
212,Concordia University,8.45906113537,0.00196918402238,0.702998695991
213,IISc Bangalore,46.745730228,0.509371114964,24754.8555588
214,Rochester Institute of Technology,12.8099656893,0.0692859027725,161.375533083
215,DIKU,10.6204269772,0.000873740257958,0.11970241534
216,Chulalongkorn Uniersity,0.0447598253275,0.0,0.0
217,Worcester Polytechnic Institute,21.0560407569,0.512141139949,4091.52780036
218,IST Austria,30.9684046253,0.00370223518062,16.704485135
219,University College London,124.608964095,6.31873480923,131121.396914
220,Columbia University,119.298549595,5.13472512319,154497.530821
221,Massey University,1.40417273168,0.0,0.0
222,University of Miami,4.29724648229,0.0,0.0
223,IIT Roorkee,20.0297792334,0.0,0.0
224,University of Tartu,85.936802523,4.42398852982,210695.374024
225,University of Victoria,17.7576083305,0.0361458102575,223.634128063
226,Carleton University,48.4104803493,3.14073167051,83208.7042048
227,Athens University of Economics and Business,22.3284570597,0.176717200796,1458.10540316
228,Texas A&M University,42.2823912036,2.68037340938,64252.9283911
229,EPFL,120.749683736,2.27796806533,49558.557634
230,Bar-Ilan University,125.739604561,4.29357623611,226273.838846
231,University of Maryland-College Park,117.081193147,2.40215504839,269706.207727
232,IIT Kanpur,9.95399078117,0.0,0.0
233,University of Adelaide,12.4625788452,0.00348846483619,21.4331279536
234,University of Warsaw,37.9624090247,0.518319391012,15690.0462853
235,Stony Brook University,66.7662663755,5.46225445887,68902.1641501
236,University of Notre Dame,13.8600557982,0.0062733389215,12.465124437
237,University of Western Australia,4.68734837458,0.0,0.0
238,IIT Hyderabad,1.75118874333,0.0,0.0
239,IIT Bombay,17.5665745192,0.0,0.0
240,IIIT Hyderabad,18.3230834546,0.0676906759492,1107.71921366
241,University of Maryland-Baltimore County,20.3281217731,0.375315822893,3784.63410514
242,University of New South Wales,,,
243,University of Alberta,23.4185028339,0.0121064218308,18.9344437434
244,Aarhus University,132.16736501,3.06077912,231685.82654
245,University of Zurich,8.1816749844,0.0,0.0
246,Max Planck Institute,30.4096049482,0.455101496714,2429.07784268
247,TU Darmstadt,194.639992722,14.0355610856,1069103.7049
248,University of Athens,29.0511173902,0.0231384693062,102.966188413
249,Stevens Institute of Technology,50.7551067443,4.23109972587,151186.01267
250,University of Calgary,95.4673459486,5.6462550674,333980.470313
251,University of Massachusetts Lowell,13.1784085395,0.231965364369,2111.158781
252,Rutgers University,52.0558938374,1.1516935731,16508.1916349
253,Ecole Normale Superieure de Lyon,76.4363537118,0.923359849194,20050.5323455
254,Colorado State University,17.5743005014,0.354163405976,3036.67030716
255,IIT Delhi,9.66995390587,0.00641913901908,6.88773616747
256,BITS Pilani,1.4308588064,0.00187453763468,0.622346494713
257,University of Auckland,20.9404051431,0.855434569951,9855.56562288
258,National University of Singapore,89.622164732,3.44329105152,52073.4227701
259,University of Canterbury,4.79700388161,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,28.2061377972,0.205949524838,2726.16818655
262,George Mason University,64.8520655715,2.95853298565,34309.3122738
263,University of Luxembourg,98.7889980592,1.66744175056,58698.5611785
264,Hebrew University of Jerusalem,54.5435306486,0.0311139768765,185.072707805
265,Simon Fraser University,29.3500970403,0.0169396227384,91.8941864208
266,Indiana University,46.8349440286,4.75081971385,92539.45813
267,University of Toronto,44.9203327362,0.113408138045,1511.11338054
268,University at Buffalo,70.4940866084,2.15632545234,64033.6824021
269,TU Munich,33.5830300825,0.477257681154,3162.16331195
270,University of Waikato,5.03911935953,0.0,0.0
