,Name,Database pscore,Database year,Database year combined
132,Universidade Federal de Campina Grande,8066.0,37.3977376717,88845.4316783
133,Universidade Federal da Bahia,1728.62619048,0.0,0.0
134,Universidade Federal do Amazonas,15847.35,223.490087624,3715808.11086
135,Universidade Federal de Minas Gerais,53810.85,882.579399881,8404040.32626
136,Universidade Federal do Espírito Santo,7049.58333333,0.0,0.0
137,Universidade Federal de Pernambuco,16819.8,23.1442929688,89637.8466682
138,Universidade Federal de Mato Grosso do Sul,735.816666667,0.0,0.0
139,Universidade Federal de São Carlos,6111.25952381,0.0,0.0
140,Universidade Federal de Santa Catarina,5579.58333333,64.8856033252,102028.447487
141,Universidade Federal do Rio Grande de Norte,3686.6,0.0,0.0
142,Universidade Federal do Rio de Janeiro,22501.0761905,168.059257603,1064174.77604
143,Pontifícia Universidade Católica do Rio Grande do Sul,5054.0,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,45807.1666667,565.060448725,9549957.16903
145,Pontifícia Universidade Católica do Paraná,2239.66666667,0.0,0.0
146,Universidade Estadual de Campinas,33829.8666667,745.367802164,7787994.15124
147,Universidade Federal do Ceará,8234.81666667,72.6572163864,210473.542397
148,Universidade Federal do Rio Grande do Sul,27184.2333333,203.719856373,689879.683774
149,Universidade Federal do Paraná,8949.48333333,335.049491273,1621774.11241
150,Universidade Federal Fluminense,8766.75,0.0,0.0
151,Imperial College London,87738.5686813,3957.39828085,58496361.2381
152,University of Oxford,186277.3,16536.0873488,685479757.735
153,University of Cambridge,44593.325,346.487904173,2770117.99112
154,ETH Zurich,339745.057817,44452.5198104,5485914022.28
155,École Polytechnique ParisTech,15522.3333333,37.3267776684,94959.3223885
156,University of Texas at Arlington,211874.959524,18984.187904,1381240958.03
157,Ecole Normale Superieure,29307.4388889,175.575476799,3354720.63521
158,IIIT Bangalore,8702.58333333,97.2232882241,510713.933041
159,Nanyang Technological University,240006.85,31409.0776292,1973723935.24
160,University of Waterloo,290861.637729,38691.573168,2879986962.38
161,Western University,37864.55,163.162582126,1469812.79638
162,University of Nebraska,32938.5775974,426.129402799,4855694.89932
163,Victoria University of Wellington,15395.6666667,63.0145419467,311882.66141
164,University of Queensland,242924.3,36218.1839218,4221690923.23
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1776.0,0.0,0.0
167,University of Pittsburgh,104400.95,7364.22471197,405025235.865
168,University of Michigan,282250.670288,33475.032417,5702431172.52
169,IIT Madras,26244.3,145.642405309,760542.778504
170,City University of New York,,,
171,University of British Columbia,175498.420658,19023.0188457,1868599519.0
172,Queen’s University,36976.447619,187.291295453,1965193.2267
173,Virginia Commonwealth University,6487.39285714,0.0,0.0
174,Polytechnic University of Catalonia,30435.6333333,614.60370404,8389340.56015
175,Emory University,39446.3,883.049436126,11980196.7079
176,Ecole Normale Superieure de Cachan,103659.799123,11788.0477116,1305151734.46
177,Georgetown University,48800.3333333,1494.09508358,24847491.922
178,Binghamton University,50899.85,2229.81111375,136414665.321
179,University of Otago,5560.33333333,0.0,0.0
180,VU Amsterdam,63390.4666667,30.0517001064,518308.93654
181,McMaster University,21720.1166667,1833.14186211,22610000.5063
182,Monash University,48192.6,16.7423580097,43100.3281142
183,Tel Aviv University,174254.004762,23006.4522751,2247363959.24
184,Boise State University,8357.65,183.384898289,574507.608982
185,Drexel University,21100.2102897,3778.36478333,82357653.4999
186,Boston College,21238.5833333,1355.66238665,25878239.2987
187,University of Bristol,10129.6666667,2.51306931591,3128.77129831
188,University of Kent,13341.0974359,36.8592708111,100073.181964
189,Politecnico di Milano,182587.214416,6906.69141859,329272900.308
190,Australian National University,55650.0166667,90.0751322465,597261.103853
191,Toyota Technological Institute at Chicago,6677.25,0.0,0.0
192,Technion-Israel Institute of Technology,164285.395238,8774.55200184,278041887.509
193,TU Delft,49166.9654762,562.332167099,3416237.64078
194,University of Minnesota,252626.794048,15188.6740461,1311872561.0
195,New Mexico State University,14612.0833333,271.023609677,1533931.72351
196,Pennsylvania State University,177584.555411,5337.11599138,253926255.219
197,TU Dresden,146582.133333,15409.9239029,1782557050.06
198,University of Salerno,35133.3666667,0.0,0.0
199,Washington University in St. Louis,28834.5166667,63.5385821367,428166.278886
200,McGill University,49046.0496337,1883.37953778,42235301.9002
201,Naval Postgraduate School,34022.25,257.790132319,3046274.90058
202,University of Edinburgh,245259.571429,31316.7744086,2071880414.16
203,RWTH Aachen,87089.7333333,1055.14778968,39609274.7841
204,University of Bath,6771.61666667,0.0,0.0
205,IIT Kharagpur,20809.7,7.29666417163,14243.088463
206,University of Melbourne,136475.3,6213.12843339,172207485.805
207,IMDEA Software Institute,6057.71410256,0.0,0.0
208,University of Sydney,78859.5642857,5071.18030084,151453951.491
209,University of North Carolina,43633.5941176,102.592427428,882926.135637
210,IIIT Delhi,13968.6666667,78.6081494209,527118.789415
211,University of Nevada,2890.73333333,0.0,0.0
212,Concordia University,37679.2666667,1720.74298936,30147866.8728
213,IISc Bangalore,79954.7,7896.95086365,536686993.487
214,Rochester Institute of Technology,16815.1071429,114.567971167,227599.304159
215,DIKU,16842.9666667,35.874371312,330080.090442
216,Chulalongkorn Uniersity,44.5,0.0,0.0
217,Worcester Polytechnic Institute,206602.183333,25226.904026,3531937581.51
218,IST Austria,12050.9147059,0.0,0.0
219,University College London,64414.5666667,53.9113234128,223208.400594
220,Columbia University,208049.389286,19787.947236,1302185590.79
221,Massey University,9526.11413586,53.8060578195,300022.578402
222,University of Miami,10144.4166667,26.3805896513,304009.915141
223,IIT Roorkee,4795.0,114.069621843,754684.618111
224,University of Tartu,16897.4166667,101.007109384,1097653.37555
225,University of Victoria,24164.4057692,196.728028481,1326172.10333
226,Carleton University,48053.5333333,416.64917805,3535215.69304
227,Athens University of Economics and Business,104484.583333,11812.853803,610183706.051
228,Texas A&M University,58511.5447995,157.820211565,2692412.80931
229,EPFL,226719.792577,30172.204327,2282052689.0
230,Bar-Ilan University,43727.4666667,2435.57068728,32457354.446
231,University of Maryland-College Park,304071.168918,32202.8706046,2041443201.32
232,IIT Kanpur,38798.4666667,2060.65307819,36440663.8181
233,University of Adelaide,29061.0,191.248890719,2832879.81852
234,University of Warsaw,45179.5666667,653.483953137,2049593.59845
235,Stony Brook University,113295.133333,4063.83632561,91255348.2339
236,University of Notre Dame,34199.0666667,223.314444854,1797023.1898
237,University of Western Australia,17821.1666667,300.41091654,3117885.97162
238,IIT Hyderabad,8216.18333333,142.942469874,534108.352287
239,IIT Bombay,229600.264006,25669.7560322,1893745093.21
240,IIIT Hyderabad,40633.4166667,303.74782036,3159594.4208
241,University of Maryland-Baltimore County,41316.7044289,242.619703914,2770901.44418
242,University of New South Wales,,,
243,University of Alberta,141724.368864,5556.38304703,120975907.954
244,Aarhus University,53518.3071429,4679.64412463,143648661.186
245,University of Zurich,53766.5261905,3780.07354825,150129517.803
246,Max Planck Institute,191570.655986,17646.5415715,3439231626.53
247,TU Darmstadt,55158.95,1217.89614436,39645122.4535
248,University of Athens,165543.497652,14505.1640961,1282136601.33
249,Stevens Institute of Technology,17729.5375,685.360473462,8058941.39758
250,University of Calgary,43295.7833333,197.555177086,2319453.11856
251,University of Massachusetts Lowell,41617.2833333,6208.54291014,165709233.204
252,Rutgers University,196429.280205,9786.48748343,429972742.962
253,Ecole Normale Superieure de Lyon,30896.05,0.0,0.0
254,Colorado State University,20279.7833333,154.730607075,1420753.76117
255,IIT Delhi,39419.45,3768.60435141,67273600.2733
256,BITS Pilani,3309.5,0.0,0.0
257,University of Auckland,29045.4333333,266.002713249,2281629.75509
258,National University of Singapore,643276.47591,71278.8372389,10183704129.2
259,University of Canterbury,5811.75,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,32038.35,3.92208302082,9911.10379361
262,George Mason University,146976.884524,5413.29824542,137910652.801
263,University of Luxembourg,19550.6666667,0.0,0.0
264,Hebrew University of Jerusalem,98271.0666667,8126.49212051,375464021.439
265,Simon Fraser University,209875.012121,14272.5241757,1065017035.26
266,Indiana University,83386.1694444,5113.62905586,143509092.061
267,University of Toronto,265527.576224,36185.2846385,4820298285.98
268,University at Buffalo,116260.561538,5352.40894029,101279014.826
269,TU Munich,152293.166667,22957.3712476,1712496184.43
270,University of Waikato,16867.6666667,11.0707837957,27643.7471378
