,Name,Machine learning pscore,Machine learning year,Machine learning year combined
116,Kansas State University,11340.3,30.2783562178,122178.052487
117,University of Alabama In Huntsville,3393.4,0.0,0.0
118,University of Memphis,16546.2944444,53.8522732831,348747.321781
119,Temple University,60599.95,873.138073351,14658305.1711
120,University of Louisiana at Lafayette,23901.4833333,70.3129130141,456710.358466
121,University of Alabama at Birmingham,6564.75,0.0,0.0
122,Oregon Health and Science University,56606.1190476,4749.93977366,160991133.927
123,Western Michigan University,1109.0,0.0,0.0
124,Southern Methodist University,12078.1666667,31.5768603905,82794.5279439
125,University of Southern Mississippi,12363.1666667,51.8678114449,504725.67317
126,Universidade de Brasília,1601.25,0.0,0.0
127,Universidade Federal de Uberlândia,2125.5,0.0,0.0
128,USP - São Carlos,24715.327381,47.2964566214,111947.297993
129,Universidade de São Paulo,13401.9333333,66.1284259194,191904.692018
130,Universidade do Vale do Rio dos Sinos,1884.0,0.0,0.0
131,Universidade de Fortaleza,2242.89583333,27.2603715526,54002.7960458
132,Universidade Federal de Campina Grande,1730.66666667,0.0,0.0
133,Universidade Federal da Bahia,400.82202381,0.0,0.0
134,Universidade Federal do Amazonas,3325.76666667,0.0,0.0
135,Universidade Federal de Minas Gerais,20665.7083333,10.6006168276,13391.6395766
136,Universidade Federal do Espírito Santo,2184.25,0.0,0.0
137,Universidade Federal de Pernambuco,26905.1708333,7.03361678941,45676.3074304
138,Universidade Federal de Mato Grosso do Sul,495.35,0.0,0.0
139,Universidade Federal de São Carlos,5916.23869048,0.0,0.0
140,Universidade Federal de Santa Catarina,1601.41666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,5485.58333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,13426.8095238,47.6932085631,128771.66312
143,Pontifícia Universidade Católica do Rio Grande do Sul,2666.25,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,10527.8708333,25.61189725,84211.9181581
145,Pontifícia Universidade Católica do Paraná,4309.16666667,0.0,0.0
146,Universidade Estadual de Campinas,15715.4125,11.0524186364,38318.7354124
147,Universidade Federal do Ceará,1294.8,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,29492.6166667,93.932714908,831141.138966
149,Universidade Federal do Paraná,6904.61666667,0.0,0.0
150,Universidade Federal Fluminense,18465.15,825.821854692,12221337.6276
151,Imperial College London,147088.318437,1851.77514526,35270534.0293
152,University of Oxford,181395.216667,10988.8173386,514139066.426
153,University of Cambridge,40758.7083333,960.615028724,6944012.18535
154,ETH Zurich,221016.174162,14016.3137014,716498659.544
155,École Polytechnique ParisTech,23030.6166667,69.7051561905,576284.844968
156,University of Texas at Arlington,92586.3333333,2300.69697145,102489627.638
157,Ecole Normale Superieure,143782.733333,20391.3098204,1941444587.24
158,IIIT Bangalore,8529.58333333,23.3267788893,43161.7511781
159,Nanyang Technological University,149036.616667,814.280244259,8007792.94548
160,University of Waterloo,173340.864469,10283.7223395,314758695.595
161,Western University,52194.9,1418.66302952,20379813.5243
162,University of Nebraska,22975.4518398,22.2087854328,80200.6510198
163,Victoria University of Wellington,39837.8333333,87.359254157,442086.274575
164,University of Queensland,50731.3,261.033299989,2991355.14729
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,2105.0,0.0,0.0
167,University of Pittsburgh,40603.8,808.950836175,13001924.7877
168,University of Michigan,378206.128929,25110.1211449,2048447062.68
169,IIT Madras,29560.9,511.995236346,3031107.16162
170,City University of New York,,,
171,University of British Columbia,110218.33219,3389.50170223,61509999.9835
172,Queen’s University,21151.0166667,14.6093847622,81608.0232814
173,Virginia Commonwealth University,7480.30952381,0.0,0.0
174,Polytechnic University of Catalonia,5082.45,0.0,0.0
175,Emory University,17682.1833333,59.3568168254,381839.818457
176,Ecole Normale Superieure de Cachan,13315.9371554,0.0,0.0
177,Georgetown University,22159.15,800.693416028,6053891.66137
178,Binghamton University,20353.6666667,143.727927298,1277117.66669
179,University of Otago,5570.31666667,0.0,0.0
180,VU Amsterdam,45103.75,23.5321972057,373385.373062
181,McMaster University,6749.25,0.0,0.0
182,Monash University,83520.2833333,3239.27439903,66322875.4384
183,Tel Aviv University,172223.419048,11597.1271037,571595947.821
184,Boise State University,2814.46666667,9.09333333333,3182.66666667
185,Drexel University,35023.5800144,207.787442051,1584549.18503
186,Boston College,14739.1666667,1199.40257915,10651894.3054
187,University of Bristol,49710.4,2434.45713533,73198680.2848
188,University of Kent,10445.4179487,0.0,0.0
189,Politecnico di Milano,57175.9539136,701.145395094,9836175.1695
190,Australian National University,197400.35,12551.6827541,462820622.283
191,Toyota Technological Institute at Chicago,85831.4,15863.2348192,638146184.969
192,Technion-Israel Institute of Technology,390439.942857,36836.3830558,2566409554.88
193,TU Delft,73818.8321429,657.97201848,3464377.87424
194,University of Minnesota,143993.883333,4025.36714191,128639853.36
195,New Mexico State University,18429.5,42.5959624342,262135.55282
196,Pennsylvania State University,107345.893074,878.558921387,49913158.2994
197,TU Dresden,37629.1833333,282.183327009,5353864.26335
198,University of Salerno,28065.4166667,2.47388007681,9972.21058963
199,Washington University in St. Louis,64385.1833333,2921.97055572,34966299.0194
200,McGill University,115205.126374,7200.24798856,380011064.055
201,Naval Postgraduate School,13678.9166667,618.128225011,4682321.30446
202,University of Edinburgh,240832.044048,13213.766251,321547726.408
203,RWTH Aachen,81401.9833333,80.4349701652,2793801.43586
204,University of Bath,27547.55,1819.5443129,25134129.5288
205,IIT Kharagpur,19696.6666667,0.0,0.0
206,University of Melbourne,78930.95,580.884604833,7470741.99539
207,IMDEA Software Institute,2268.60128205,0.0,0.0
208,University of Sydney,44798.1166667,486.720677634,3759130.77174
209,University of North Carolina,44009.4715686,408.474814566,2509496.16556
210,IIIT Delhi,6385.77777778,0.0,0.0
211,University of Nevada,7823.05,0.0,0.0
212,Concordia University,22479.9,33.0394118822,268973.852133
213,IISc Bangalore,69307.0083333,3654.35957071,96415001.445
214,Rochester Institute of Technology,22658.8333333,30.6215132368,66793.5029895
215,DIKU,39739.9833333,3624.5006211,59553831.8805
216,Chulalongkorn Uniersity,14.5,0.0,0.0
217,Worcester Polytechnic Institute,32216.9,69.8618753861,147610.479458
218,IST Austria,35431.9794118,1631.58717082,24856366.6576
219,University College London,336616.333333,36396.8899786,2499024276.79
220,Columbia University,350338.203571,37586.9295085,2500391797.91
221,Massey University,9505.37384837,36.3354230066,174659.894534
222,University of Miami,20091.0833333,1173.25612448,13256648.4455
223,IIT Roorkee,3424.66666667,27.8003422667,34806.028518
224,University of Tartu,5503.66666667,0.0,0.0
225,University of Victoria,13216.7262821,32.960514416,97991.6093588
226,Carleton University,45631.6,2572.71996815,67389826.8458
227,Athens University of Economics and Business,40450.9833333,3900.35116012,82207661.1661
228,Texas A&M University,72826.0431078,79.2264763577,531640.305725
229,EPFL,164551.20056,2988.45158688,61402731.3768
230,Bar-Ilan University,119966.133333,1631.22788727,24962419.3286
231,University of Maryland-College Park,212058.01824,5889.5790288,268198726.264
232,IIT Kanpur,39283.9166667,2114.46397079,38210544.7958
233,University of Adelaide,56648.9166667,625.090307934,8512566.25309
234,University of Warsaw,24004.2666667,0.0,0.0
235,Stony Brook University,81320.4,5566.61787333,140140248.067
236,University of Notre Dame,51246.5666667,150.377563483,1683826.22939
237,University of Western Australia,13671.3333333,0.0,0.0
238,IIT Hyderabad,4709.48333333,67.3261267566,183261.717032
239,IIT Bombay,48972.5172269,1549.58736454,12879672.3875
240,IIIT Hyderabad,41121.9166667,74.8893687082,414863.449349
241,University of Maryland-Baltimore County,85722.7731158,881.487691468,16662791.436
242,University of New South Wales,,,
243,University of Alberta,394346.067949,39053.6635098,2851114442.44
244,Aarhus University,16600.2047619,52.3493150685,229080.60274
245,University of Zurich,12694.0,38.5506538197,186469.512526
246,Max Planck Institute,247838.190097,27850.469284,4783340822.0
247,TU Darmstadt,71802.7833333,2672.03232106,66837343.6284
248,University of Athens,43748.7591442,124.784784294,2040699.23749
249,Stevens Institute of Technology,21682.8291667,520.798879928,6593042.93299
250,University of Calgary,24645.9333333,16.3550793976,49131.2267737
251,University of Massachusetts Lowell,9857.26666667,0.0,0.0
252,Rutgers University,135311.356443,8938.33169677,277948637.075
253,Ecole Normale Superieure de Lyon,19975.4,19.9507509308,83434.0403926
254,Colorado State University,27338.45,382.249752042,2835526.66852
255,IIT Delhi,27618.1,650.175817776,6632040.50278
256,BITS Pilani,1351.5,0.0,0.0
257,University of Auckland,22868.5722222,105.435707995,301351.297328
258,National University of Singapore,201268.00056,5395.92193549,148513328.879
259,University of Canterbury,4733.0,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,199727.125,30056.5819982,3428191779.77
262,George Mason University,72800.8234127,798.871084658,12271995.4228
263,University of Luxembourg,31491.1666667,7.39421771918,62961.7638789
264,Hebrew University of Jerusalem,335076.436111,40767.6923587,2733992424.62
265,Simon Fraser University,124958.069697,1431.51854978,22249818.3991
266,Indiana University,69046.918254,2940.18541277,28659262.4241
267,University of Toronto,252859.143201,20777.8458394,1239574255.07
268,University at Buffalo,77190.0692308,258.120340589,2401718.10795
269,TU Munich,92328.1666667,35.3626549131,346581.081447
270,University of Waikato,42577.8333333,1570.71260623,29100213.546
