,Name,Distributed computing pscore norm,Distributed computing year norm,Distributed computing year combined norm
180,VU Amsterdam,70.8532949916,0.35211993764,7165.70443884
181,McMaster University,43.4585669782,0.947991037636,14869.3549668
182,Monash University,36.157560508,0.0,0.0
183,Tel Aviv University,90.1417616651,0.155644164857,3538.55393075
184,Boise State University,7.99379343398,0.0,0.0
185,Drexel University,9.24210874196,0.0,0.0
186,Boston College,6.33662832495,0.0130994064659,106.367180503
187,University of Bristol,17.8520249221,0.0,0.0
188,University of Kent,20.5117578204,0.0116623523133,27.4065279363
189,Politecnico di Milano,176.690400104,0.195510332309,1257.90820955
190,Australian National University,125.804948478,0.191992194703,5371.46624177
191,Toyota Technological Institute at Chicago,2.33213515457,0.0,0.0
192,Technion-Israel Institute of Technology,299.858539591,1.77313605013,45589.8847847
193,TU Delft,101.655709322,0.483530608447,11080.3373641
194,University of Minnesota,254.392725343,5.46616003836,295034.630883
195,New Mexico State University,17.7488018212,0.0557547926205,274.843390811
196,Pennsylvania State University,301.444410885,5.24477532246,366570.158565
197,TU Dresden,63.8818116463,0.58451839765,12449.3111321
198,University of Salerno,55.6554397316,0.136612905934,1232.13743639
199,Washington University in St. Louis,87.8003594536,1.14203297617,38778.2343081
200,McGill University,86.4154513711,3.11367480866,235178.474219
201,Naval Postgraduate School,15.218847352,0.0,0.0
202,University of Edinburgh,80.9710331724,0.0804196450657,621.296573554
203,RWTH Aachen,41.0971004074,0.0437486096123,463.823473214
204,University of Bath,5.75669781931,0.0,0.0
205,IIT Kharagpur,46.4284807093,0.0682516274626,467.911287397
206,University of Melbourne,74.6124251138,0.255191232147,8858.22714404
207,IMDEA Software Institute,8.97856826854,0.0,0.0
208,University of Sydney,127.784423676,3.15785747233,380697.422681
209,University of North Carolina,75.233595523,0.288157021777,5955.45135866
210,IIIT Delhi,13.7506689831,0.136064300428,1702.57259126
211,University of Nevada,15.3192307692,0.0,0.0
212,Concordia University,41.3855020369,0.0,0.0
213,IISc Bangalore,52.6059729212,0.102227025286,1289.56531106
214,Rochester Institute of Technology,40.6840916093,0.33916744137,7978.0301981
215,DIKU,12.5919362569,0.0,0.0
216,Chulalongkorn Uniersity,0.145578720345,0.0,0.0
217,Worcester Polytechnic Institute,46.4382458663,0.19991775482,2139.96841018
218,IST Austria,9.29878651676,0.0166909333366,42.6787165416
219,University College London,68.3468128445,0.0111273684547,23.9612740184
220,Columbia University,150.471678477,0.552875213392,11261.3649979
221,Massey University,5.07752216631,0.0,0.0
222,University of Miami,14.7004792715,0.0872076522269,1422.00797721
223,IIT Roorkee,9.08189551881,0.0902323656906,420.260230443
224,University of Tartu,10.9657919962,0.0,0.0
225,University of Victoria,63.2667841804,0.595869384118,21037.7107125
226,Carleton University,77.8243949197,0.3106989271,11251.8236425
227,Athens University of Economics and Business,75.7506589983,0.33298881033,7539.91304812
228,Texas A&M University,166.123910874,2.64766329658,62158.674221
229,EPFL,197.308360838,0.654970064867,20812.8817645
230,Bar-Ilan University,28.0082075246,0.00408319871536,7.04351778399
231,University of Maryland-College Park,170.222039743,1.20768156413,32093.4665342
232,IIT Kanpur,25.501917086,0.114022230567,934.240659689
233,University of Adelaide,51.5451114306,0.314252468367,15696.7816565
234,University of Warsaw,29.155475677,0.102570323873,453.986596352
235,Stony Brook University,100.830349868,0.216664717702,4188.68971464
236,University of Notre Dame,70.2137550923,0.183435256294,2745.10825713
237,University of Western Australia,27.4778936017,0.116837651327,1977.24928865
238,IIT Hyderabad,11.2751258088,0.0901967680189,183.059240997
239,IIT Bombay,70.8374006972,0.643767546158,19515.2347514
240,IIIT Hyderabad,28.511286844,0.0137040782778,79.1410520543
241,University of Maryland-Baltimore County,64.5525696326,0.135055420697,2515.81237674
242,University of New South Wales,,,
243,University of Alberta,94.5709461399,0.178207017042,1894.91441462
244,Aarhus University,21.6786861114,0.0,0.0
245,University of Zurich,17.8938670364,0.0111148059355,125.852947608
246,Max Planck Institute,44.66269835,0.0157443446047,99.897501148
247,TU Darmstadt,68.0888090103,0.292869323904,2779.44440259
248,University of Athens,118.381248725,0.724443640579,15243.6764101
249,Stevens Institute of Technology,20.5042175893,0.193239225567,1511.75007761
250,University of Calgary,76.6474958064,1.40812683032,43578.3695509
251,University of Massachusetts Lowell,46.1117421519,1.1336495721,43695.3937513
252,Rutgers University,106.614104477,0.989424345978,15085.3615584
253,Ecole Normale Superieure de Lyon,190.00958543,1.16210473576,62700.2571651
254,Colorado State University,42.8059389728,0.379076043933,6367.39926271
255,IIT Delhi,41.1335010784,0.0836917427077,430.780114534
256,BITS Pilani,7.1065180925,0.0,0.0
257,University of Auckland,24.0633596933,0.0,0.0
258,National University of Singapore,208.383878052,1.17967260332,18195.7733785
259,University of Canterbury,12.8921040019,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,34.8069015097,0.00213008529937,3.08862368408
262,George Mason University,101.433292253,1.05818808033,16916.4467477
263,University of Luxembourg,74.4641864366,0.13043313656,2130.1482115
264,Hebrew University of Jerusalem,64.1364905344,0.724734976642,16782.0102846
265,Simon Fraser University,139.887023724,3.21732192398,213335.399196
266,Indiana University,72.8437437951,0.13980385585,1077.65421307
267,University of Toronto,77.5441925197,0.531222222448,7226.13651236
268,University at Buffalo,243.097346034,4.16665139264,246384.478207
269,TU Munich,75.7422717469,0.409228256287,9294.71794302
270,University of Waikato,9.60010783609,0.0,0.0
