Sigla	Nome	H-index	Class
PerCom 	Annual IEEE International Conference on Pervasive Computing and Communications 	54	A2
PKC 	International Conference on Theory and Practice of Public-­‐Key Cryptography 	54	A2
RECOMB 	Annual International Conference on Research in Computational Molecular Biology 	54	A2
ESOP 	European Symposium on Programming ETAPS) 	53	A2
FPGA 	ACM/SIGDA International Symposium on Field-­‐Programmable Gate Arrays 	53	A2
ICC 	IEEE International Conference on Communications 	53	A2
ICFP 	International Conference on Functional Programming 	53	A2
ICSM 	IEEE International Conference on Software Maintenance 	53	A2
JCDL 	ACM IEEE Joint Conference on Digital Libraries 	53	A2
PACT 	International Conference on Parallel Architectures and Compilation Techniques 	53	A2
PPoPP 	Principles and Practice of Parallel Programming 	53	A2
RAID 	International Symposium on Recent Advances in Intrusion Detection 	53	A2
SIGCSE 	ACM Technical Symposium on Computer Science Education 	53	A2
WCSMO 	World Congress on Structural and Multidisciplinary Optimization 	53	A2
CAGD 	International Symposium of Computer Aided Geometric Design 	52	A2
EDBT 	International Conference on Extending Database Technology 	52	A2
ICS 	ACM International Conference on Supercomputing 	52	A2
ISSTA 	International Symposium on Software Testing and Analysis 	52	A2
LICS 	IEEE Symposium on Logic in Computer Science 	52	A2
PKDD 	European Conference on Principles and Practice of Knowledge Discovery in Databases 	52	A2
CAiSE 	International Conference on Advanced Information Systems Engineering 	51	A2
GI 	Graphics Interface 	51	A2
ICMR 	ACM International Conference on Multimedia Retrieval 	51	A2
SDM 	SIAM International Conference on Data Mining 	51	A2
TREC 	Text Retrieval Conference 	51	A2
CONCUR 	International Conference on Concurrency Theory 	50	A2
FPL 	International Conference on Field-­‐Programmable Logic and Applications 	50	A2
I3D 	ACM Symposium on Interactive 3D Graphics and Games 	50	A2
BPM 	International Conference in Business Process Management 	49	A2
DIS 	Designing Interative Systems Conference 	49	A2
ECAI 	European Conference on Artificial Intelligence 	49	A2
ESEC/FSE 	European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering 	49	A2
ICAPS 	International Conference on Automated Planning and Scheduling 	49	A2
LREC 	International Conference on Language Resources and Evaluation 	49	A2
Middleware 	ACM/IFIP/USENIX International Middleware Conference 	49	A2
SoCG 	Annual ACM Symposium on Computational Geometry 	49	A2
ASP-­‐DAC 	Asia and South Pacific Design Automation Conference 	48	A2
BMVC 	British Machine Vision Conference 	48	A2
CP 	International Conference on Principles and Practice of Constraint Programming 	48	A2
ICDAR 	IEEE International Conference on Document Analysis and Recognition 	48	A2
ISMAR 	International Symposium on Mixed and Augmented Reality 	48	A2
LCN 	IEEE Conference on Local Computer Networks 	48	A2
PERVASIVE 	International Conference on Pervasive Computing 	48	A2
SAS 	International Static Analysis Symposium 	48	A2
ECML 	European Conference on Machine Learning 	47	A2
ECRTS 	Euromicro Conference on Real-­‐Time Systems 	47	A2
EuroSys 	European Conference on Computer Systems 	47	A2
ICIS 	International Conference on Information Systems 	47	A2
ICSOC 	International Conference on Service Oriented Computing 	47	A2
ISWC_A 	IEEE International Symposium on Wearable Computing 	47	A2
TCC 	Theory of Cryptography Conference 	47	A2
VTS 	IEEE VLSI Test Symposium 	47	A2
COLT 	Annual Conference on Computational Learning Theory 	46	A2
ESA 	European Symposium on Algorithms 	46	A2
FCCM 	IEEE Symposium on Field-­‐Programmable Custom Computing Machines 	46	A2
FSE 	Fast Software Encryption Workshop 	46	A2
GRID 	IEEE/ACM International Conference on Grid Computing 	46	A2
ICMI 	International Conference on Multimodal Interfaces 	46	A2
IJCNN 	IEEE International Joint Conference on Neural Networks 	46	A2
KR 	International Conference on Principles of Knowledge Representation and Reasoning 	46	A2
P2P 	International Conference on Peer-­‐to-­‐Peer Computing 	46	A2
PPSN 	Parallel Problem Solving From Nature 	46	A2
SPAA 	ACM Symposium on Parallel Algorithms and Architectures 	46	A2
AVBPA 	International Conference on Audio-­‐ and Video-­‐Based Biometric Person 	45	A2
DCC 	Data Compression Conference 	45	A2
ESORICS 	European Symposium on Research in Computer Security 	45	A2
GROUP 	International Conference on Supporting Group Work 	45	A2
Hypertext 	ACM Conference on Hypertext and Hypermedia 	45	A2
CASES 	International Conference on Compilers, Architecture, and Synthesis for Embedded Systems 	44	A2
ESEM 	International Symposium on Empirical Software Engineering and Measurement 	44	A2
HotOS 	USENIX Workshop on Hot Topics in Operating Systems 	44	A2
ICITS 	International Conference on Intelligent Tutoring Systems 	44	A2
IWQoS 	International Workshop on Quality of Service 	44	A2
STACS 	International Symposium on Theoretical Aspects of Computer Science 	44	A2
Euro-­‐Par 	European Conference on Parallel Computing 	43	A2
ICAC 	IEEE International Conference on Autonomic Computing 	43	A2
ISCC 	IEEE Symposium on Computers and Communications 	43	A2
SPLC 	Software Product Line Conference 	43	A2
WCRE 	IEEE Working Conference on Reverse Engineering 	43	A2
EDOC 	IEEE International Enterprise Distributed Object Computing Conference 	42	A2
EMSOFT 	ACM Conference on Embedded Software 	42	A2
ER 	International Conference on Conceptual Modeling 	42	A2
FASE 	Fundamental Approaches to Software Engineering 	42	A2
ICPP 	International Conference on Parallel Processing 	42	A2
ISPD 	ACM International Symposium on Physical Design 	42	A2
MASCOTS 	IEEE International Symposium on Modeling Analysis and Simulation of Computer and Telecommunication Systems 	42	A2
MobileHCI 	International Conference on Human-­‐Computer Interaction with Mobile Devices and Services 	42	A2
RTAS 	IEEE Real-­‐Time and Embedded Technology and Applications Symposium 	42	A2
CADE 	International Conference on Automated Deduction 	41	A2
CGO 	IEEE/ACM International Symposium on Code Generation and Optimization 	41	A2
CIDR 	Biennial Conference on Innovative Data Systems Research 	41	A2
ICCD 	International Conference on Computer Design 	41	A2
ICPC 	IEEE International Conference on Program Comprehension 	41	A2
ISSRE 	IEEE International Symposium on Software Reliability Engineering 	41	A2
NOSSDAV 	Network and Operating System Support for Digital A/V 	41	A2
COMPSAC 	Annual International Computer Software and Applications Conference 	40	A2
CSMR 	European Conference on Software Maintenance and Reengineering 	40	A2
DISC 	International Symposium on Distributed Computing 	40	A2
EMO 	International Conference on Evolutionary Multi-­‐Criterion Optimization 	40	A2
PAM 	Passive and Active Measurement Conference 	40	A2
PG 	Pacific Conference on Computer Graphics and Applications 	40	A2
SRDS 	IEEE International Symposium on Reliable Distributed Systems 	40	A2
VLSID 	International Conference on VLSI Design 	40	A2
VMCAI 	Verification, Model Checking, and Abstract Interpretation 	40	A2
VR 	IEEE Virtual Reality Conference 	40	A2
AINA 	International Conference on Advanced Information Networking and Applications 	39	A2
AMIA 	AMIA Annual Symposium 	39	A2
CLUSTER 	Cluster Computing Conference 	39	A2
CODES+ISSS 	International Conference on Hardware/Software Codesign and System Synthesis 	39	A2
COMS 	Conference on Optimization Methods and Software 	39	A2
ECIR 	European Conference on Information Retrieval 	39	A2
MDA/MDM 	International Conference on Mobile Data Access/Management 	39	A2
NPAR 	Non-­‐Photorealistic Animation and Rendering 	39	A2
POLICY 	IEEE International Workshop on Policies for Distributed Systems and Networks 	39	A2
RSS 	Robotics: Science and Systems Conference 	39	A2
SCA 	ACM SIGGRAPH / Eurographics Symposium on Computer Animation 	39	A2
WI 	IEEE/WIC/ACM International Conference on Web Intelligence 	39	A2
ASSETS 	International ACM SIGACCESS Conference on Computers and Accessibility 	38	A2
AVI 	International Working Conference on Advanced Visual Interfaces 	38	A2
CC 	International Conference on Compiler Construction 	38	A2
FUZZ 	IEEE International Conference on Fuzzy Systems 	38	A2
HRI 	IEEE/ACM International Conference on Human Robot Interaction 	38	A2
ICTAI 	IEEE International Conference on Tools with Artificial Intelligence 	38	A2
MDM 	IEEE International Conference on Mobile Data Management 	38	A2
SMI 	IEEE International Conference on Shape Modeling and Applications 	38	A2
SSDBM 	International Conference on Scientific and Statistical Database Management 	38	A2
SWWS 	Semantic Web and Web Services 	38	A2
ASYNC 	Symposium on Asynchronous Circuits and Systems 	37	A2
DSP 	International Conference on Digital Signal Processing 	37	A2
EACL 	Conference of the European Chapter of the Association for Computational Linguistics 	37	A2
EWSN 	European conference on Wireless Sensor Networks 	37	A2
FOSSACS 	Foundations of Software Science and Computation Structures Conference 	37	A2
GPCE 	International Conference on Generative Programming and Component Engineering 	37	A2
ICCS 	International Conference on Computational Science 	37	A2
ISC 	Information Security Conference 	37	A2
NOMS 	IEEE/IFIP Network Operations and Management Symposium 	37	A2
CCC 	IEEE Conference on Computational Complexity 	36	B1
CEAS 	International Conference on Email and Anti-­‐Spam 	36	B1
DL 	International Workshop on Description Logics 	36	B1
FC 	Financial Cryptography 	36	B1
ICATPN 	International Conference on the Application and Theory of Petri Nets 	36	B1
IECON 	Annual Conference of the IEEE Industrial Electronics Society 	36	B1
IJCAR 	International Joint Conference on Automated Reasoning 	36	B1
WORM 	ACM Workshop on Recurring Malcode 	36	B1
CSCL 	International Conference on Computer-­‐Supported Collaborative Learning 	35	B1
EuroGP 	European Conference on Genetic Programming 	35	B1
FM 	International Symposium on Formal Methods 	35	B1
ICALT 	IEEE International Conference on Advanced Learning Technologies 	35	B1
ICLP 	International Conference on Logic Programming 	35	B1
ITiCSE 	Annual Conference on Integrating Technology into Computer Science Education 	35	B1
MASS 	IEEE International Conference on Mobile Ad-­‐hoc and Sensor Systems 	35	B1
MSWIM 	ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems 	35	B1
NordiCHI 	Nordic Conference on Human-­‐computer interaction 	35	B1
SEKE 	International Conference on Software Engineering and Knowledge Engineering 	35	B1
TPHOLs 	International Conference on Theorem Proving in Higher Order Logics 	35	B1
UMAP 	International Conference on User Modeling, Adaption and Personalization 	35	B1
WISE 	International Conference on Web Information Systems Engineering 	35	B1
WSDM 	International Conference on Web Search and Data Mining 	35	B1
CEC_A 	IEEE Congress on Evolutionary Computation 	34	A2
WCNC 	IEEE Wireless and Communications and Networking Conference 	34	A2
ACNS 	International Conference on Applied Cryptography and Network Security 	34	B1
CONEXT 	ACM International Conference on Emerging Networking Experiments and Technologies 	34	B1
CSB 	IEEE Computational Systems Bioinformatics Conference 	34	B1
DEXA 	International Conference on Database and Expert Systems Applications 	34	B1
ECCB 	European Conference on Computational Biology 	34	B1
EGSR 	Eurographics Symposium on Rendering 	34	B1
IAW 	Annual IEEE Information Assurance Workshop 	34	B1
ICCCN 	International Conference on Computer Communications and Networks 	34	B1
ICEC 	International Conference on Electronic Commerce 	34	B1
ISBI 	IEEE International Symposium on Biomedical Imaging: From Nano to Macro 	34	B1
ISQED 	IEEE International Symposium on Quality Electronic Design 	34	B1
K-­‐CAP 	Knowledge Capture 	34	B1
LCTES 	ACM SIGPLAN/SIGBED Conference on Languages, Compilers, Tools and Theory for Embedded Systems 	34	B1
MCS 	International Workshop on Multiple Classifier Systems 	34	B1
NetGames 	Workshop on Network and System Support for Games 	34	B1
TPDL 	International Conference on Theory and Practice of Digital Libraries 	34	B1
WABI 	Workshop on Algorithms in Bioinformatics 	34	B1
WebDB 	International Workshop on the Web and Databases 	34	B1
CPM 	Annual Symposium on Combinatorial Pattern Matching 	33	B1
CSL 	Annual Conference on Computer Science Logic 	33	B1
ECIS 	European Conference on Information Systems 	33	B1
EKAW 	International Conference on Knowledge Engineering and Knowledge Management 	33	B1
ESSCIRC 	European Solid-­‐State Circuits Conference 	33	B1
FMCAD 	Formal Methods in Computer Aided Design 	33	B1
FSTTCS 	IARCS Conference on Foundations of Software Technology and Theoretical Computer Science 	33	B1
GIS 	International Symposium on Advances in Geographic Information Systems 	33	B1
ICICS 	International Conference on Information and Communication Security 	33	B1
ISORC 	IEEE International Symposium on Object-­‐Oriented Real-­‐Time Distributed Computing 	33	B1
MFCS 	International Symposium on Mathematical Foundations of Computer Science 	33	B1
RTA 	International Conference on Rewriting Techniques and Applications 	33	B1
SCC 	IEEE International Conference on Services Computing 	33	B1
SPIRE 	Symposium on String Processing and Information Retrieval 	33	B1
SSTD 	International Symposium on Spatial and Temporal Databases 	33	B1
WACV 	IEEE Workshop on Applications of Computer Vision 	33	B1
WETICE 	IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises 	33	B1
ADC 	Australasian Database Conference 	32	B1
AMCIS 	Americas Conference on Information Systems 	32	B1
ASIACCS 	ASIAN ACM Symposium on Information, Computer and Communications Security 	32	B1
DocEng 	ACM Symposium on Document Engineering 	32	B1
ICMC 	International Computer Music Conference 	32	B1
IM 	IFIP/IEEE International Symposium on Integrated Network Management 	32	B1
ISIE 	IEEE International Symposium on Industrial Electronics 	32	B1
ISPASS 	IEEE International Symposium on Performance Analysis of Systems and Software 	32	B1
IV 	International Conference on Information Visualization 	32	B1
JSSPP 	Workshop on Job Scheduling Strategies for Parallel Processing 	32	B1
LPAR 	Logic Programming and Automated Reasoning 	32	B1
Mobiquitous 	International Conference on Mobile and Ubiquitous Systems: Networks and Services 	32	B1
MSR 	International Workshop on Mining Software Repositories 	32	B1
NIME 	New Interfaces for Music Expression 	32	B1
PPDP 	International ACM SIGPLAN Symposium on Principles and Practice of Declarative Programming 	32	B1
SAINT 	International Symposium on Applications and the Internet 	32	B1
SAT 	International Conference on Theory and Applications of Satisfiability Testing 	32	B1
VRST 	ACM Virtual Reality Software and Technology 	32	B1
WICSA 	Working IEEE/IFIP Conference on Software Architecture 	32	B1
WIDM 	ACM International Workshop on Web Information and Data Management 	32	B1
APPROX 	International Workshop on Approximation Algorithms for Combinatorial Optimization Problems 	31	B1
CCNC 	IEEE Consumer Communications and Networking Conference 	31	B1
CGI 	Computer Graphics International Conference 	31	B1
DOLAP 	International Workshop on Data Warehousing and OLAP 	31	B1
ISIT 	IEEE International Symposium on Information Theory 	31	B1
NCA 	IEEE International Symposium on Network Computing and Applications 	31	B1
Networking 	IFIP International Conference on Networking 	31	B1
SEAA 	Euromicro Conference on Software Engineering and Advanced Applications 	31	B1
USITS 	USENIX Symposium on Internet Technologies and Systems 	31	B1
VCIP 	SPIE International Conference on Visual Communications and Image Processing 	31	B1
Web3D 	International Conference on 3D Web Technology 	31	B1
ACE_A 	International Conference on Advances in Computer Entertainment Technology 	30	B1
Broadnets 	International Conference on Broadband Communications Networks and Systems 	30	B1
CASCON 	Annual International Conference on Computer Science and Software Engineering 	30	B1
CDC 	IEEE Conference on Decision and Control 	30	B1
DFT 	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems 	30	B1
EICS 	The ACM SIGCHI Symposium on Engineering Interactive Computing Systems 	30	B1
ICANN 	International Conference on Artificial Neural Networks 	30	B1
INDOCRYPT 	International Conference on Cryptology in India 	30	B1
INTERACT 	IFIP TC13 International Conference on Human-­‐Computer Interaction 	30	B1
IVA 	International Conference on Intelligent Virtual Agents 	30	B1
JELIA 	European Conference on Logics in Artificial Intelligence 	30	B1
LPNMR 	International Conference on Logic Programming and Non-­‐monotonic Reasoning 	30	B1
PADL 	International Symposium on Practical Aspects of Declarative Languages 	30	B1
PERCOL 	Workshop on Pervasive Collaboration and Social Networking 	30	B1
SECON 	IEEE Conference on Sensor Mesh and Ad Hoc Communications and Networks 	30	B1
WSCG 	International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision 	30	B1
3DIM 	International Conference on 3-­‐D Digital Imaging and Modeling 	29	B1
AIED 	International Conference on Artificial Intelligence in Education 	29	B1
ASAP 	IEEE International Conference on Application-­‐specific Systems: Architectures and Processors 	29	B1
CICLING 	Conference on Intelligent Text Processing and Computational Linguistics 	29	B1
COSIT 	Conference on Spatial Information Theory 	29	B1
DASFAA 	International Conference on Database Systems for Advanced Applications 	29	B1
DaWaK 	International Conference on Data Warehousing and Knowledge Discovery 	29	B1
ECBS 	Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems 	29	B1
FORTE 	IFIP WG 6.1 International Conference on Formal Methods for Networked and Distributed Systems 	29	B1
ISVLSI 	IEEE Computer Society Annual Symposium on VLSI 	29	B1
RecSys 	ACM Recommender Systems Conference 	29	B1
SOUPS 	Symposium On Usable Privacy and Security 	29	B1
WSNA 	ACM International Conference on Wireless Sensor Networks and Application 	29	B1
ANSS 	Annual Simulation Symposium 	28	B1
APLAS 	Asian Symposium on Programming Languages and Systems 	28	B1
CASE_A 	IEEE Conference on Automation Science and Engineering 	28	B1
COCOON 	International Computing and Combinatorics Conference 	28	B1
FMOODS 	International Conference on Formal Methods for Open Object-­‐Based Distributed Systems 	28	B1
GLSVLSI 	ACM Great Lakes Symposium on VLSI 	28	B1
HAPTICS 	International Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems 	28	B1
ICAD 	International Conference on Auditory Display 	28	B1
ICCS_A 	International Conference on Conceptual Structures 	28	B1
ICPADS 	International Conference on Parallel and Distributed Systems 	28	B1
ICWE 	International Conference on Web Engineering 	28	B1
IDEAS_A 	International Database Engineering and Applications Symposium 	28	B1
IMR 	International Meshing Roundtable Conference 	28	B1
ISSCC 	IEEE International Solid-­‐State Circuits Conference 	28	B1
NOCS 	International Symposium on Networks-­‐on-­‐Chip 	28	B1
SEC 	IFIP International Information Security Conference 	28	B1
SIBGRAPI 	Conference on Graphics, Patterns and Images 	28	B1
Softvis 	Software Visualization 	28	B1
Storage 	IEEE Symposium on Mass Storage Systems 	28	B1
ALENEX 	Workshop on Algorithm Engineering and Experiments 	27	B1
AMAST 	International Conference on Algebraic Methodology and Software Technology 	27	B1
ANTS 	International Symposium on Algorithmic Number Theory 	27	B1
ARES 	International Conference on Availability: Reliability and Security 	27	B1
BIBE 	IEEE International Symposium on Bioinformatics and Bioengineering 	27	B1
CEC 	IEEE Conference on Commerce and Enterprise Computing 	27	B1
CF 	ACM International Conference on Computing Frontiers 	27	B1
DSD 	EUROMICRO Conference on Digital System Design 	27	B1
ECAL 	European Conference on Artificial Life 	27	B1
ECC 	European Control Conference 	27	B1
ECOWS 	IEEE European Conference on Web Services 	27	B1
ECSCW 	European Conference on Computer Supported Cooperative Work 	27	B1
ECWeb 	International Conference on Electronic Commerce and Web Technology 	27	B1
ESANN 	European Symposium on Artificial Neural Networks 	27	B1
EuroMPI 	European MPI Users Group Conference 	27	B1
ICCSA 	International Conference on Computational Science and its Applications 	27	B1
ICDT 	International Conference on Database Theory 	27	B1
ICFEM 	International Conference on Formal Engineering Methods 	27	B1
ILP 	International Conference on Inductive Logic Programming 	27	B1
ISAAC 	International Symposium on Algorithms and Computation 	27	B1
ISI 	IEEE Intelligence and Security Informatics 	27	B1
KES 	International Conference on Knowledge-­‐Based and Intelligent Information and Engineering Systems 	27	B1
MEDINFO 	International Health Medical) Informatics Congress 	27	B1
PADS 	ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation 	27	B1
PDP 	Euromicro International Conference on Parallel Distributed and network-­‐based Processing 	27	B1
QEST 	International Conference on Quantitative Evaluation of Systems 	27	B1
TOOLS 	Technology of Object-­‐Oriented Languages and Systems Conferences 	27	B1
Agile 	Agile Development Conference 	26	B1
CBMS 	IEEE Symposium on Computer-­‐Based Medical Systems 	26	B1
EMBC 	International Conference of the IEEE Engineering in Medicine and Biology Society 	26	B1
ETFA 	IEEE International Conference on Emerging Technologies and Factory Automation 	26	B1
ICAIL 	International Conference on Artificial Intelligence and Law 	26	B1
ICVS 	International Conference on Computer Vision Systems 	26	B1
ICWSM 	AAAI International Conference on Weblogs and Social Media 	26	B1
IFSA 	International Fuzzy Systems Association World Congress 	26	B1
IH 	Information Hiding Workshop 	26	B1
IPCO 	Conference on Integer Programming and Combinatorial Optimization 	26	B1
LATIN 	Latin American Symposium on Theoretical Informatics 	26	B1
MWSCAS 	IEEE International Midwest Symposium on Circuits and Systems 	26	B1
OWLED 	OWLED Workshop on OWL: Experiences and Directions 	26	B1
RTCOMP 	International Conference on Real-­‐Time Computing Systems and Applications 	26	B1
RTCSA 	International Conference on Real-­‐Time and Embedded Computing Systems and Applications 	26	B1
SEA 	Symposium on Experimental Algorithms 	26	B1
SEFM 	IEEE International Conference on Software Engineering and Formal Methods 	26	B1
SWAT 	Scandinavian Symposium and Workshops on Algorithm Theory 	26	B1
W4A 	International Cross-­‐Disciplinary Conference on Web Accessibility 	26	B1
WEIS 	Workshop on the Economics of Information Security 	26	B1
WorldHAPTICS 	Joint EUROHAPTICS Conference and Symposium on Haptics Interfaces for Virtual Environment and Teleoperator Systems 	26	B1
ANCS 	Symposium On Architecture For Networking And Communications Systems 	25	B1
CBSE 	International Symposium Component-­‐Based Software Engineering 	25	B1
CHARME 	Conference on Correct Hardware Design and Verification Methods 	25	B1
CRIWG 	International Workshop on Groupware 	25	B1
