,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
17,18,conf/mdm,"['Data science', 'Knowledge management']",0.388888888889,0.269230769231,18,journals/kais,"['Data mining', 'Data science']",0.666666666667,0.461538461538,18,conf/recsys,"['Data mining', 'Machine learning']",0.777777777778,0.538461538462
18,19,journals/mms,"['Data science', 'Multimedia']",0.368421052632,0.269230769231,19,journals/jmlr,['Machine learning'],0.631578947368,0.461538461538,19,conf/icde,"['Data mining', 'Database']",0.789473684211,0.576923076923
19,20,conf/asunam,"['Data mining', 'Data science', 'World Wide Web']",0.4,0.307692307692,20,journals/pvldb,"['Data mining', 'Database']",0.65,0.5,20,journals/pvldb,"['Data mining', 'Database']",0.8,0.615384615385
20,21,journals/sigkdd,"['Data mining', 'Data science', 'Machine learning']",0.428571428571,0.346153846154,21,conf/wsdm,"['Data mining', 'Data science', 'World Wide Web']",0.666666666667,0.538461538462,21,conf/ilp,['Artificial intelligence'],0.761904761905,0.615384615385
21,22,journals/sadm,"['Data mining', 'Data science']",0.454545454545,0.384615384615,22,journals/ml,['Machine learning'],0.636363636364,0.538461538462,22,journals/ml,['Machine learning'],0.727272727273,0.615384615385
22,23,conf/ssdbm,"['Database', 'Knowledge management']",0.434782608696,0.384615384615,23,conf/edbt,"['Data mining', 'Database', 'Knowledge management']",0.652173913043,0.576923076923,23,conf/sigmod,"['Data mining', 'Database', 'Knowledge management']",0.739130434783,0.653846153846
23,24,conf/dasfaa,['Database'],0.416666666667,0.384615384615,24,conf/ictai,['Artificial intelligence'],0.625,0.576923076923,24,conf/dis,"['Data mining', 'Data science']",0.75,0.692307692308
24,25,conf/ictai,['Artificial intelligence'],0.4,0.384615384615,25,journals/tkdd,"['Data mining', 'Data science']",0.64,0.615384615385,25,conf/asunam,"['Data mining', 'Data science', 'World Wide Web']",0.76,0.730769230769
25,26,conf/dawak,"['Data mining', 'Database']",0.423076923077,0.423076923077,26,conf/dasfaa,['Database'],0.615384615385,0.615384615385,26,conf/vldb,"['Data mining', 'Database']",0.769230769231,0.769230769231
26,27,journals/ida,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.444444444444,0.461538461538,27,journals/vldb,"['Data mining', 'Database']",0.62962962963,0.653846153846,27,conf/www,"['Data science', 'World Wide Web']",0.740740740741,0.769230769231
27,28,conf/dis,"['Data mining', 'Data science']",0.464285714286,0.5,28,conf/ssdbm,"['Database', 'Knowledge management']",0.607142857143,0.653846153846,28,conf/edbt,"['Data mining', 'Database', 'Knowledge management']",0.75,0.807692307692
28,29,conf/waim,"['Data mining', 'Information retrieval', 'Knowledge management']",0.48275862069,0.538461538462,29,conf/asunam,"['Data mining', 'Data science', 'World Wide Web']",0.620689655172,0.692307692308,29,conf/ssdbm,"['Database', 'Knowledge management']",0.724137931034,0.807692307692
29,30,conf/ilp,['Artificial intelligence'],0.466666666667,0.538461538462,30,conf/uai,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.633333333333,0.730769230769,30,conf/aistats,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.733333333333,0.846153846154
30,31,conf/kdd,"['Data mining', 'Data science', 'Machine learning']",0.483870967742,0.576923076923,31,conf/recsys,"['Data mining', 'Machine learning']",0.645161290323,0.769230769231,31,conf/icwsm,"['Data science', 'World Wide Web']",0.709677419355,0.846153846154
31,32,conf/icdm,"['Data mining', 'Machine learning']",0.5,0.615384615385,32,conf/dis,"['Data mining', 'Data science']",0.65625,0.807692307692,32,journals/jmlr,['Machine learning'],0.6875,0.846153846154
32,33,conf/cikm,"['Information retrieval', 'Knowledge management']",0.484848484848,0.615384615385,33,journals/debu,"['Database', 'Knowledge management']",0.636363636364,0.807692307692,33,conf/dawak,"['Data mining', 'Database']",0.69696969697,0.884615384615
33,34,journals/tkde,"['Data mining', 'Data science', 'Database']",0.5,0.653846153846,34,conf/pods,"['Database', 'Knowledge management']",0.617647058824,0.807692307692,34,conf/sigir,['Information retrieval'],0.676470588235,0.884615384615
34,35,conf/pkdd,"['Data mining', 'Data science', 'Machine learning']",0.514285714286,0.692307692308,35,conf/icwsm,"['Data science', 'World Wide Web']",0.6,0.807692307692,35,journals/tois,['Data science'],0.657142857143,0.884615384615
35,36,conf/pakdd,"['Data mining', 'Machine learning']",0.527777777778,0.730769230769,36,conf/gis,"['Data science', 'Database']",0.583333333333,0.807692307692,36,journals/ida,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.666666666667,0.923076923077
36,37,journals/datamine,"['Data mining', 'Data science']",0.540540540541,0.769230769231,37,conf/emnlp,['Natural language processing'],0.567567567568,0.807692307692,37,journals/jiis,"['Artificial intelligence', 'Knowledge management']",0.648648648649,0.923076923077
37,38,journals/kais,"['Data mining', 'Data science']",0.552631578947,0.807692307692,38,journals/tist,['Artificial intelligence'],0.552631578947,0.807692307692,38,conf/pods,"['Database', 'Knowledge management']",0.631578947368,0.923076923077
38,39,journals/jmlr,['Machine learning'],0.538461538462,0.807692307692,39,conf/ilp,['Artificial intelligence'],0.538461538462,0.807692307692,39,conf/dasfaa,['Database'],0.615384615385,0.923076923077
39,40,journals/pvldb,"['Data mining', 'Database']",0.55,0.846153846154,40,conf/waim,"['Data mining', 'Information retrieval', 'Knowledge management']",0.55,0.846153846154,40,conf/nips,['Machine learning'],0.6,0.923076923077
40,41,journals/tkdd,"['Data mining', 'Data science']",0.560975609756,0.884615384615,41,conf/ssd,['Database'],0.536585365854,0.846153846154,41,journals/debu,"['Database', 'Knowledge management']",0.585365853659,0.923076923077
41,42,journals/vldb,"['Data mining', 'Database']",0.571428571429,0.923076923077,42,journals/sadm,"['Data mining', 'Data science']",0.547619047619,0.884615384615,42,journals/mms,"['Data science', 'Multimedia']",0.571428571429,0.923076923077
42,43,conf/recsys,"['Data mining', 'Machine learning']",0.581395348837,0.961538461538,43,journals/ida,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.558139534884,0.923076923077,43,journals/tods,['Database'],0.558139534884,0.923076923077
43,44,journals/debu,"['Database', 'Knowledge management']",0.568181818182,0.961538461538,44,conf/aistats,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.568181818182,0.961538461538,44,conf/aaai,"['Artificial intelligence', 'Machine learning']",0.545454545455,0.923076923077
44,45,journals/tist,['Artificial intelligence'],0.555555555556,0.961538461538,45,journals/tods,['Database'],0.555555555556,0.961538461538,45,conf/mdm,"['Data science', 'Knowledge management']",0.533333333333,0.923076923077
45,46,conf/ssd,['Database'],0.54347826087,0.961538461538,46,conf/dawak,"['Data mining', 'Database']",0.565217391304,1.0,46,conf/emnlp,['Natural language processing'],0.521739130435,0.923076923077
46,47,conf/aistats,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.553191489362,1.0,47,conf/mdm,"['Data science', 'Knowledge management']",0.553191489362,1.0,47,conf/gis,"['Data science', 'Database']",0.510638297872,0.923076923077
47,48,journals/tods,['Database'],0.541666666667,1.0,48,journals/jiis,"['Artificial intelligence', 'Knowledge management']",0.541666666667,1.0,48,conf/waim,"['Data mining', 'Information retrieval', 'Knowledge management']",0.520833333333,0.961538461538
48,49,journals/jiis,"['Artificial intelligence', 'Knowledge management']",0.530612244898,1.0,49,journals/mms,"['Data science', 'Multimedia']",0.530612244898,1.0,49,conf/uai,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.530612244898,1.0
49,50,journals/tois,['Data science'],0.52,1.0,50,journals/tois,['Data science'],0.52,1.0,50,conf/ictai,['Artificial intelligence'],0.52,1.0
