,Name,Information retrieval pscore,Information retrieval year,Information retrieval year combined
49,University of Virginia,42628.7583333,1581.42332746,17832442.4453
50,University of South Florida,25826.2357143,0.0,0.0
51,University of Arizona,41725.4781955,176.927817232,1371612.34254
52,Virginia Polytechnic Institute and State University,19835.1,443.256028642,3453338.72363
53,University of Chicago,32243.1547541,392.12848291,7906486.60092
54,Washington University In St. Louis,2579.82575758,0.0,0.0
55,Georgia State University,14737.2583333,0.0,0.0
56,North Carolina State University,59462.6229798,33.084935978,145173.430198
57,University of Tennessee,49777.3464286,574.745313972,12414446.2294
58,Johns Hopkins University,37027.8772894,70.559526203,393512.325243
59,Vanderbilt University,25019.2320513,0.0,0.0
60,Florida Institute of Technology,11433.75,4.07493028624,2261.58630886
61,University of Colorado at Boulder,18279.7333333,70.2234415293,223335.851994
62,Lehigh University,66614.1666667,5465.8408843,266404411.555
63,University of Central Florida,62304.5138889,114.244560867,641154.76787
64,University of Kentucky,38546.9833333,31.8558973045,520111.235291
65,Florida State University,24132.9,197.616267046,1435484.56382
66,Oklahoma State University Main Campus,5256.91666667,0.0,0.0
67,Washington State University,30997.1871795,0.0,0.0
68,Iowa State University,30510.702381,27.2550920711,59685.3532768
69,Northwestern University,134047.908333,1175.11451246,16313671.2868
70,Dartmouth College,23639.6333333,42.919047619,141976.209524
71,Boston University,24577.5690476,96.0066296042,447321.246507
72,University of Georgia,21175.4416667,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,1251.75,0.0,0.0
74,University of Maryland Baltimore County,27049.0320513,818.749800841,12761853.1457
75,California Institute of Technology,29273.0109649,554.676110484,4431490.56921
76,University of Delaware,81859.9111111,13895.9895093,900132950.807
77,University of Texas at Dallas,112454.453297,985.371971963,18124585.9595
78,University of Cincinnati Main Campus,11803.1666667,0.0,0.0
79,Kent State University Main Campus,14079.2083333,0.0,0.0
80,Oregon State University,54078.5668998,61.8435975871,153693.448968
81,University of Iowa,41340.3694444,2802.49673016,85476382.4533
82,Rensselaer Polytechnic Institute,77404.1535104,98.2825223336,1103131.55218
83,University of Florida,58495.0833333,194.132834287,1325898.14479
84,Northeastern University,124917.796162,9257.86005843,591626899.567
85,Illinois Institute of Technology,33640.1972222,804.590229624,13250930.7526
86,Auburn University,7550.33333333,0.0,0.0
87,Wayne State University,32847.2083333,72.7796610169,345485.050847
88,University of Oregon,29197.1428571,0.0,0.0
89,Wright State University Main Campus,40035.8583333,135.905445511,1082113.80683
90,University of Illinois at Chicago,204594.780519,2702.26584183,208302067.103
91,Brandeis University,19978.4642857,13.8292705183,68648.498853
92,North Dakota State University Main Campus,20717.3333333,65.2785190589,571513.434361
93,City University of New York Grad. Center,1131.5,0.0,0.0
94,State University of New York at Binghamton,4835.75,22.6758530184,83628.5459318
95,University of North Carolina at Charlotte,41896.7844322,170.109893958,2266104.01637
96,Case Western Reserve University,42843.4297619,30.9543372633,185665.987699
97,University of New Mexico Main Campus,5492.91666667,0.0,0.0
98,Syracuse University Main Campus,28211.6833333,0.0,0.0
99,New Mexico State University Main Campus,416.5,0.0,0.0
100,New Jersey Institute of Technology,173.5,0.0,0.0
101,University of South Carolina Columbia,34512.1555556,527.388208996,7370327.2997
102,College of William and Mary,11029.4285714,0.0,0.0
103,Florida International University,97293.15,935.850071471,77571863.3886
104,George Washington University,23884.7666667,36.1293201413,241381.579544
105,Old Dominion University,48598.7,602.337726275,12772270.7397
106,Texas Tech University,10413.0083333,0.0,0.0
107,University of Kansas,59528.2638889,572.77678002,8100448.50895
108,University of Arkansas Main Campus,17694.7666667,309.496229016,4720468.9253
109,University of Alabama,9257.95,6.64866002634,3071.68093217
110,Mississippi State University,10511.9666667,0.0,0.0
111,University of Houston,42854.4166667,13.0287653413,34395.940501
112,University of North Texas,18937.8666667,0.0,0.0
113,Clemson University,11977.7277778,0.0,0.0
114,State University of New York at Albany,30274.722619,808.09655119,15740104.6241
115,Brigham Young University,27917.9583333,100.671832693,1107692.17512
116,Kansas State University,8405.5,0.0,0.0
117,University of Alabama In Huntsville,3745.65,0.0,0.0
118,University of Memphis,9176.35,21.6809656557,92767.3288504
119,Temple University,28167.2333333,0.0,0.0
120,University of Louisiana at Lafayette,42388.2,903.981986879,30506419.1854
121,University of Alabama at Birmingham,13517.3333333,0.0,0.0
122,Oregon Health and Science University,16873.8333333,81.0739613865,618531.00186
123,Western Michigan University,2530.0,0.0,0.0
124,Southern Methodist University,7780.0,0.0,0.0
125,University of Southern Mississippi,7000.41666667,0.0,0.0
126,Universidade de Brasília,3516.66666667,5.98527330639,3081.35078921
127,Universidade Federal de Uberlândia,4453.25,0.0,0.0
128,USP - São Carlos,35353.3940476,7.69118335058,14423.2016117
129,Universidade de São Paulo,8492.96666667,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,1904.5,0.0,0.0
131,Universidade de Fortaleza,4808.6875,0.0,0.0
132,Universidade Federal de Campina Grande,6062.41666667,0.0,0.0
133,Universidade Federal da Bahia,1134.86369048,0.0,0.0
134,Universidade Federal do Amazonas,30488.9166667,2497.66293876,65127349.0303
135,Universidade Federal de Minas Gerais,101992.616667,4108.30018863,149572081.263
136,Universidade Federal do Espírito Santo,4927.5,0.0,0.0
137,Universidade Federal de Pernambuco,22284.1291667,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,827.333333333,2.79924242424,982.534090909
139,Universidade Federal de São Carlos,9122.86369048,9.1797560511,21287.8542825
140,Universidade Federal de Santa Catarina,4289.58333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4000.96666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,14470.4595238,29.8933333333,23944.56
143,Pontifícia Universidade Católica do Rio Grande do Sul,8409.75,13.0183823529,23433.0882353
144,Pontifícia Universidade Católica do Rio de Janeiro,25416.1458333,87.9434720828,273011.669431
145,Pontifícia Universidade Católica do Paraná,5080.16666667,0.0,0.0
146,Universidade Estadual de Campinas,26724.2041667,38.0280607375,206337.41212
147,Universidade Federal do Ceará,6359.33333333,29.0159530651,99466.6871072
148,Universidade Federal do Rio Grande do Sul,26383.2083333,49.9255952381,202148.735119
149,Universidade Federal do Paraná,6605.16666667,0.0,0.0
150,Universidade Federal Fluminense,8658.93333333,2.4214397666,2247.0961034
151,Imperial College London,67351.6446581,187.440537449,1120751.72567
152,University of Oxford,101306.083333,332.031454888,2904146.4903
153,University of Cambridge,40320.7333333,127.355177005,712239.478332
154,ETH Zurich,102119.409913,603.894073256,8085415.50333
155,École Polytechnique ParisTech,8981.78333333,3.328068082,1840.42164935
156,University of Texas at Arlington,93164.5690476,625.430409182,19560671.3585
157,Ecole Normale Superieure,22205.95,0.0,0.0
158,IIIT Bangalore,8179.83333333,15.8473768845,41789.5328444
159,Nanyang Technological University,203510.5,5250.084978,265922738.857
160,University of Waterloo,259745.960623,30234.285344,2444146579.09
161,Western University,22177.7333333,7.02181685071,7153.68392322
162,University of Nebraska,22163.4424242,24.241252911,220655.139971
163,Victoria University of Wellington,18146.25,0.0,0.0
164,University of Queensland,76615.7,550.541031191,10018855.802
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,2966.5,0.0,0.0
167,University of Pittsburgh,45980.8722222,126.887343089,1394422.71118
168,University of Michigan,156539.636086,1298.73585138,29260209.3291
169,IIT Madras,31457.85,555.117868925,3819402.59156
170,City University of New York,,,
171,University of British Columbia,65167.1203081,100.820791177,1372484.16157
172,Queen’s University,31017.8595238,16.9886739043,79894.9279443
173,Virginia Commonwealth University,7783.5,0.0,0.0
174,Polytechnic University of Catalonia,16834.9833333,0.0,0.0
175,Emory University,78959.4666667,10868.0108361,737561250.122
176,Ecole Normale Superieure de Cachan,13760.8055764,9.42231108877,105134.147129
177,Georgetown University,104139.266667,7040.71401915,393899793.156
178,Binghamton University,34897.8833333,295.509866089,5076551.59408
179,University of Otago,29411.7,4063.97619065,113727827.225
180,VU Amsterdam,228677.166667,26201.1678326,4940910091.07
181,McMaster University,8696.95,0.0,0.0
182,Monash University,70878.85,3436.4332481,66477344.8014
183,Tel Aviv University,41371.1404762,13.2509883659,42787.4414336
184,Boise State University,7751.93333333,42.5419770673,285243.956237
185,Drexel University,18270.5201715,0.0,0.0
186,Boston College,7894.25,8.60358051088,15856.3988815
187,University of Bristol,17784.0666667,30.1763333934,41703.6927496
188,University of Kent,8101.34871795,0.0,0.0
189,Politecnico di Milano,76037.7888182,119.902095652,809513.959969
190,Australian National University,88228.125,305.596935917,1239297.34541
191,Toyota Technological Institute at Chicago,9619.71666667,0.0,0.0
192,Technion-Israel Institute of Technology,86761.2285714,190.264658467,1242256.74645
193,TU Delft,117219.825,6293.20895478,194386404.069
194,University of Minnesota,119355.389286,382.646202313,5117489.41079
195,New Mexico State University,11740.5833333,0.0,0.0
196,Pennsylvania State University,157001.731602,1690.4192645,117409403.488
197,TU Dresden,36885.75,0.0,0.0
198,University of Salerno,25066.0166667,0.0,0.0
199,Washington University in St. Louis,24552.1833333,0.0,0.0
200,McGill University,31108.0999084,29.7136944042,56841.115016
201,Naval Postgraduate School,16427.6666667,31.2553872763,144212.356893
202,University of Edinburgh,115529.290079,396.684551674,3637366.15035
203,RWTH Aachen,61803.8166667,27.2560012534,450789.05973
204,University of Bath,10497.7666667,35.0111830205,96700.8875025
205,IIT Kharagpur,32613.9166667,281.700022487,2575917.62158
206,University of Melbourne,228754.666667,17483.5205737,1222790640.77
207,IMDEA Software Institute,1679.23205128,0.0,0.0
208,University of Sydney,44337.8833333,236.66427972,1947818.85668
209,University of North Carolina,27058.0990196,10.5176856297,14385.6264353
210,IIIT Delhi,8256.875,0.0,0.0
211,University of Nevada,4652.76666667,0.0,0.0
212,Concordia University,33858.4,180.085978801,1371692.70378
213,IISc Bangalore,28354.45,278.209673277,1957948.76165
214,Rochester Institute of Technology,20870.3928571,140.033198464,606763.848943
215,DIKU,30811.8166667,3531.32854429,59177532.0594
216,Chulalongkorn Uniersity,52.0,0.0,0.0
217,Worcester Polytechnic Institute,64158.0388889,139.259488359,1022789.13845
218,IST Austria,7789.73935574,0.0,0.0
219,University College London,158569.383333,10215.6679467,455388718.743
220,Columbia University,139251.141667,571.757078592,10673517.3159
221,Massey University,5575.02447552,0.0,0.0
222,University of Miami,14723.9166667,144.637012307,2957248.35363
223,IIT Roorkee,3468.91666667,0.0,0.0
224,University of Tartu,10586.25,0.0,0.0
225,University of Victoria,20069.8153846,27.5573011444,133047.694134
226,Carleton University,29436.85,5.445625476,43935.3063403
227,Athens University of Economics and Business,52703.4333333,748.756060528,7932559.18258
228,Texas A&M University,100894.106203,1910.68414311,52902107.7642
229,EPFL,91817.6826331,214.943536343,6991898.2937
230,Bar-Ilan University,86706.7083333,1815.27053335,34647563.3538
231,University of Maryland-College Park,120412.956297,166.500883532,2442886.97847
232,IIT Kanpur,15213.7166667,6.60593601596,5231.90132464
233,University of Adelaide,35302.4166667,119.352564531,1755805.72942
234,University of Warsaw,18237.1666667,82.9113723713,167855.539472
235,Stony Brook University,64492.6333333,817.816428393,7254498.27953
236,University of Notre Dame,43153.4833333,240.441823085,2492120.23977
237,University of Western Australia,9544.25,0.0,0.0
238,IIT Hyderabad,3121.61666667,0.0,0.0
239,IIT Bombay,60550.5659664,722.91529998,10313388.9941
240,IIIT Hyderabad,58484.75,1925.69724167,55783597.6968
241,University of Maryland-Baltimore County,52205.1108003,30.1576878935,405829.641614
242,University of New South Wales,,,
243,University of Alberta,130961.040385,332.294250647,3386797.26281
244,Aarhus University,23416.15,0.0,0.0
245,University of Zurich,20295.902381,0.0,0.0
246,Max Planck Institute,111381.1894,1923.57833127,151840729.04
247,TU Darmstadt,42308.05,82.5615219138,1133239.44979
248,University of Athens,52295.5477333,152.501726981,1844693.16383
249,Stevens Institute of Technology,9480.65416667,0.0,0.0
250,University of Calgary,33065.7916667,0.0,0.0
251,University of Massachusetts Lowell,15560.2666667,0.0,0.0
252,Rutgers University,62538.529902,260.711650246,2236416.85364
253,Ecole Normale Superieure de Lyon,15752.6333333,0.0,0.0
254,Colorado State University,11278.9833333,0.0,0.0
255,IIT Delhi,22545.1833333,335.274658406,2489881.04773
256,BITS Pilani,4086.0,0.0,0.0
257,University of Auckland,24024.1666667,37.7440886606,158226.390165
258,National University of Singapore,324187.165966,5331.92869388,310931357.273
259,University of Canterbury,9791.16666667,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,108423.958333,7798.21256145,651326352.311
262,George Mason University,52897.5166667,51.3068842875,221294.819213
263,University of Luxembourg,15365.6666667,0.0,0.0
264,Hebrew University of Jerusalem,68983.3805556,237.013796241,1868133.47191
265,Simon Fraser University,120201.792424,940.653160895,25125540.309
266,Indiana University,51103.0944444,66.3520780261,282767.731271
267,University of Toronto,107236.641142,152.846735902,2170831.27413
268,University at Buffalo,83854.9237179,706.282254697,13165175.2311
269,TU Munich,56394.5833333,91.396895659,1133180.39128
270,University of Waikato,40961.9166667,98.3220029237,1386495.75646
