,Akey,APsize,Information retrieval,Information retrievalyear score,Information retrievalyear combined
1464,Chris H. Q. Ding,207,40543.0,0.0171530592757,695.436482215
19285,David A. Smith,60,17372.0,0.0382278921781,664.094942918
20016,Eytan Adar,57,11126.0,0.0582169789525,647.722107826
42247,Joyce Y. Chai,34,12780.0,0.0499165239224,637.933175729
16310,Donald H. Kraft,67,29170.0,0.0215830517828,629.577620503
1298,Wei Gao,215,22301.0,0.0277289846385,618.384086423
30414,Xia Hu,43,13172.0,0.0462124869925,608.710878666
771,Wang-Chien Lee,257,48123.0,0.0123373920154,593.712315959
7913,John D. Lafferty,89,20163.0,0.0293758821998,592.305912794
146348,Stephen F. Weiss,12,8496.0,0.0662720037059,563.046943486
42594,Chengxiang Zhai,34,8226.0,0.0684175013002,562.802365695
35268,Jeff Huang,40,9095.0,0.0608780151627,553.685547905
24653,Ganesh Ramakrishnan,52,13525.0,0.0407786905875,551.531790196
8944,Hwee Tou Ng,91,20506.0,0.0267524372064,548.585477355
153,Hector Garcia-Molina,432,41646.0,0.0130977373231,545.468368557
591,Jian Pei,284,41833.0,0.0126980675051,531.198257942
2508,Jing He,170,21560.0,0.0241937600106,521.617465829
26985,Caroline M. Eastman,49,14669.0,0.0344742957378,505.703444178
12778,Xin Fu,78,14283.0,0.0341737291342,488.103373223
48602,Sutanu Chakraborti,31,7819.0,0.0619353090287,484.272181295
947,Alexander G. Hauptmann,238,36731.0,0.0131195562219,481.894419586
3713,Alan Hanjalic,141,20152.0,0.0238670614584,480.96902251
3782,Jussara M. Almeida,135,14119.0,0.0327745800971,462.744296391
2171,Alberto H. F. Laender,180,25257.0,0.0183149080661,462.579633025
1796,Bing Liu 0001,192,38982.0,0.0117974716956,459.889041639
46850,Yanjun Qi,31,7279.0,0.0620571459214,451.713965162
5,Philip S. Yu,860,108303.0,0.00415519281254,450.019847177
118,Christos Faloutsos,467,61736.0,0.00715594431728,441.779378372
412,Huan Liu,320,31330.0,0.0136783474638,428.542626042
13370,Shimon Whiteson,71,7123.0,0.0584325678081,416.215180497
11717,Mor Naaman,81,13736.0,0.0298919391874,410.595676678
1154,Wagner Meira Jr.,223,22936.0,0.0176993112321,405.951402419
22076,William B. Frakes,56,8200.0,0.0493322470554,404.524425855
11088,Thomas Hofmann,81,17416.0,0.0223813323784,389.793284703
39788,Maya Ramanath,35,10991.0,0.0347874372359,382.348722659
3499,Kathleen McKeown,141,25397.0,0.0147770163976,375.291885451
29366,Ce Zhang,39,7777.0,0.0458175319277,356.322945802
8991,Wee Sun Lee,91,16753.0,0.0210564969909,352.759494089
4976,Martin Ester,123,18660.0,0.0182780969381,341.069288864
19062,Susan Gauch,61,15294.0,0.0222857877543,340.838837914
2827,Andrew McCallum,140,22860.0,0.0145754627624,333.195078749
9505,Rahul Shah,89,6888.0,0.0481316450441,331.530771064
2965,Dan I. Moldovan,159,19640.0,0.0167528353261,329.025685805
33459,Gerard de Melo,41,9347.0,0.0349258475423,326.451896978
5008,Filippo Menczer,89,14526.0,0.0209806929911,304.765546389
2921,Michalis Vazirgiannis,156,18860.0,0.0160256410256,302.243589744
15869,Yizhou Sun,65,11586.0,0.0260390163879,301.688043871
111711,Theodore Kalamboukis,15,7332.0,0.0410996581633,301.342693653
29340,Karin Verspoor,45,6968.0,0.0420619835714,293.087901526
49,Jun Wang,571,27149.0,0.0107697943156,292.389145875
1137,Eduard H. Hovy,219,24982.0,0.0116531838985,291.119840151
34807,Anthony Wirth,39,5741.0,0.048533057967,278.628285789
21142,Garrison W. Cottrell,55,10963.0,0.0249213245506,273.212481049
3322,Wynne Hsu,152,22812.0,0.0119574300349,272.772893957
4201,Weiyi Meng,134,28413.0,0.00957378872735,272.02005911
80976,Chee-Yong Chan,19,5344.0,0.0507506887845,271.211680864
543,Chang Liu,290,19531.0,0.0138147658945,269.816192685
4701,Marcel J. T. Reinders,128,11986.0,0.0224381936716,268.944189348
3209,Mitsunori Ogihara,153,20446.0,0.0130079978692,265.961524433
28523,Anton Leuski,46,11873.0,0.0222664049487,264.369025956
7640,Luis Gravano,102,14333.0,0.0180492834537,258.700379743
34065,Partha Pratim Talukdar,38,6868.0,0.0376493831072,258.57596318
8915,Bonnie L. Webber,88,11754.0,0.0219865130291,258.429474144
25868,Xiangnan Kong,39,7960.0,0.032355371978,257.548760945
2385,Mong-Li Lee,173,24402.0,0.0105059500885,256.366194059
18770,James R. Curran,61,10822.0,0.0229823845426,248.71536552
4527,Heng Tao Shen,124,16365.0,0.0151405106721,247.774457149
168541,Ramesh S. Sankaranarayana,11,2966.0,0.0822364984931,243.913454531
12862,Zi Huang,78,10129.0,0.0240695297864,243.800267207
9012,Wray L. Buntine,84,12295.0,0.0197906618382,243.3261873
450,Xiaofang Zhou,312,30321.0,0.00798259780803,242.040348137
65089,Peixiang Zhao,23,7264.0,0.0323069562758,234.677730387
278,Karl Aberer,362,32529.0,0.00720020555599,234.215486531
7820,Soumen Chakrabarti,97,19104.0,0.0121416613997,231.95429938
9700,Kevin Chen-Chuan Chang,89,14471.0,0.015882573247,229.836717458
1200,Eric P. Xing,191,15430.0,0.0144599974196,223.117760184
49003,Tim Weninger,30,7177.0,0.0295617602412,212.164753251
14934,Zhongfei Zhang,69,9072.0,0.0225102210926,204.212725752
57690,Lee A. Hollaar,27,6943.0,0.028942737283,200.949424956
16639,Moshe Koppel,63,9906.0,0.0202853591251,200.946767493
19384,Mihai Surdeanu,59,8768.0,0.0221437487667,194.156389186
1975,Lise Getoor,168,15458.0,0.0125413872146,193.864763564
46508,Manuel Gomez-Rodriguez,20,3395.0,0.0565464876786,191.975325669
3477,Anwitaman Datta,124,12318.0,0.0155207122025,191.18413291
21109,Leila Kosseim,57,8081.0,0.0235211120861,190.074106768
6455,Niloy Ganguly,104,12792.0,0.0143488737473,183.550792975
6292,Joseph A. Konstan,113,11895.0,0.0153731107322,182.863152159
28587,Keke Chen,45,8326.0,0.0217099473159,180.757021352
6519,Hanghang Tong,101,16789.0,0.0105109535806,176.468399665
13957,Lada A. Adamic,61,5270.0,0.0327868852459,172.786885246
54048,Jiannan Wang,24,5418.0,0.0318337454753,172.475232985
3109,Ely Porat,126,4146.0,0.0414420528023,171.818750918
1724,Michael L. Nelson,144,20103.0,0.00852022654126,171.282114159
1850,Amihood Amir,184,5774.0,0.0292973828202,169.163088404
8365,Fernando C. N. Pereira,83,11573.0,0.0142918617618,165.39971617
81840,João M. B. Cavalcanti,20,4175.0,0.0394532413159,164.717282494
10986,Vagelis Hristidis,84,19033.0,0.00856834981418,163.081402013
14845,Chiranjib Bhattacharyya,65,7198.0,0.0222839864443,160.400134426
13751,Jennifer Neville,63,10083.0,0.015873015873,160.047619048
15994,Julie A. McCann,68,5711.0,0.0272538776063,155.64689501
11548,Christopher Ré,63,6759.0,0.0227091517155,153.491156445
28742,Roxana Girju,46,7003.0,0.0215308920325,150.780836904
12619,Thore Graepel,75,8875.0,0.0169832078082,150.725969298
11008,Yiu-Kai Ng,84,11003.0,0.0133809839427,147.230966321
1083,Jaideep Srivastava,228,20456.0,0.00715320067356,146.325872978
34424,Richard Zanibbi,38,4333.0,0.0332068291353,143.885190643
2849,Nick Koudas,160,19198.0,0.00743462825276,142.729993196
20117,Vijay Raghavan,59,5621.0,0.0250832129767,140.992740142
6424,Mario A. Nascimento,108,11262.0,0.0124667686542,140.400748584
2782,Yufei Tao,157,14200.0,0.00981402836175,139.359202737
10584,Licia Capra,84,6807.0,0.0199604459657,135.870755689
13875,Jacco van Ossenbruggen,74,6861.0,0.0197873390122,135.760932963
3571,John Riedl,147,12795.0,0.0105195670477,134.597860375
7842,Claire Cardie,93,11039.0,0.0118034073129,130.297813327
2853,Quan Z. Sheng,161,16420.0,0.00783763669033,128.693994455
305,Kian-Lee Tan,351,35745.0,0.00357073479551,127.635915265
89629,Sayan Ranu,17,2168.0,0.0588235294118,127.529411765
1372,David R. Karger,199,19489.0,0.00653578798574,127.375972054
1212,Jon M. Kleinberg,201,15425.0,0.00821103453963,126.655207774
15175,Stephen Clark,63,6741.0,0.0184732927466,124.528466405
2973,Jianping Fan,159,17788.0,0.00694437634941,123.526566503
5120,Manolis Koubarakis,122,11048.0,0.0111726434893,123.43536527
52206,Yaron Singer,25,2130.0,0.0572270623229,121.893642748
1795,Andrew Y. Ng,178,20466.0,0.00587091489398,120.15414422
19988,Ion Androutsopoulos,40,4208.0,0.0284557457682,119.741778192
644,Jeffrey Scott Vitter,276,13379.0,0.00887819954924,118.781431769
11521,Xiaokui Xiao,70,8162.0,0.0142857142857,116.6
23681,Sudeshna Sarkar,53,7005.0,0.0166213161051,116.432319316
10454,Ying He 0001,84,7658.0,0.015163162077,116.119495186
92195,Julian J. McAuley,12,2175.0,0.0525774794643,114.356017835
6325,Thomas Neumann 0001,110,13421.0,0.00847236135669,113.707561768
26629,David L. Waltz,49,8767.0,0.0128850504977,112.963237714
43233,Cristian Danescu-Niculescu-Mizil,19,4279.0,0.0263157894737,112.605263158
4328,Tom M. Mitchell,132,13747.0,0.00815112554166,112.053522821
9669,Daniel Marcu,80,11581.0,0.00948025033019,109.790779074
9952,Milos Hauskrecht,74,12049.0,0.00907664951208,109.364549971
5771,Hao Huang,115,9052.0,0.0120595896281,109.163405314
12924,Haym Hirsh,75,10465.0,0.0103826699248,108.654640763
1132,Jiebo Luo,228,24086.0,0.00446395860003,107.51890684
3807,Dale Schuurmans,133,13085.0,0.00790597931813,103.449739378
19221,Sara Cohen,56,6083.0,0.0168999041135,102.802116723
27743,Chengkai Li,44,9017.0,0.0113636363636,102.465909091
6261,Jimeng Sun,113,11398.0,0.00884955752212,100.867256637
20159,Guo-Jun Qi,56,6026.0,0.0166192242513,100.147445338
5550,Moshe Lewenstein,108,2951.0,0.033336490517,98.3759835156
6528,Loren G. Terveen,111,9749.0,0.00995480647322,97.0494083074
26928,P. Krishna Gummadi,49,5944.0,0.0160588519425,95.4538159461
3480,Jude W. Shavlik,146,12005.0,0.00774609420254,92.9918609015
4195,Henry A. Kautz,132,13186.0,0.0070505799854,92.9689476875
6740,Hari Sundaram,105,15066.0,0.00614544774691,92.587315755
218,Ke Wang,384,28219.0,0.00326351946399,92.0932557544
4035,Rada Mihalcea,138,12527.0,0.00717696401084,89.9058281638
12225,Shaul Markovitch,71,9426.0,0.00925480227693,87.2357662623
10320,Sunita Sarawagi,85,7274.0,0.0119739124801,87.09823938
5601,Iryna Gurevych,118,13726.0,0.00629711859612,86.4342498504
39859,Davood Rafiei,32,9497.0,0.00903327582243,85.7890204857
11476,Alessandro Bozzon,83,11202.0,0.00764293167467,85.6161206196
2749,Steve Renals,161,8331.0,0.0102618934641,85.4918344491
41987,Maria Soledad Pera,34,6705.0,0.0126669575904,84.9319506436
40275,Diane H. Sonnenwald,36,6917.0,0.0122106139793,84.4608168947
186,Tao Yang,404,15000.0,0.00559866214639,83.9799321959
11472,Aditya P. Mathur,83,4676.0,0.0179050601046,83.7240610493
20581,Duncan A. Buell,58,8277.0,0.0101142291152,83.7154743865
28172,Quanquan Gu,46,6102.0,0.0137158642081,83.6942033977
223,Dong Wang,385,17104.0,0.00481223489874,82.308465708
27238,Sabine Bergler,48,6644.0,0.0122936421246,81.678958276
6497,Naftali Tishby,100,10811.0,0.00750608566928,81.1482921706
19856,Chandan K. Reddy,59,4747.0,0.0169491525424,80.4576271186
2911,Stanley Y. W. Su,160,13941.0,0.00576853558492,80.4191545893
4026,Nitesh V. Chawla,126,7028.0,0.0113545758577,79.7999591281
20798,Mark Craven,57,5420.0,0.0147060688841,79.7068933521
3338,Kristina Lerman,95,9743.0,0.00814426962599,79.349618966
114464,Reiner Kraft,15,4505.0,0.0175099690025,78.8824103562
80073,Mustafa Bilgic,19,3470.0,0.022667187267,78.6551398166
6037,Daniel P. Lopresti,115,6613.0,0.0118729805414,78.5160203201
15483,Andruid Kerne,70,8768.0,0.00880706960642,77.2203863091
1483,Laks V. S. Lakshmanan,191,18497.0,0.0041198101842,76.2041289771
36783,Lisa Singh,39,4699.0,0.016177685989,76.0189464624
977,Ian H. Witten,236,19803.0,0.00381989146105,75.6453106031
13287,Eduardo Sany Laber,71,3046.0,0.0247987941449,75.5371269652
266,Ben Shneiderman,368,21986.0,0.00341524702577,75.0876211085
1894,Nigel Shadbolt,188,14978.0,0.00498353628241,74.643406438
8134,Sandra Carberry,90,8490.0,0.00876738695909,74.4351152827
10760,Wei Jin,85,8755.0,0.00847277812433,74.1791724785
86009,Shanton Chang,19,2215.0,0.0332068291353,73.5531265348
5230,John F. Canny,123,9832.0,0.00742316249164,72.9845336178
9374,Terry Winograd,91,7624.0,0.00955184541101,72.8232694135
33401,Sinno Jialin Pan,41,5968.0,0.0121951219512,72.7804878049
2491,Gautam Das,160,18393.0,0.00394331095982,72.529318484
120302,Viviane Moreira Orengo,14,4049.0,0.0178571428571,72.3035714286
159,Ling Liu,429,36808.0,0.00195985824632,72.1384623307
3253,Sharma Chakravarthy,153,10883.0,0.00662286371745,72.076625837
8558,Neoklis Polyzotis,89,9849.0,0.00728986752943,71.7979052973
14158,Lexing Xie,71,10140.0,0.00704225352113,71.4084507042
16266,Ani Nenkova,68,8547.0,0.00835305547013,71.3935651032
9268,Bonnie J. Dorr,87,10660.0,0.0066663556473,71.0633512002
33394,Debmalya Panigrahi,33,1752.0,0.0399251322821,69.9488317582
84582,Wensheng Wu,20,5448.0,0.0127979012405,69.7229659582
17175,Renato Ferreira,64,4378.0,0.0159028525126,69.6226883001
5633,Yi Chen 0001,116,8530.0,0.00815857439963,69.5926396289
66260,Daisy Zhe Wang,23,3179.0,0.0217391304348,69.1086956522
124212,Frederick B. Thompson,14,2535.0,0.0272173283414,68.9959273455
3419,Piero Fraternali,150,12497.0,0.00551989250301,68.9820966101
3581,Stéphane Bressan,147,11593.0,0.00592341646353,68.6701670618
7807,Sally Jo Cunningham,102,7513.0,0.00912427998111,68.5507154981
14086,Heng Ji,72,12400.0,0.00537295565604,66.6246501348
98886,Edith Law,17,2892.0,0.0227560474844,65.8104893248
10131,Brian Roark,83,9172.0,0.00710957616846,65.2090326171
74244,John B. Smith,22,3433.0,0.0189336863929,64.9993453868
34417,Duen Horng Chau,39,3992.0,0.016177685989,64.5813224681
12264,Nan Zhang 0004,72,7354.0,0.00876291324405,64.4424639967
26478,Jakub Radoszewski,37,1240.0,0.0518327972636,64.2726686069
2576,Daniel S. Weld,164,17907.0,0.00355691056911,63.693597561
3184,Ann Blandford,153,9344.0,0.00681595928099,63.6883235216
66523,Richard A. O'Keefe,22,1476.0,0.0423034799124,62.4399363507
16008,Hasan Davulcu,67,7991.0,0.00764053805402,61.0555395897
19407,Ellen Riloff,58,7848.0,0.00767773368405,60.2548539524
25331,Yanlei Diao,48,3993.0,0.0150038779285,59.9104845685
479,Kotagiri Ramamohanarao,304,19597.0,0.00305178011767,59.8057349659
31930,Albert-László Barabási,23,4114.0,0.0144927536232,59.6231884058
111,Xin Liu,474,18565.0,0.00318232073083,59.0797843679
3526,Kathryn S. McKinley,148,7109.0,0.00823941442256,58.57399713
4136,Christopher Leckie,135,7882.0,0.00740740740741,58.3851851852
52658,Stefanie Tellex,29,3263.0,0.0178830193051,58.3522919924
13226,Evimaria Terzi,72,6649.0,0.00876291324405,58.2646101597
25509,Aditya G. Parameswaran,38,5671.0,0.0101803370325,57.7326913112
7414,David M. Blei,88,9700.0,0.00582556289815,56.5079601121
22269,Ashwin Machanavajjhala,44,6406.0,0.00879210925533,56.3222518896
4387,Carlos Guestrin,109,9667.0,0.00578834636304,55.9559442915
5366,Dennis McLeod,122,8441.0,0.0066086431217,55.7835565902
13270,Virgílio A. F. Almeida,74,5393.0,0.010324457992,55.6798019508
941,Dan Roth,233,25430.0,0.00217149366871,55.2210839953
1532,Xue Li,204,11040.0,0.00498913020003,55.0799974083
61466,Christina Boucher,21,844.0,0.0648196468731,54.7077819609
27936,Alessandro Flammini,20,1685.0,0.032439910506,54.6612492025
12546,Maria Grazia Fugini,79,5047.0,0.0108267644722,54.6426802912
2762,Padhraic Smyth,153,13946.0,0.003895553292,54.3273862102
1064,Mohan S. Kankanhalli,231,21929.0,0.00245890810376,53.9213958074
23819,Tina Eliassi-Rad,50,6220.0,0.00861353116147,53.5761638243
19795,Tomasz Walen,48,1336.0,0.0399544478907,53.379142382
769,H. V. Jagadish,261,25247.0,0.0021138481278,53.3683236825
2198,Chitta Baral,164,9958.0,0.00529901077825,52.7675493298
15205,Gerald DeJong,69,9312.0,0.0056307297426,52.4333553631
1784,K. Selçuk Candan,192,30107.0,0.00173611111111,52.2690972222
16965,Karrie Karahalios,66,5419.0,0.00955954172078,51.8031565849
7763,Michael Collins,94,8155.0,0.00634063461358,51.7078752737
53202,Henry S. Thompson,29,3862.0,0.0133397519736,51.5181221221
18626,Denilson Barbosa,60,8645.0,0.0059367864518,51.3235188758
16152,Kilian Q. Weinberger,56,8038.0,0.00636084262693,51.1284530353
4775,Wesley W. Chu,129,11515.0,0.00442843527203,50.9934321574
116337,E. J. Yannakoudakis,15,3882.0,0.0131041088155,50.8701504219
20473,Gady Agam,57,4954.0,0.0101426254848,50.2465666519
14419,Roger King,73,3523.0,0.0142605220277,50.2398191037
16666,Sriraam Natarajan,65,6467.0,0.00769230769231,49.7461538462
70131,Carole D. Hafner,23,2915.0,0.0170416834785,49.67650734
1418,Dimitrios Gunopulos,209,16448.0,0.00301880264867,49.6532659653
4424,Alberto Apostolico,132,3493.0,0.0141180475925,49.3143402407
3093,Bhiksha Raj,146,7377.0,0.00660454169113,48.7217040555
68328,Mitesh M. Khapra,21,2867.0,0.0169622470051,48.6307621637
8792,Gaston H. Gonnet,96,4042.0,0.0119959599302,48.4876700379
29581,David F. Gleich,25,2798.0,0.0172270623229,48.2013203796
1180,Tok Wang Ling,225,21520.0,0.00222222222222,47.8222222222
33434,Lorenzo Torresani,35,3308.0,0.0142857142857,47.2571428571
78874,Mohamed Sarwat,20,1493.0,0.0315464876786,47.0989061041
15716,David Jensen,67,10473.0,0.00449298500991,47.0550320088
13327,Guy Lebanon,58,5302.0,0.00862068965517,45.7068965517
27521,Charalampos E. Tsourakakis,35,2522.0,0.0180265643878,45.4629953859
44465,David Sontag,25,2625.0,0.0172270623229,45.2210385977
2424,Yehoshua Sagiv,166,9162.0,0.00492487569463,45.1217111142
1121,J. Ian Munro,214,3067.0,0.0145656530012,44.6728577547
3780,Nir Friedman,110,9442.0,0.00465378226927,43.9410121864
12832,Johan A. Pouwelse,76,4999.0,0.00876047043271,43.7935916931
18115,Benny Kimelfeld,62,6304.0,0.00694639609796,43.7900810015
6659,Ido Dagan,100,8742.0,0.005,43.71
5755,Michael J. Pazzani,116,10540.0,0.00413469769945,43.5797137522
21553,Yan Liu 0002,51,8214.0,0.00529878734171,43.5242392248
816,Hanan Samet,257,13661.0,0.00318104811404,43.4562982859
14979,Dianne P. O'Leary,71,4089.0,0.0105360344846,43.0818450074
4208,Julia Hirschberg,135,11188.0,0.00384263268311,42.9913744586
150803,Rodrigo C. Fonseca,12,2058.0,0.0208333333333,42.875
2277,Michael L. Littman,157,13431.0,0.00314667355539,42.2629725225
10708,Johan Bollen,55,6971.0,0.00606060606061,42.2484848485
3470,Richard Furuta,148,14077.0,0.00299610480435,42.1761673308
28152,Amitabha Bagchi,37,4918.0,0.00852607775097,41.9312503792
27661,Weng-Keen Wong,45,2974.0,0.0140206611905,41.6974463805
45387,Brent Hecht,33,3176.0,0.0130508047901,41.4493560134
14624,Nir Ailon,53,1796.0,0.0230223800107,41.3481944992
26376,Yun Sing Koh,49,3210.0,0.0128761174198,41.3323369176
18395,Ruy Luiz Milidiú,63,2126.0,0.0192013395019,40.8220477811
25460,Munmun De Choudhury,50,5730.0,0.00712414374216,40.8213436426
49592,Fuxin Li,26,2120.0,0.0192307692308,40.7692307692
2940,Heng Huang,157,16302.0,0.00246403061933,40.1686271563
23006,José Antônio Fernandes de Macêdo,54,3428.0,0.0116838843254,40.0523554675
4908,Naphtali Rishe,126,10958.0,0.00364324176077,39.9226432145
10434,Vasile Rus,87,4699.0,0.00844210354812,39.6694445726
32141,Paul R. Schrater,43,1703.0,0.0232558139535,39.6046511628
19559,Raphaël Clifford,43,1382.0,0.0285760732892,39.4921332856
5195,Kenneth Y. Goldberg,124,6650.0,0.00588407204142,39.1290790755
2885,Steven Skiena,149,5216.0,0.00749791189294,39.1091084336
17521,Stefan Schlobach,63,4554.0,0.0084585347534,38.520167267
344,Michael I. Jordan,292,21839.0,0.00175564909259,38.3416205331
11152,Vincent Ng,81,8648.0,0.00439761959393,38.0306142483
87567,Hanna M. Wallach,17,1255.0,0.0294117647059,36.9117647059
37004,Steven Bethard,37,5314.0,0.00691778445432,36.7611065903
127712,Jackie Chi Kit Cheung,13,1108.0,0.0331289660056,36.7068943343
26863,Benjamin Van Durme,48,6706.0,0.00547186531327,36.6943287908
9461,Guy Lapalme,91,4413.0,0.00824844579042,36.4003912731
76944,Michael E. Tipping,20,2762.0,0.0131324767519,36.2719007886
29463,Jessica Lin 0001,46,5260.0,0.00685793210404,36.0727228672
7417,Jason I. Hong,104,7542.0,0.00475625521268,35.871676814
2139,I. V. Ramakrishnan,179,12532.0,0.00285986619899,35.8398432058
29,Jun Zhang,619,16327.0,0.00219096476108,35.7718816541
1462,Jennifer Widom,207,15881.0,0.00224395469381,35.6362444924
36810,Deepak Khemani,39,2772.0,0.0128205128205,35.5384615385
44807,Shmuel Tomi Klein,33,1435.0,0.0247110568723,35.4603666117
36752,Simone Teufel,37,4155.0,0.00852607775097,35.4258530553
38664,Amélie Marian,36,3555.0,0.00989464408633,35.1754597269
11211,Pabitra Mitra,83,3983.0,0.00881574161129,35.1130988378
937,Wojciech Rytter,231,4186.0,0.00830222293832,34.7531052198
11161,Richard Sproat,77,4260.0,0.00813851004939,34.6700528104
11581,Sakti Pramanik,83,4441.0,0.00777436160754,34.5259398991
3182,Robert E. Schapire,138,10177.0,0.00335564610191,34.1504103791
44336,Daniel Kifer,31,2736.0,0.012479122814,34.1428800192
1945,Jitender S. Deogun,187,10322.0,0.00330689939693,34.1338155751
113706,Ndapandula Nakashole,15,1318.0,0.025790187149,33.9914666623
3849,Jack Minker,141,8694.0,0.00390061715085,33.9119655094
20915,Phil Blunsom,44,5128.0,0.00656965514359,33.6891915763
25085,Micah Sherr,51,3967.0,0.0084446383936,33.4998805074
8060,Mirella Lapata,96,9024.0,0.00371049153238,33.4834755882
24259,Scott Rixner,52,2750.0,0.0121332644918,33.3664773523
6333,Haesun Park,110,5789.0,0.00573572503247,33.204112213
7936,Sergei Nirenburg,100,7243.0,0.00457916758554,33.166910822
31394,Gisele L. Pappa,43,3957.0,0.00828388807228,32.779345102
5320,Hal Daumé III,97,8864.0,0.00367223904235,32.5507268714
