,Name,ndcg pos
175,Emory University,0.381955960924
236,University of Notre Dame,0.37884962157
51,University of Arizona,0.375970464575
13,University of Maryland College Park,0.372089631483
57,University of Tennessee,0.369864117857
153,University of Cambridge,0.364262015426
82,Rensselaer Polytechnic Institute,0.362315062448
21,University of Rochester,0.357269848013
63,University of Central Florida,0.353288866656
167,University of Pittsburgh,0.350147611832
58,Johns Hopkins University,0.346088699288
20,Harvard University,0.345291414716
10,University of Texas at Austin,0.341928050883
71,Boston University,0.335527152187
146,Universidade Estadual de Campinas,0.335483806395
68,Iowa State University,0.329809471982
120,University of Louisiana at Lafayette,0.326333142889
81,University of Iowa,0.318129334807
128,USP - São Carlos,0.317844777545
28,Louisiana State University and Agricultural and Mechanical College,0.311470241547
75,California Institute of Technology,0.290684425255
105,Old Dominion University,0.28662334196
178,Binghamton University,0.285506795451
107,University of Kansas,0.284495898572
46,University of Utah,0.275442064395
212,Concordia University,0.270799168142
213,IISc Bangalore,0.263568145738
108,University of Arkansas Main Campus,0.259621466115
19,University of Wisconsin-Madison,0.2500828027
89,Wright State University Main Campus,0.248987637231
270,University of Waikato,0.247223375274
217,Worcester Polytechnic Institute,0.24376008311
122,Oregon Health and Science University,0.242267853238
269,TU Munich,0.238746883419
262,George Mason University,0.235357744716
233,University of Adelaide,0.235218508718
41,University of California-Davis,0.2333487986
241,University of Maryland-Baltimore County,0.228134583186
162,University of Nebraska,0.228127919356
56,North Carolina State University,0.227217752215
118,University of Memphis,0.226819053835
80,Oregon State University,0.225491939652
26,Tufts University,0.224709912987
225,University of Victoria,0.224362670503
104,George Washington University,0.222922803331
257,University of Auckland,0.221785580204
203,RWTH Aachen,0.221346824615
96,Case Western Reserve University,0.221221351025
200,McGill University,0.220373520164
172,Queen’s University,0.2162695211
209,University of North Carolina,0.21541059361
126,Universidade de Brasília,0.213083840349
161,Western University,0.211705598574
240,IIIT Hyderabad,0.178103593554
74,University of Maryland Baltimore County,0.173765342871
114,State University of New York at Albany,0.172969690445
36,Yale University,0.167948778957
53,University of Chicago,0.161555467443
222,University of Miami,0.143798068873
65,Florida State University,0.139865086595
229,EPFL,0.139471472826
39,Columbia University In The City of New York,0.137970474752
31,University of Minnesota-Twin Cities,0.13743580295
115,Brigham Young University,0.133194905818
148,Universidade Federal do Rio Grande do Sul,0.129174483565
247,TU Darmstadt,0.12590471183
214,Rochester Institute of Technology,0.12581200275
92,North Dakota State University Main Campus,0.124394834844
184,Boise State University,0.123893286629
204,University of Bath,0.119035156686
201,Naval Postgraduate School,0.118974797079
187,University of Bristol,0.118268633956
70,Dartmouth College,0.115214274189
87,Wayne State University,0.1135414672
64,University of Kentucky,0.113253839334
147,Universidade Federal do Ceará,0.111427880893
91,Brandeis University,0.110972675714
183,Tel Aviv University,0.11076765757
158,IIIT Bangalore,0.110733790197
143,Pontifícia Universidade Católica do Rio Grande do Sul,0.110532364729
111,University of Houston,0.110235809843
186,Boston College,0.108992708454
176,Ecole Normale Superieure de Cachan,0.108845289919
139,Universidade Federal de São Carlos,0.10824379622
109,University of Alabama,0.108076965205
40,University of Connecticut,0.107939575337
142,Universidade Federal do Rio de Janeiro,0.107562548457
138,Universidade Federal de Mato Grosso do Sul,0.107536039416
94,State University of New York at Binghamton,0.107196360447
226,Carleton University,0.107017158901
27,State University of New York at Stony Brook,0.106567723026
232,IIT Kanpur,0.106518764251
60,Florida Institute of Technology,0.106039449806
35,Ohio State University Main Campus,0.105992517762
150,Universidade Federal Fluminense,0.105945762511
155,École Polytechnique ParisTech,0.10589918286
